probe set	Annotation	GeneCluster	Mean HC 1A	Mean HC 1B	Mean HC 2A	Mean HC 2B	Mean SC1	SD SC1	Mean SC2	SD SC2
201149_s_at	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	HC1A	552.5140476	234.4001556	252.4942056	414.2179179	469.134469	268.8909946	327.85885	236.2981543
201668_x_at	myristoylated alanine-rich protein kinase C substrate	HC1A	1267.033524	459.3357444	843.4533278	701.1165	1041.616669	567.5423576	705.0408196	405.0359775
201761_at	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	HC1A	1109.47919	255.1503889	663.2224278	519.7975	822.1651379	543.6853816	545.3806196	311.454272
201830_s_at	neuroepithelial cell transforming gene 1	HC1A	395.9549524	221.9879722	181.1408333	97.20423214	353.9998276	166.668679	143.341	101.5520812
202085_at	tight junction protein 2 (zona occludens 2)	HC1A	1237.926143	514.5415556	427.4717722	457.2743929	956.0640345	594.3077782	500.5449089	262.137034
202137_s_at	adenovirus 5 E1A binding protein	HC1A	303.5290952	200.6011556	165.6509667	117.6111607	278.1696966	111.8118545	146.3007232	70.63377781
203556_at	KIAA0854 protein	HC1A	744.6301429	327.1931667	339.2316111	332.8791429	595.0263793	318.6443788	351.7451786	159.8112905
203928_x_at	microtubule-associated protein tau	HC1A	655.0721429	519.6707222	420.4524444	223.974875	664.4190345	218.337027	315.7477946	182.0887321
204072_s_at	hypothetical protein CG003	HC1A	672.641381	473.7411111	335.6739444	225.5129464	613.7074138	215.9811732	307.3533482	165.1224601
204100_at	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	HC1A	325.7791429	197.1525167	163.6244778	84.27118929	293.0582448	129.8736251	128.5045018	102.8075367
204225_at	histone deacetylase 4	HC1A	357.5513286	233.1730556	220.3880778	133.3792893	343.3842034	147.4580845	168.7349375	109.0529813
204271_s_at	endothelin receptor type B	HC1A	1063.723619	348.1693889	355.5648333	479.1371429	735.6435862	506.0482986	483.7069286	327.3386391
204273_at	endothelin receptor type B	HC1A	1871.899762	760.7924444	668.4580611	936.44	1348.285538	837.4617554	931.3650625	643.3258742
204324_s_at	golgi phosphoprotein 4	HC1A	300.5347476	114.0191	204.6740611	239.9568964	262.8099138	177.1989703	199.018075	138.0356828
204529_s_at	KIAA0808 gene product	HC1A	422.4871667	273.3738333	304.17475	181.7401071	428.2503621	252.5853931	213.1708482	142.3705871
205139_s_at	uronyl 2-sulfotransferase	HC1A	649.0904762	254.6107222	386.8474722	258.1788964	531.971931	303.0505805	303.1959036	159.363771
205204_at	neuromedin B	HC1A	1674.290571	348.6595	826.04175	838.8825714	1097.849103	936.4245643	856.3537946	658.7275611
205289_at	bone morphogenetic protein 2	HC1A	284.0212429	76.16539444	161.2422611	83.4515	225.9720828	177.4092453	107.5220625	111.2457829
205290_s_at	bone morphogenetic protein 2	HC1A	331.9306143	82.04263889	204.7313556	68.89791786	264.6355655	242.0808659	114.0568768	152.2937767
205316_at	solute carrier family 15 (H+/peptide transporter), member 2	HC1A	501.0614762	254.0576944	176.3187389	210.4616679	406.7511828	283.269866	220.8251643	131.7693861
205320_at	adenomatous polyposis coli like	HC1A	1104.598619	564.7007222	634.1282722	735.3435036	952.2623793	440.7914235	674.09825	419.928557
205330_at	meningioma (disrupted in balanced translocation) 1	HC1A	258.2652571	137.8193444	137.3062778	100.3544714	236.9310759	132.4982612	112.7634929	60.02399206
205575_at	C1q-related factor	HC1A	1909.274143	551.2403333	1712.994944	759.8745	1620.005414	1278.283885	984.7735893	967.8774803
205902_at	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	HC1A	1185.107843	467.5044778	479.8540333	328.0426857	815.2044207	587.4215179	490.7854446	489.2360598
205903_s_at	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	HC1A	432.3665571	163.5635944	155.8803222	121.6714929	297.6215552	207.6708489	171.5261589	149.0350314
206331_at	calcitonin receptor-like	HC1A	444.7164286	157.1677556	239.5855889	188.3270357	346.3459862	176.2151302	209.1022964	100.9934624
206401_s_at	microtubule-associated protein tau	HC1A	664.1471429	501.6276111	398.9563444	210.8928357	654.8129655	249.8296795	304.8754393	210.8958179
206453_s_at	N-myc downstream-regulated gene 2	HC1A	3875.33	3014.277222	1599.077333	1421.899104	3513.047379	1265.76783	1827.805588	1125.526988
206701_x_at	endothelin receptor type B	HC1A	920.780619	290.8472222	287.8545	363.8105893	649.4564483	468.1567908	376.8836339	277.9265339
206785_s_at	killer cell lectin-like receptor subfamily C, member 2	HC1A	480.1603143	93.46848333	334.1061444	79.39222143	364.7274483	373.5516935	168.3142161	232.0800428
206811_at	adenylate cyclase 8 (brain)	HC1A	271.6752619	123.8172222	110.2989611	129.6836393	221.3011586	157.4382056	127.3692875	81.50426946
206850_at	RAS-related on chromosome 22	HC1A	477.3006667	351.5344444	152.8789778	112.3206286	436.1182862	235.4546198	171.4339804	116.8210715
207447_s_at	UDP-N-acetylglucosamine:a-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IV-homolog	HC1A	311.2939714	197.6062778	84.01081111	63.31301071	280.1644897	167.1181923	93.82634107	77.88587894
207723_s_at	killer cell lectin-like receptor subfamily C, member 3	HC1A	190.3075667	60.90651667	137.2869833	41.720075	145.6376276	108.579169	80.51094286	87.3672847
207781_s_at	zinc finger protein 6 (CMPX1)	HC1A	231.2575714	90.61214444	166.0854167	90.33986429	190.0993931	99.58251932	115.9571232	78.93743155
208430_s_at	dystrobrevin, alpha	HC1A	311.5844333	203.2897556	122.5993167	229.2122393	287.7921862	161.1768505	187.1651018	121.2332954
209160_at	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	HC1A	379.3934762	134.5538444	117.8575556	99.79808571	299.6736207	190.2636399	118.1157071	82.13182987
209292_at	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	HC1A	1778.586524	516.5650556	601.6765	624.0933571	1306.652897	957.3712479	661.791875	434.4755269
209293_x_at	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	HC1A	1932.118714	632.9512778	957.7381667	849.7070714	1418.055517	899.3863019	926.3409107	502.2065279
209436_at	spondin 1, (f-spondin) extracellular matrix protein	HC1A	1266.710952	602.5065	630.6156111	539.9997214	994.1335862	551.7070226	626.5579679	464.1958519
209981_at	phosphomannomutase 1	HC1A	337.7336238	108.8155722	79.71677778	46.07375	268.3328276	247.5782348	71.32859643	59.84834281
210414_at	fibronectin leucine rich transmembrane protein 1	HC1A	333.3611905	198.5572944	228.1155333	103.6496929	318.9781379	164.041849	148.7950232	96.75263083
210432_s_at	sodium channel, voltage-gated, type III, alpha polypeptide	HC1A	890.1958095	396.8984444	739.289	224.3208429	820.6487931	584.9141687	386.2081179	339.0948339
210815_s_at	calcitonin receptor-like	HC1A	451.1191952	69.11767778	198.8066222	102.9733321	325.762769	233.851284	138.0763125	143.7078778
210875_s_at	transcription factor 8 (represses interleukin 2 expression)	HC1A	546.176	207.1821111	396.1982778	224.9590393	460.3399931	242.6142166	272.8488625	182.2051829
211571_s_at	chondroitin sulfate proteoglycan 2 (versican)	HC1A	1249.065238	235.8865	530.8904444	702.1233607	889.7742759	626.2569045	605.1491982	403.1130547
212290_at	Consensus includes gb:AA527433 /FEA=EST /DB_XREF=gi:2269502 /DB_XREF=est:ng41b03.s1 /CLONE=IMAGE:937325 /UG=Hs.14846 Homo sapiens mRNA; cDNA DKFZp564D016 (from clone DKFZp564D016)	HC1A	483.8557143	236.9753889	273.80925	263.0675571	434.3381379	293.6749329	252.2353411	114.3768731
212758_s_at	transcription factor 8 (represses interleukin 2 expression)	HC1A	802.4410952	341.8881389	663.5928333	357.8461786	689.9803276	363.5613084	445.7175714	290.7700889
212793_at	KIAA0381 protein	HC1A	1527.997	1020.712778	510.7233889	549.7116893	1263.684207	723.2049527	685.6941661	642.6123387
212816_s_at	cystathionine-beta-synthase	HC1A	662.4607619	322.1745	389.1724444	325.8479321	534.2525172	231.7213974	363.3275018	207.5252577
212850_s_at	low density lipoprotein receptor-related protein 4	HC1A	778.1718571	545.1163333	451.9588333	354.6939607	707.2001724	306.8263262	423.4212125	186.064718
213156_at	Consensus includes gb:BG251521 /FEA=EST /DB_XREF=gi:12761337 /DB_XREF=est:602363985F1 /CLONE=IMAGE:4472180 /UG=Hs.16193 Homo sapiens mRNA; cDNA DKFZp586B211 (from clone DKFZp586B211)	HC1A	934.1786667	351.3529278	566.7846556	587.3383571	735.1432414	434.6433662	558.4026518	351.6063634
213217_at	adenylate cyclase 2 (brain)	HC1A	1727.061952	925.8899444	674.4001667	596.2878571	1476.893793	740.0571356	695.351125	436.3003127
213228_at	phosphodiesterase 8B	HC1A	1151.574857	736.8732778	614.2035556	522.4486786	1050.823276	512.7533492	583.1632679	395.4325992
213388_at	Consensus includes gb:H15535 /FEA=EST /DB_XREF=gi:880355 /DB_XREF=est:ym27c01.s1 /CLONE=IMAGE:49385 /UG=Hs.52792 Homo sapiens mRNA; cDNA DKFZp586I1823 (from clone DKFZp586I1823)	HC1A	769.0798095	308.8938889	324.9785778	338.0035357	616.118931	358.3369903	342.0898286	200.6046057
213841_at	Consensus includes gb:BE223030 /FEA=EST /DB_XREF=gi:8910348 /DB_XREF=est:hu46c02.x1 /CLONE=IMAGE:3173090 /UG=Hs.301281 Homo sapiens mRNA, chromosome 1 specific transcript KIAA0510	HC1A	2580.85619	1680.295833	1782.712222	511.569825	2420.353655	1193.356933	1083.318288	1102.159054
213993_at	spondin 1, (f-spondin) extracellular matrix protein	HC1A	297.9260905	112.7974778	133.5311278	93.915125	228.9576103	156.7798545	119.2895643	128.2500727
213994_s_at	spondin 1, (f-spondin) extracellular matrix protein	HC1A	826.9279905	383.2006667	430.5448167	376.8367643	640.0522897	371.4854564	428.6217768	349.3843587
