Genes	Plexiform neurofibromas without MPNST (n = 10)	Plexiform neurofibromas without MPNST (n = 10)	Plexiform neurofibromas with MPNST (n = 4)	Plexiform neurofibromas with MPNST (n = 4)	P	ROC-AUC
MMP9	0.36	(0–1.32)	6.85	(3.14–11.4)	<0.01	1
FLT4 / VEGFR3	0.87	(0.42–1.91)	5.98	(2.20–24.2)	<0.01	1
TNFRSF10B / TRAILR2	1.45	(0.94–3.08)	4.04	(1.88–8.42)	<0.01	0.975
SHH	0.23	(0–85.7)	603	(8.71–3263)	<0.05	0.95
GLI1	0.67	(0.06–2.50)	3.6	(1.42–10.0)	<0.05	0.95
LIF	1.24	(0.63–4.81)	9.85	(2.04–48.0)	<0.05	0.925
PLAU / UPA	0.46	(0.16–0.90)	6.82	(0.52–22.2)	<0.05	0.925
TNFR2	0.67	(0.48–2.08)	2.56	(0.73–6.49)	<0.05	0.925
CTGF	0.9	(0.18–2.54)	17.4	(1.22–54.0)	<0.05	0.9
H19	1.35	(0.13–15.7)	57.1	(2.43–93.2)	<0.05	0.9
NOS3	1.38	(1.01–3.20)	8.5	(1.58–11.4)	<0.05	0.9
RASSF3	2.42	(0.37–5.50)	6.85	(3.64–12.1)	<0.05	0.9
