Biological Process	Gene Name	Regulation
Metabolism	SMPD2	Up-Regulated
Metabolism	UGT8	Up-Regulated
Metabolism	ALAD	Down-Regulated
Metabolism	ALOX15B	Down-Regulated
Metabolism	ASMTL	Down-Regulated
Metabolism	ATP6V0C	Down-Regulated
Metabolism	B4GALT5	Down-Regulated
Metabolism	CYP19A1	Down-Regulated
Metabolism	FTL	Down-Regulated
Metabolism	EPHX1	Down-Regulated
Metabolism	GAMT	Down-Regulated
Metabolism	CRAT	Down-Regulated
Metabolism	CA6	Down-Regulated
Metabolism	HADHSC	Down-Regulated
Metabolism	CKM	Down-Regulated
Metabolism	HAGH	Down-Regulated
Metabolism	COX6A2	Down-Regulated
Metabolism	FTH1	Down-Regulated
Metabolism	IDS	Down-Regulated
Metabolism	MAT1A	Down-Regulated
Metabolism	MGAT3	Down-Regulated
Metabolism	MVD	Down-Regulated
Metabolism	PFKM	Down-Regulated
Metabolism	PCBD	Down-Regulated
Metabolism	NDUFC1	Down-Regulated
Metabolism	PCYT1A	Down-Regulated
Metabolism	PFKFB2	Down-Regulated
Metabolism	SHMT2	Down-Regulated
Metabolism	YWHAH	Down-Regulated
Metabolism	CST5	Down-Regulated
Cell cycle	BECN1	Down-Regulated
Cell cycle	PNUTL1	Down-Regulated
Cell cycle	CDK8	Down-Regulated
Cell cycle	MAD1L1	Down-Regulated
Cell cycle	FYN	Down-Regulated
Signaling transduction	GNRHR	Up-Regulated
Signaling transduction	PIK3R3	Up-Regulated
Signaling transduction	ADRA1B	Down-Regulated
Signaling transduction	ADCYAP1	Down-Regulated
Signaling transduction	INPPL1	Down-Regulated
Signaling transduction	IRS1	Down-Regulated
Signaling transduction	PPM1G	Down-Regulated
Signaling transduction	MAP4K2	Down-Regulated
Signaling transduction	AGTRL1	Down-Regulated
Signaling transduction	AKT2	Down-Regulated
Signaling transduction	APCL	Down-Regulated
Signaling transduction	BAIAP2	Down-Regulated
Signaling transduction	BAIAP3	Down-Regulated
Signaling transduction	BLK	Down-Regulated
Signaling transduction	CHRM4	Down-Regulated
Signaling transduction	GPR8	Down-Regulated
Signaling transduction	GRB7	Down-Regulated
Signaling transduction	CRABP1	Down-Regulated
Signaling transduction	GPR32	Down-Regulated
Signaling transduction	GHSR	Down-Regulated
Signaling transduction	MYD88	Down-Regulated
Signaling transduction	MAPK10	Down-Regulated
Signaling transduction	PTPN3	Down-Regulated
Signaling transduction	RGR	Down-Regulated
