RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_001838	Homo sapiens chemokine (C-C motif) receptor 7 (CCR7), mRNA.	1236	CCR7	chemokine (C-C motif) receptor 7	BLR2|CD197|CDw197|CMKBR7|EBI1	17	4.885	0.0000204	1
NM_004430	Homo sapiens early growth response 3 (EGR3), mRNA.	1960	EGR3	early growth response 3	MGC138484|PILOT	8	1.885	0.000888	1
NM_005524	Homo sapiens hairy and enhancer of split 1, (Drosophila) (HES1), mRNA.	3280	HES1	hairy and enhancer of split 1, (Drosophila)	FLJ20408|HES-1|HHL|HRY|bHLHb39	3	1.725	0.0000059	1
NM_004419	Homo sapiens dual specificity phosphatase 5 (DUSP5), mRNA.	1847	DUSP5	dual specificity phosphatase 5	DUSP|HVH3	10	1.699	0.000000454	1
NM_002923	Homo sapiens regulator of G-protein signaling 2, 24kDa (RGS2), mRNA.	5997	RGS2	regulator of G-protein signaling 2, 24kDa	G0S8	1	1.671	5.29E-08	1
NM_005230	Homo sapiens ELK3, ETS-domain protein (SRF accessory protein 2) (ELK3), mRNA.	2004	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	ERP|NET|SAP2	12	1.62	0.00000133	1
NM_005127	Homo sapiens C-type lectin domain family 2, member B (CLEC2B), mRNA.	9976	CLEC2B	C-type lectin domain family 2, member B	AICL|CLECSF2|HP10085|IFNRG1	12	1.615	0.00000497	1
NM_001018058	Homo sapiens transcription factor EC (TFEC), transcript variant 2, mRNA.	22797	TFEC	transcription factor EC	TCFEC|TFECL|bHLHe34	7	1.584	0.0000203	1
NM_012252	Homo sapiens transcription factor EC (TFEC), transcript variant 1, mRNA.	22797	TFEC	transcription factor EC	TCFEC|TFECL|bHLHe34	7	1.584	0.0000203	1
NM_005904	Homo sapiens SMAD family member 7 (SMAD7), mRNA.	4092	SMAD7	SMAD family member 7	CRCS3|FLJ16482|MADH7|MADH8	18	1.574	0.00000981	1
