Gene	Description	Probe set	GMI iMCL	GMI cMCL	GMI Ratio	P value
RNGTT	RNA guanylyltransferase and 5´-phosphatase	211849_s_at	138.15	814.45	0.17	6.20E-06
HDGFRP3	Hepatoma-derived growth factor, related protein 3	209524_at	10.66	265.27	0.04	1.23E-05
FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	239246_at	16.53	160.82	0.1	1.51E-05
HMGB3	High-mobility group box 3	225601_at	20.86	130.16	0.16	1.57E-05
LGALS3BP	Lectin, Galactoside-binding, soluble, 3-binding protein	200923_at	58.71	385.44	0.15	4.69E-05
PON2	Paraoxonase 2	210830_s_at	16.13	183.59	0.09	4.93E-05
CDK2AP1	CDK2-associated protein 1	201938_at	239.26	1008.01	0.24	5.16E-05
DBN1	Drebrin 1	202806_at	13.78	110.52	0.12	8.40E-05
CNR1	Cannabinoid receptor 1	1560225_at	88.01	911.88	0.1	0.00014
CNN3	Calponin 3	201445_at	15.98	139.98	0.11	0.00026
SETMAR	SET domain and mariner transposase fusion gene	206554_x_at	52.5	150.67	0.35	0.00027
SOX11	SRY (sex determining region Y)-box 11	204913_s_at	33.52	691.44	0.05	0.00027
CSNK1E	Casein kinase 1, epsilon	202332_at	158.63	342.79	0.46	0.0003
