GeneID	GeneName	logFC	P.Value	adj.P.Val
C8orf77	CHROMOSOME 8 - OPEN READING FRAME 77	0.793723709	5.05E-06	0.016890652
TAC1	TACHYKININ, PRECURSOR 1	0.890579536	7.91E-06	0.016890652
H3F3A	H3 HISTONE, FAMILY 3A	0.81060373	3.06E-05	0.019748986
TAC1	TACHYKININ, PRECURSOR 1	0.948711351	4.21E-05	0.019748986
SIX1	SINE OCULIS HOMEOBOX HOMOLOG 1 (DROSOPHILA)	0.797193999	6.61E-05	0.026620064
KHDRBS3	KH DOMAIN CONTAINING, RNA BINDING, SIGNAL TRANSDUCTION ASSOCIATED 3	0.756899181	8.06E-05	0.027913046
ZFP36L1	ZINC FINGER PROTEIN 36, C3H TYPE-LIKE 1	0.806441156	8.17E-05	0.027913046
ABLIM1	ACTIN BINDING LIM PROTEIN 1	0.80807907	8.61E-05	0.028297907
PSMA3	PROTEASOME (PROSOME, MACROPAIN) SUBUNIT, ALPHA TYPE, 3	0.817057455	0.00010566	0.031129601
GRIK2	GLUTAMATE RECEPTOR, IONOTROPIC, KAINATE 2	0.61149129	0.000146415	0.031379152
LOC100129484	HYPOTHETICAL LOC100129484	0.367221671	0.00016203	0.031379152
HDHD4	N-ACETYLNEURAMIC ACID PHOSPHATASE	0.800723888	0.000158946	0.031379152
TAC1	TACHYKININ, PRECURSOR 1	0.924478838	0.00015328	0.031379152
GRIK2	GLUTAMATE RECEPTOR, IONOTROPIC, KAINATE 2	1.858388118	0.000179406	0.031379152
ARRDC3	ARRESTIN DOMAIN CONTAINING 3	0.792637913	0.000214287	0.033288506
CLK4	CDC-LIKE KINASE 4	0.802427898	0.000304065	0.039132803
LHX2	LIM HOMEOBOX 2	0.729054168	0.000299444	0.039132803
LARS	LEUCYL-TRNA SYNTHETASE	0.569125568	0.000307982	0.039132803
TAF12	RNA POLYMERASE II, TATA BOX BINDING PROTEIN (TBP)-ASSOCIATED FACTOR	0.794288187	0.00032829	0.040070137
EFNA1	EPHRIN A1	0.974269393	0.000355203	0.04195758
