Probe set	GeneSymbol	Gene Title	rank	Parametric p-value	Geom mean neg	Geom mean pos	FC neg/pos
1569225_a_at	SCML4	sex comb on midleg-like 4 (Drosophila)	86	3.80E-04	119.6	13.7	8.73
227198_at	AFF3	AF4/FMR2 family, member 3	15	5.71E-05	56.6	7.2	7.86
206545_at	CD28	CD28 antigen (Tp44)	155	7.01E-04	162.2	26.2	6.19
243546_at	SESN3	Sestrin 3	85	3.78E-04	66.3	11.3	5.86
232286_at	LAF4	AF4/FMR2 family, member 3	339	1.58E-03	47.1	8.4	5.6
221234_s_at	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2 /// BTB and CNC homology 1, basic leucine zipper transcription factor 2	94	4.21E-04	45.5	8.3	5.48
228592_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	194	9.25E-04	502.7	106.4	4.72
243509_at	BTG1	B-cell translocation gene 1, anti-proliferative	328	1.54E-03	60	14.8	4.05
244061_at	ARHGAP15	Rho GTPase activating protein 15	315	1.48E-03	85.7	21.5	3.98
221601_s_at	FAIM3	Fas apoptotic inhibitory molecule 3 /// Fas apoptotic inhibitory molecule 3	1	4.80E-06	483.5	123.5	3.91
221602_s_at	FAIM3	Fas apoptotic inhibitory molecule 3 /// Fas apoptotic inhibitory molecule 3	7	2.58E-05	278.8	72.8	3.83
211339_s_at	ITK	IL2-inducible T-cell kinase	113	5.21E-04	468.1	127	3.68
236924_at	GLMN	Glomulin, FKBP associated protein	224	1.07E-03	49.9	13.6	3.66
1558111_at	MBNL1	Muscleblind-like (Drosophila)	165	7.44E-04	337.9	96.1	3.51
236921_at	EMB	Embigin homolog (mouse)	49	1.71E-04	68.8	20.1	3.42
209795_at	CD69	CD69 antigen (p60, early T-cell activation antigen)	172	7.82E-04	223.5	67.4	3.31
214735_at	PIP3E	phosphoinositide-binding protein PIP3-E	154	6.88E-04	89.4	27.7	3.22
211272_s_at	DGKA	diacylglycerol kinase, alpha 80kDa	76	3.11E-04	87.6	27.5	3.18
238480_at		Chromosome 18 open reading frame 50	73	2.95E-04	80.8	25.9	3.12
1558409_at		LOC441276	327	1.54E-03	15.8	5.1	3.09
208442_s_at	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	244	1.17E-03	166.1	54.3	3.05
236754_at	PPP1R2	Protein phosphatase 1, regulatory (inhibitor) subunit 2	273	1.29E-03	77.9	26.2	2.97
34210_at	CD52	CD52 antigen (CAMPATH-1 antigen)	151	6.75E-04	1100.1	369.9	2.97
204661_at	CD52	CD52 antigen (CAMPATH-1 antigen) /// CD52 antigen (CAMPATH-1 antigen)	186	8.60E-04	1305.3	442.5	2.95
240173_at		Transcribed locus	367	1.78E-03	67.4	22.8	2.95
221756_at	MGC17330	HGFL gene /// HGFL gene	92	4.16E-04	216.5	73.8	2.93
210038_at	PRKCQ	protein kinase C, theta	63	2.49E-04	150.9	51.6	2.92
215592_at		CDNA FLJ12232 fis, clone MAMMA1001206	206	9.82E-04	20.1	7.1	2.83
209606_at	PSCDBP	pleckstrin homology, Sec7 and coiled-coil domains, binding protein /// pleckstrin homology, Sec7 and coiled-coil domains, binding protein	312	1.46E-03	326.8	115.6	2.82
243768_at	SENP6	SUMO1/sentrin specific peptidase 6	134	6.12E-04	119	42.1	2.82
1557718_at	PPP2R5C	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	381	1.88E-03	92.2	32.8	2.81
230526_at		Clone FP3361 unknown mRNA	129	5.84E-04	44.2	15.7	2.81
227261_at	KLF12	Kruppel-like factor 12	178	8.21E-04	122.4	43.7	2.8
235757_at	C10orf18	Chromosome 10 open reading frame 18	22	7.80E-05	43.7	15.6	2.8
239238_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	388	1.90E-03	83.3	29.7	2.8
204563_at	SELL	selectin L (lymphocyte adhesion molecule 1)	133	6.06E-04	566.7	204.3	2.77
228465_at		Homo sapiens, clone IMAGE:5175565, mRNA	124	5.64E-04	59.5	21.6	2.75
209827_s_at	IL16	interleukin 16 (lymphocyte chemoattractant factor)	364	1.77E-03	314.2	115.8	2.71
227934_at	KPNA5	Karyopherin alpha 5 (importin alpha 6)	106	4.74E-04	88.5	32.9	2.69
228987_at		Transcribed locus	270	1.27E-03	54.2	20.3	2.67
206983_at	CCR6	chemokine (C-C motif) receptor 6	301	1.41E-03	19.8	7.5	2.64
203385_at	DGKA	diacylglycerol kinase, alpha 80kDa	320	1.50E-03	317.7	121	2.62
207339_s_at	LTB	lymphotoxin beta (TNF superfamily, member 3)	335	1.58E-03	653.6	249.7	2.61
226587_at	SNRPN	Small nuclear ribonucleoprotein polypeptide N	11	4.26E-05	25.1	9.6	2.61
232001_at	LOC439949	hypothetical gene supported by AY007155	187	8.69E-04	30.8	11.8	2.61
233874_at	KIAA1458	KIAA1458 protein	12	4.62E-05	31.3	12.1	2.58
235444_at	FOXP1	forkhead box P1	195	9.37E-04	31.9	12.4	2.57
236558_at	MBNL1	Muscleblind-like (Drosophila)	121	5.51E-04	18.3	7.1	2.57
1556054_at	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	230	1.10E-03	18.8	7.4	2.54
204890_s_at	LCK	lymphocyte-specific protein tyrosine kinase	179	8.21E-04	348.6	137	2.54
221011_s_at	LBH	likely ortholog of mouse limb-bud and heart gene /// likely ortholog of mouse limb-bud and heart gene	78	3.40E-04	241.5	95	2.54
224838_at	FOXP1	forkhead box P1	27	8.45E-05	209.9	82.4	2.54
212486_s_at	FYN	FYN oncogene related to SRC, FGR, YES	83	3.70E-04	89.1	35.1	2.53
236685_at		Transcribed locus	325	1.53E-03	171.4	69.1	2.48
212594_at	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	17	6.03E-05	58.9	24	2.45
233228_at	ZNF407	Zinc finger protein 407	307	1.44E-03	41.5	17	2.44
204774_at	EVI2A	ecotropic viral integration site 2A	250	1.18E-03	228.5	93.9	2.43
239122_at	IL24	Interleukin 24	190	8.81E-04	36.9	15.2	2.42
204891_s_at	LCK	lymphocyte-specific protein tyrosine kinase	97	4.29E-04	742.3	308.1	2.4
216033_s_at	FYN	FYN oncogene related to SRC, FGR, YES	173	7.93E-04	438.1	183.1	2.39
206965_at	KLF12	Kruppel-like factor 12	296	1.40E-03	14.8	6.2	2.38
206966_s_at	KLF12	Kruppel-like factor 12	66	2.63E-04	44.8	19.2	2.33
236907_at	PABPC1	Poly(A) binding protein, cytoplasmic 1	279	1.31E-03	63.1	27.2	2.32
200965_s_at	ABLIM1	actin binding LIM protein 1	107	4.77E-04	223.5	97.1	2.3
220577_at	GVIN1	GTPase, very large interferon inducible 1	285	1.34E-03	144.3	63	2.29
244535_at	FOXP1	Forkhead box P1	322	1.51E-03	60.3	26.7	2.25
210105_s_at	FYN	FYN oncogene related to SRC, FGR, YES	278	1.30E-03	691.5	309.4	2.23
