Public ID	Symbol	(nanoTiO2/N)	Categories
NM_007659	Cdc2a	1.63	Cell cycle/cell growth regulator
AU015121	Ccnb1	1.89	Cell cycle/cell growth regulator
NM_007631	Ccnd1	3.31	Cell cycle/cell growth regulator
NM_007633	Ccne1	2.62	Cell cycle/cell growth regulator
BC037601	Fgf1	2.03	Cell cycle/angiogenesis
BC010200	Fgfr1	2.14	Cell cycle/angiogenesis
NM_008827	Plgfa	3.56	VEGF signaling pathway
AF470537	Traila	3.06	Chemokine/apoptosis
NM_010229	Flt3a	1.97	Chemokine
AF065933	Ccl2	2.54	Chemokine/chemotaxis
NM_011337	Ccl3a	1.5	Chemokine/chemotaxis
AF128196	Ccl9	2.89	Chemokine/chemotaxis
NM_008176	Cxcl1a	2.5	Chemokine/chemotaxis
NM_009141	Cxcl5a	3.12	Chemokine/chemotaxis
NM_009911	Cxcr4	2.24	Chemokine/chemotaxis
U05264	Gp49b	3.92	Chemokine/chemotaxis
BB333624	C3ar1	1.56	Complement activation/chemotaxis
NM_008198	H2-Bf	2.68	Complement activation/chemotaxis
NM_008127	Gjb4	2.12	Gap junction proteins-connexins
NM_008965	Ptger4	2.09	GPCRs class A rhodopsin-like/TGF-  signaling pathway
NM_030701	Gpr109b	2.01	GPCRs class A rhodopsin-like/TGF-  signaling pathway
BC057952	Mmp15	1.98	Matrix metalloproteinases
BC070430	Mmp2	2	Matrix metalloproteinases
