Gene Symbol	Gene Description
ARHB	ras homolog gene family, member B
ARL7	ADP-ribosylation factor-like 7
BCL2A1	BCL2-related protein A1
CRA	cisplatin resistance associated
DNAJB9 	DnaJ (Hsp40) homolog, subfamily B, member 9
DTR	diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)
DUSP1	dual specificity phosphatase 1
EST	1506 ESTs
GS3955	GS3955 protein
	cytochrome c
IVD	isovaleryl Coenzyme A dehydrogenase
JUN	v-jun sarcoma virus 17 oncogene homolog (avian)
JUNB	jun B proto-oncogene
JUND	jun D proto-oncogene
KAL1	Kallmann syndrome 1 sequence
LDLR	low density lipoprotein receptor (familial hypercholesterolemia)
MTMR3	myotubularin related protein 3
P4HB	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)
PTGER4	prostaglandin E receptor 4 (subtype EP4)
SR-BP1	sigma receptor (SR31747 binding protein 1)
SRI	sorcin
STK17B	serine/threonine kinase 17b (apoptosis-inducing)
TG737	Probe hTg737 (polycystic kidney disease, autosomal recessive, in)
USP4	ubiquitin specific protease 4 (proto-oncogene)
ZNF238	zinc finger protein 238
