Affymetrix ID	Class	Score	99th percentile	Fold change	Name	description
201502 s at	MLBCL	0.52	0.41	1.6	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
204781 s at	MLBCL	0.48	0.35	1.7	TNFRSF6	tumor necrosis factor receptor superfamily, member 6
208981 at	MLBCL	0.47	0.32	1.5	PCAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)
205599 at	MLBCL	0.46	0.3	1.7	TRAF1	TNF receptor-associated factor 1
201631_s_at	MLBCL	0.45	0.28	1.5	IER3	immediate early response 3
216252 x at	MLBCL	0.45	0.27	1.8	TNFRSF6	tumor necrosis factor receptor superfamily, member 6
204780_s_at	MLBCL	0.44	0.26	1.8	TNFRSF6	tumor necrosis factor receptor superfamily, member 6
235116_at	MLBCL	0.44	0.25	2	TRAF1	TNF receptor-associated factor 1
218335_x_at	MLBCL	0.41	0.23	1.3	TNIP2	A20-binding inhibitor of NF-kappaB activation-2
201426_s_at	MLBCL	0.39	0.22	1.3	VIM	vimentin
202071_at	MLBCL	0.39	0.22	1.5	SDC4	syndecan 4 (amphiglycan, ryudocan)
201473_at	MLBCL	0.38	0.22	1.4	JUNB	jun B proto-oncogene
202531_at	MLBCL	0.35	0.21	1.4	IRF1	interferon regulatory factor 1
207111_at	MLBCL	0.35	0.21	1.6	EMR1	egf-like module containing, mucin-like, hormone receptor-like sequence 1
215719_x_at	MLBCL	0.34	0.2	1.7	TNFRSF6	tumor necrosis factor receptor superfamily, member 6
206337 at	MLBCL	0.33	0.19	1.8	CCR7	chemokine (C-C motif) receptor 7
202644_s_at	MLBCL	0.32	0.19	1.5	TNFAIP3	tumor necrosis factor, alpha-induced protein 3
202643_s_at	MLBCL	0.3	0.18	1.4	TNFAIP3	tumor necrosis factor, alpha-induced protein 3
204790_at	MLBCL	0.3	0.18	1.4	SMAD7	MAD, mothers against decapentaplegic homolog 7 (Drosophila)
205114_s_at	MLBCL	0.29	0.17	1.6	CCL3	chemokine (C-C motif) ligand 3
205153_s_at	MLBCL	0.27	0.17	1.4	TNFRSF5	tumor necrosis factor receptor superfamily, member 5
205681_at	MLBCL	0.26	0.17	1.6	BCL2A1	BCL2-related protein A1
210563_x_at	MLBCL	0.25	0.16	1.4	CFLAR	CASP8 and FADD-like apoptosis regulator
209949_at	MLBCL	0.24	0.16	2.7	NCF2	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)
205207_at	MLBCL	0.23	0.16	1.5	IL6	interleukin 6 (interferon, beta 2)
203233_at	MLBCL	0.23	0.15	1.3	IL4RA	interleukin 4 receptor
211862_x_at	MLBCL	0.23	0.15	1.3	CFLAR	CASP8 and FADD-like apoptosis regulator
208982_at	MLBCL	0.22	0.14	1.4	PCAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)
212646_at	MLBCL	0.21	0.14	1.3	RAFTLIN	KIAA0084 protein
212312_at	MLBCL	0.19	0.13	1.3	BCL2L1	BCL2-like 1
221477_s_at	MLBCL	0.19	0.13	1.5	SOD2	superoxide dismutase 2, mitochondrial
204103_at	MLBCL	0.17	0.12	1.3	CCL4	MIP1beta
209939_x_at	MLBCL	0.16	0.12	1.3	CFLAR	CASP8 and FADD-like apoptosis regulator
202545_at	MLBCL	0.16	0.12	1.3	PRKCD	protein kinase C, delta
229221_at	MLBCL	0.16	0.11	1.3	CD44	CD44 antigen (homing function and Indian blood group system)
208983_s_at	MLBCL	0.15	0.11	1.3	PCAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)
215223_s_at	MLBCL	0.15	0.11	1.5	SOD2	superoxide dismutase 2, mitochondrial
204430_s_at	MLBCL	0.14	0.11	1.4	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5
207861_at	MLBCL	0.14	0.1	4	CCL22	chemokine (C-C motif) ligand 22
216945_x_at	MLBCL	0.13	0.09	1.3	PASK	PAS domain containing serine/threonine kinase
202859_x_at	MLBCL	0.12	0.08	1.4	IL8	interleukin 8
209795_at	MLBCL	0.11	0.07	1.3	CD69	CD69 antigen (p60, early T-cell activation antigen)
216841_s_at	MLBCL	0.1	0.06	1.4	SOD2	superoxide dismutase 2, mitochondrial
201041 s at	MLBCL	0.1	0.06	1.4	DUSP1	dual specificity phosphatase 1
216598_s_at	MLBCL	0.07	0.04	1.3	CCL2	chemokine (C-C motif) ligand 2
206759_at	MLBCL	0.06	0.03	4.2	CD23A	Fc fragment of IgE, low affinity II, receptor for (CD23A)
