Feature	Agilent probe	Gene symbol	Gene description	regulation in current- versus ex-smokers (bronchus)	regulation in SCC versus ex smokers (bronchus)	regulation in SCC versus current smokers (bronchus)
685	A_23_P7313	SPP1	secreted phosphoprotein 1 (osteopontin, early T-lymphocyte activation 1) (SPP1), transcript variant 2, mRNA [NM_000582]	up	up	up
3905	A_23_P320113	SRXN1	sulfiredoxin 1 homolog (S. cerevisiae) (SRXN1), mRNA [NM_080725]	up	up	up
7920	A_23_P41114	CSTA	cystatin A (stefin A) (CSTA), mRNA [NM_005213]	up	up	up
11103	A_24_P38865	AIP	aryl hydrocarbon receptor interacting protein (AIP), mRNA [NM_003977]	up	up	up
14047	A_23_P62709	SPRR3	small proline-rich protein 3 (SPRR3), mRNA [NM_005416]	up	up	up
16207	A_23_P92082	TKT	transketolase (Wernicke-Korsakoff syndrome) (TKT), mRNA [NM_001064]	up	up	up
16644	A_23_P101093	COPZ2	coatomer protein complex, subunit zeta 2 (COPZ2), mRNA [NM_016429]	up	up	up
16672	A_23_P203972	FZD10	frizzled homolog 10 (Drosophila) (FZD10), mRNA [NM_007197]	up	up	up
17075	A_23_P7005	ALG3	asparagine-linked glycosylation 3 homolog (S. cerevisiae, alpha-1,3-mannosyltransferase) (ALG3), mRNA [NM_005787]	up	up	up
17935	A_23_P67228	SNAPC2	small nuclear RNA activating complex, polypeptide 2, 45kDa (SNAPC2), mRNA [NM_003083]	up	up	up
20148	A_24_P569294	MRPS12	mitochondrial ribosomal protein S12 (MRPS12), transcript variant 1, mRNA [NM_021107]	up	up	up
21623	A_32_P41405	THOC3	THO complex 3 (THOC3), mRNA [NM_032361]	up	up	up
22666	A_24_P307424	LOC732268	PREDICTED: similar to Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (LOC732268), mRNA [XR_015796]	up	up	up
23146	A_24_P193295	RAB15	RAB15, member RAS onocogene family (RAB15), mRNA [NM_198686]	up	up	up
24692	A_23_P216257	TPD52	tumor protein D52 (TPD52), transcript variant 3, mRNA [NM_005079]	up	up	up
25353	A_23_P2573	TMEM117	transmembrane protein 117 (TMEM117), mRNA [NM_032256]	up	up	up
26760	A_23_P170233	CSTA	cystatin A (stefin A) (CSTA), mRNA [NM_005213]	up	up	up
29377	A_24_P676216	A_24_P676216	Unknown	up	up	up
32765	A_23_P55149	AP2B1	adaptor-related protein complex 2, beta 1 subunit (AP2B1), transcript variant 2, mRNA [NM_001282]	up	up	up
39906	A_24_P914434	GSTM3	glutathione S-transferase M3 (brain) (GSTM3), mRNA [NM_000849]	up	up	up
40101	A_24_P242440	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2 (B4GALT2), transcript variant 2, mRNA [NM_003780]	up	up	up
40204	A_23_P12343	GSTM3	glutathione S-transferase M3 (brain) (GSTM3), mRNA [NM_000849]	up	up	up
40263	A_23_P39265	LYPD3	LY6/PLAUR domain containing 3 (LYPD3), mRNA [NM_014400]	up	up	up
42842	A_23_P149206	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2 (B4GALT2), transcript variant 2, mRNA [NM_003780]	up	up	up
885	A_23_P161522	TMEM134	transmembrane protein 134 (TMEM134), transcript variant 1, mRNA [NM_025124]	up	up	NA
2765	A_23_P158007	ZDHHC12	zinc finger, DHHC-type containing 12 (ZDHHC12), mRNA [NM_032799]	up	up	NA
3515	A_24_P152845	LOC340888	PREDICTED: similar to aldo-keto reductase family 1, member B10 (LOC340888), mRNA [XR_018726]	up	up	NA
3625	A_23_P93641	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase) (AKR1B10), mRNA [NM_020299]	up	up	NA
8266	A_24_P108442	C19orf56	chromosome 19 open reading frame 56 (C19orf56), mRNA [NM_016145]	up	up	NA
9424	A_32_P28872	TALDO1	transaldolase 1 (TALDO1), mRNA [NM_006755]	up	up	NA
12673	A_23_P314712	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) (CABYR), transcript variant 1, mRNA [NM_012189]	up	up	NA
14337	A_23_P4561	SERPINB8	serpin peptidase inhibitor, clade B (ovalbumin), member 8 (SERPINB8), transcript variant 2, mRNA [NM_198833]	up	up	NA
15225	A_23_P50504	FTL	ferritin, light polypeptide (FTL), mRNA [NM_000146]	up	up	NA
16430	A_32_P155247	FTL	ferritin, light polypeptide (FTL), mRNA [NM_000146]	up	up	NA
16470	A_23_P17655	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15 (KCNJ15), transcript variant 1, mRNA [NM_170736]	up	up	NA
16928	A_23_P3038	GPX2	glutathione peroxidase 2 (gastrointestinal) (GPX2), mRNA [NM_002083]	up	up	NA
17008	A_24_P32715	A_24_P32715	Unknown	up	up	NA
18595	A_23_P122387	MRPS18A	mitochondrial ribosomal protein S18A (MRPS18A), nuclear gene encoding mitochondrial protein, mRNA [NM_018135]	up	up	NA
18731	A_24_P332081	C10orf39	mRNA; cDNA DKFZp686B1027 (from clone DKFZp686B1027). [AL832756]	up	up	NA
20160	A_23_P340263	RNF175	ring finger protein 175 (RNF175), mRNA [NM_173662]	up	up	NA
22119	A_23_P132956	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase) (UCHL1), mRNA [NM_004181]	up	up	NA
22270	A_23_P50498	FTL	ferritin, light polypeptide (FTL), mRNA [NM_000146]	up	up	NA
22981	A_24_P129341	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase) (AKR1B10), mRNA [NM_020299]	up	up	NA
25009	A_24_P281683	LOC441623	PREDICTED: hypothetical LOC441623 (LOC441623), mRNA [XR_018569]	up	up	NA
28217	A_23_P75430	C11orf75	chromosome 11 open reading frame 75 (C11orf75), mRNA [NM_020179]	up	up	NA
28253	A_24_P220947	AKR1C1	aldo-keto reductase family 1, member C1 (AKR1C1), mRNA [NM_001353]	up	up	NA
28662	A_23_P218486	C19orf56	chromosome 19 open reading frame 56 (C19orf56), mRNA [NM_016145]	up	up	NA
31579	A_24_P530977	A_24_P530977	Unknown	up	up	NA
31932	A_24_P42693	CYP4F11	cytochrome P450, family 4, subfamily F, polypeptide 11 (CYP4F11), mRNA [NM_021187]	up	up	NA
32407	A_23_P60599	UGT1A6	UDP glucuronosyltransferase 1 family, polypeptide A6 (UGT1A6), transcript variant 1, mRNA [NM_001072]	up	up	NA
34756	A_24_P137501	SFRP2	secreted frizzled-related protein 2 (SFRP2), mRNA [NM_003013]	up	up	NA
37428	A_23_P137035	PIR	pirin (iron-binding nuclear protein) (PIR), transcript variant 1, mRNA [NM_003662]	up	up	NA
37789	A_23_P138541	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II) (AKR1C3), mRNA [NM_003739]	up	up	NA
38779	A_23_P258190	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase) (AKR1B1), mRNA [NM_001628]	up	up	NA
9741	A_23_P23443	EFHD2	EF-hand domain family, member D2 (EFHD2), mRNA [NM_024329]	up	NA	NA
10833	A_23_P158053	C9orf16	chromosome 9 open reading frame 16 (C9orf16), mRNA [NM_024112]	up	NA	NA
11668	A_23_P259442	CPE	carboxypeptidase E (CPE), mRNA [NM_001873]	up	NA	NA
