Gene name	Fold change	Score	Median of original signal	Regulation
hsa-mir-21	2.84	2.43	10,768.50	Up
hsa-mir-365	2.56	3.03	3206	Up
hsa-mir-181b	2.4	2.46	1481	Up
hsa-let-7f	2.39	2.66	7346	Up
hsa-mir-155	2.29	2.38	1661	Up
hsa-mir-29b	2.27	2.78	8023.5	Up
hsa-mir-181d	2.17	2.2	1561.5	Up
hsa-mir-98	2.13	2.36	1937	Up
hsa-mir-29c	2.06	2.7	5126	Up
hsa-mir-497	0.23	-4.65	3977	Down
hsa-mir-31	0.24	-3.11	1151	Down
hsa-mir-335	0.29	-3.1	2453	Down
hsa-mir-320	0.29	-2.62	12,373.50	Down
rno-mir-140a	0.29	-3.282	1682	Down
hsa-mir-127	0.36	-2.32	1377	Down
hsa-mir-30a	0.42	-2.4	1923.5	Down
