Unigene	Gene symbol	Genename	Fold  change	Function
Hs.155569	Chac1	ChaC,cationtransportregulator-like1(E.coli)	3.42	Cationtransporter
Hs.154654	Cyp1B1	CytochromeP450,family1,subfamilyB,polypeptide1	2.84	Oxygenase
Hs.72912	Cyp1A1	CytochromeP450,family1,subfamilyA,polypeptide1	2.68	Oxygenase
Hs.12813	Tiparp	TCDD-induciblepoly(ADP-ribose)polymerase	2.23	Nucleicacidbinding
Hs.616962	Gdf15	Growthdifferentiationfactor15	2.08	Growthfactor
Hs.414795	Serpine1	Serpinpeptidaseinhibitor,cladeE(nexin,plasminogenactivatorinhibitortype1)member1	1.56	Serineproteaseinhibitor
Hs.709893	Sos1	Sonofsevenlesshomolog1(Drosophila)	1.74	Guanyl-nucleotideexchangefactor
Hs.25829	Rasd1	RAS,dexamethasone-induced1	1.74	SmallGTPase
Hs.390594	Slc7A11	Solutecarrierfamily7(cationicaminoacidtransporter,y+system)member11	1.61	Aminoacidtransporter
Hs.8867	Cyr61	Cysteine-rich,angiogenicinducer,61	1.53	Growthfactor
Hs.527021	Mras	MuscleRASoncogenehomolog	1.51	Signaltransduction;Synaptictransmission
Hs.282735	Nr1H4	Nuclearreceptorsubfamily1,groupH,member4	-1.6	Nuclearhormonereceptor;Transcriptionfactor;Nucleicacidbinding
Hs.483993	Palmd	Palmdelphin	-1.71	Othermiscellaneousfunctionprotein
Hs.450230	Igfbp3	Insulin-likegrowthfactorbindingprotein3	-1.77	Othermiscellaneousfunctionprotein
Hs.715525	Txnip	Thioredoxininteractingprotein	-4.44	Molecularfunctionunclassified
