HUGO name	LocusLinkID	Gene name	PHA/IL-2-activated CD4+T-cells (TPM)	Acutely HTLV-1 transformed cells (TPM) B1 cells	Acutely HTLV-1 transformed cells (TPM) C5 cells
ADPRT	142	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase), PARP	95	65	16
BCL2	596	B-cellCLL/lymphoma 2	9	20	9
BCL2L1	598	B-cellCLL/lymphoma 2-like 1, bcl-xL	5	125	52
BIRC2	330	Baculo virus inhibitor of apoptosis protein (IAP) repeat containing (BIRC)2	NA	10	NA
BNIP3	664	BCL2/adenovirus E1B 19 kDa interacting protein 3	3	NA	171
BRRN1	23397	Barren homolog (Drosophila)	20	NA	83
CFLIP	8837	Cellular FLICE inhibitory protein	41	248	135
CDKN2A	1029	Cyclin-dependent kinase inhibitor 2A	NA	21	NA
CPR2	9238	Cell cycle progression 2 protein	19	33	NA
MALT1	10892	Mucosa-associatedlymphoidtissuelymphomatranslocationgene1	2	NA	37
RECQL	5965	RecQprotein-like(DNAhelicaseQ1-like)	17	NA	84
STK6	6790	Aurora/IPL1-likekinase	NA	62	NA
