Accesion #	Gene Name	PCOS/NL	p-value	Function	Specific Function
M13436	Inhibin ? A subunit	0.34	0.004	Signal Transduction	Secreted Factors
AF154054	Gremlin	0.46	0.01	Signal Transduction	Secreted Factors
AF203728	Bone morphogenic factor Y	0.59	0.032	Signal Transduction	Secreted Factors
NM_004114	Fibroblast growth factor 13	2.06	0.03	Signal Transduction	Secreted Factors
NM_004113	Fibroblast growth factor 12B	0.56	0.043	Signal Transduction	Secreted Factors
M69148	Midkine	2.33	0.003	Signal Transduction	Secreted Factors
NM_021070	Latent TGF? binding protein 3	1.7	0.02	Signal Transduction	Secreted Factors
NM_025208	Spinal cord-derived growth factor B	1.72	0.03	Signal Transduction	Secreted Factors
NM_003020	Secretory granule neuroendocrine protein 7B2	1.49	0.036	Signal Transduction	Secreted Factors
NM_003392	Wnt 5A	0.55	0.043	Signal Transduction	Secreted Factors
NM_030945	C1q/TNF?-related protein	0.39	0.0004	Signal Transduction	Secreted Factors
NM_014478	Mucin 3A, intestinal	0.61	0.041	Signal Transduction	Secreted Factors
AF286598	Angiomotin	0.49	0.001	Signal Transduction	Secreted Factors
NM_004673	Angiopoietin-like 1	3.66	0.015	Signal Transduction	Secreted Factors
BF9402761	Radical fringe homolog	1.62	0.033	Signal Transduction	Secreted Factors
NM_003692	Transmembrane protein TMEFF1	0.47	0.002	Signal Transduction	Transmembrane Receptors
NM_012342	Putative transmembrane protein (nma)	1.6	0.011	Signal Transduction	Transmembrane Receptors
NM_000908	Atrial natriuretic peptide receptor C (NPR3)	0.56	0.025	Signal Transduction	Transmembrane Receptors
NM_000877	Interleukin 1 receptor type I	1.72	0.029	Signal Transduction	Transmembrane Receptors
NM_023003	Transmembrane 6, superfamily 1	0.37	0.0005	Signal Transduction	Transmembrane Receptors
NM_080927	ESDN (neurophilin-like protein)	1.8	0.048	Signal Transduction	Transmembrane Receptors
AI825926	Phospholipid scramblase 1	2.37	0.05	Signal Transduction	Transmembrane Receptors
NM_003004	Secreted and transmembrane 1 (SECTM1)	2.18	0.042	Signal Transduction	Transmembrane Receptors
NM_014255	Transmembrane protein 4	1.63	0.032	Signal Transduction	Transmembrane Receptors
