Pair rank	Gene ID	Pair t-score	Gene t-score	Gene rank	Gene annotation
1	M63391	10.02	5.57	2	Human desmin gene, complete cds
1	H08393	10.02	5.47	4	Collagen alpha 2(XI) chain (H. sapiens)
2	X12671	9.85	5.37	5	Human gene for heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1
2	Z50753	9.85	5.09	9	H. sapiens mRNA for GCAP-II/uroguanylin precursor
3	R87126	9.58	6.37	1	Myosin heavy chain, nonmuscle (Gallus gallus)
3	X63629	9.58	4.86	12	H. sapiens mRNA for p cadherin
4	M36634	9.27	4.65	15	Human vasoactive intestinal peptide (VIP) mRNA, complete cds
4	H11084	9.27	3.55	65	Vascular endothelial growth factor (Cavia porcellus)
5	J05032	8.96	5.2	8	Human aspartyl-tRNA synthetase alpha-2 subunit mRNA, complete cds
5	U19969	8.96	3.05	132	Human two-handed zinc finger protein ZEB mRNA, partial cds
6	J02854	8.94	5.28	7	Myosin regulatory light chain 2, smooth muscle isoform (human) (contains element TAR1 repetitive element)
6	R54097	8.94	3.93	46	Translational initiation factor 2 beta subunit (human)
7	H06524	8.89	4.18	29	Gelsolin precursor, plasma (human)
7	U22055	8.89	3.77	51	Human 100 kDa coactivator mRNA, complete cds
8	M76378	8.74	4.81	13	Human cysteine-rich protein (CRP) gene, exons 5 and 6
8	T62947	8.74	4.12	34	60S ribosomal protein L24 (Arabidopsis thaliana)
9	D21261	8.67	3.46	76	SM22-alpha homolog (human)
9	H20709	8.67	2.69	203	Myosin light chain alkali, smooth-muscle isoform (human)
10	X86693	8.64	4.16	30	H. sapiens mRNA for hevin like protein
10	D14812	8.64	2.66	211	Human mRNA for ORF, complete cds
11	H09719	8.35	2.57	237	Tubulin alpha-6 chain (Mus musculus)
11	L07648	8.35	2.31	321	Human MXI1 mRNA, complete cds
12	X12369	8.25	3.27	97	Tropomyosin alpha chain, smooth muscle (human)
12	R98842	8.25	3.05	131	Prothymosin alpha (H. sapiens)
13	J04102	8.11	3.06	128	Human erythroblastosis virus oncogene homolog 2 (ets-2) mRNA, complete cds
13	U14631	8.11	2.84	164	Human 11 beta-hydroxysteroid dehydrogenase type II mRNA, complete cds
14	T63133	8.06	2.85	160	Thymosin beta-10 (human)
14	T61661	8.06	2.51	255	Profilin I (human)
15	T92451	8.06	4.12	33	Tropomyosin, fibroblast and epithelial muscle-type (human)
15	U09587	8.06	3.46	74	Human glycyl-tRNA synthetase mRNA, complete cds
16	T71025	8.0	4.34	24	Human
16	L11706	8.0	3.18	104	Human hormone-sensitive lipase (LIPE) gene, complete cds
17	Z48541	7.96	3.14	120	H. sapiens mRNA for protein tyrosine phosphatase
17	D25217	7.96	2.54	249	Human mRNA (KIAA0027) for ORF, partial cds
18	M76378	7.94	5.04	10	Human cysteine-rich protein (CRP) gene, exons 5 and 6
18	T56604	7.94	3.89	48	Tubulin beta chain (Haliotis discus)
19	X54942	7.93	4.42	23	H. sapiens ckshs2 mRNA for Cks1 protein homolog
19	R44301	7.93	3.36	85	Mineralocorticoid receptor (H. sapiens)
20	T90280	7.86	3.52	70	Ribophorin II precursor (human)
20	T51534	7.86	3.01	137	Cystatin C precursor (human)
21	R96357	7.81	2.89	156	Polyadenylate-binding protein (Xenopus laevis)
21	R46753	7.81	2.64	216	Cyclin-dependent kinase inhibitor 1 (H. sapiens)
22	M76378	7.75	4.51	20	Human cysteine-rich protein (CRP) gene, exons 5 and 6
22	D00860	7.75	3.38	81	Ribose-phosphate pyrophosphokinase I (human)
23	X14958	7.56	4.53	19	Human hmgI mRNA for high mobility group protein Y
23	X87159	7.56	2.63	221	H. sapiens mRNA for beta subunit of epithelial amiloride-sensitive sodium channel
24	T51023	7.55	4.12	32	Heat shock protein HSP 90-beta (human)
24	D31716	7.55	2.83	168	Human mRNA for GC box binding protein, complete cds
25	M26383	7.52	5.53	3	Human monocyte-derived neutrophil-activating protein (MONAP) mRNA, complete cds
25	T47377	7.52	4.11	35	S-100P protein (human)
