CLONE ID	Gene Name
813841	tissue plasminogen activator
859359	quinone oxidoreductase homolog
207274	insulin-like growth factor 2
296448	insulin-like growth factor 2 (somatomedin A)
898219	homolog of mouse mesoderm specific transcript
784224	fibroblast growth factor receptor 4
796258	sarcoglycan alpha (dystrophin-associated glycoprotein)
244618	EST
789253	presenilin 2 (Alzheimer disease 4)
298062	troponin T2, cardiac muscle isoforms
461425	myosin MYL4
1409509	troponin T1, slow skeletal muscle isoforms
42558	L-arginine: glycine amidinotransferase
769716	neurofibromin 2 (mutated in neurofibromatosis type 2)
25725	farnesyl-diphosphate farnesyltransferase 1
44563	growth associated protein 43 (GAP43)
325182	N-cadherin (neuronal)
812105	ALL 1-fused gene from chromosome 1q
41591	meningioma 1 (disrupted in balanced translocation)
810057	cold shock domain protein A
52076	neuroblastoma protein (NOE1)
866702	Fas-associated protein tyrosine phosphatase 1
814260	follicular lymphoma variant translocation protein 1
43733	glycogenin 2
357031	tumor necrosis factor alpha-induced protein 6
1435862	MIC2 surface antigen (CD99)
770394	IgG Fc fragment receptor transporter, alpha chain
377461	caveolin 1 (caveolae protein)
1473131	transducin-like enhancer of split 2
295985	EST
241412	E74-like factor 1 (ets domain transcription factor)
80109	major histocompatibility complex, class II, DQ alpha 1
183337	major histocompatibility complex, class II, DM alpha
233721	insulin-like growth factor binding protein 2
897788	receptor type protein tyrosine phosphatase F
563673	antiquitin 1
504791	glutathione S-transferase A4
212542	cDNA DKFZp586J2118
365826	growth arrest-specific protein 1
204545	EST
308163	EST
21652	alpha 1 catenin (cadherin-associated protein)
486110	profilin 2
