Probe set	GeneSymbol	Gene Title	Geom mean  tissue-LAI	Geom mean  tissue-PTCL unsp	Fold difference of geom means	Parametric p-value	Geom mean cell-LAI	FC LAI cell/tissue	rank
1558438_a_at		Immunoglobulin epsilon chain	101	13	7.92	2.61E-05	12	0.12	107
229152_at	C4orf7	chromosome 4 open reading frame 7	1655	221	7.48	3.20E-06	7	0	34
205544_s_at	CR2	complement component (3d/Epstein Barr virus) receptor 2	246	40	6.11	3.05E-05	23	0.09	117
223710_at	CCL26	chemokine (C-C motif) ligand 26	36	7	5.37	1.14E-04	6	0.17	234
204580_at	MMP12	matrix metallopeptidase 12 (macrophage elastase)	681	136	5.01	8.79E-04	11	0.02	630
223565_at	PACAP	proapoptotic caspase adaptor protein	385	78	4.96	5.80E-05	95	0.25	164
231496_at	FCAMR	Fc receptor, IgA, IgM, high affinity	29	6	4.94	2.38E-04	5	0.17	326
226913_s_at	SOX8	SRY (sex determining region Y)-box 8	45	9	4.83	1.00E-08	6	0.13	1
204777_s_at	MAL	mal, T-cell differentiation protein	334	72	4.62	2.35E-04	173	0.52	323
228367_at	ALPK2	alpha-kinase 2	123	28	4.47	8.07E-05	9	0.07	192
1562019_at	LOC284958	hypothetical protein LOC284958	28	6	4.35	1.85E-04	4	0.14	294
231148_at	IGFL2	insulin growth factor-like family member 2	52	12	4.28	9.01E-04	68	1.31	646
205476_at	CCL20	chemokine (C-C motif) ligand 20	44	11	4.09	2.56E-04	16	0.36	338
205554_s_at	DNASE1L3	deoxyribonuclease I-like 3	350	86	4.09	2.56E-04	12	0.03	339
215214_at	IGLV325	immunoglobulin lambda variable 3-25	435	107	4.05	6.60E-04	104	0.24	533
228176_at	EDG3	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	169	42	4.05	2.00E-07	4	0.02	12
206641_at	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	96	24	4.04	1.40E-03	19	0.2	807
236099_at		Transcribed locus	110	27	4.04	3.90E-05	441	4.01	132
223503_at	DKFZP566N034	hypothetical protein DKFZp566N034	102	26	3.88	3.80E-06	15	0.15	38
237802_at	XKR4	X Kell blood group precursor-related family, member 4	27	7	3.85	7.50E-06	5	0.19	55
209374_s_at	IGHM	immunoglobulin heavy constant mu	3132	819	3.82	7.10E-06	1776	0.57	52
220306_at	FAM46C	family with sequence similarity 46, member C	121	32	3.82	3.31E-05	212	1.75	122
205266_at	LIF	leukemia inhibitory factor (cholinergic differentiation factor)	43	11	3.8	4.70E-06	91	2.14	46
219064_at	ITIH5	inter-alpha (globulin) inhibitor H5	90	24	3.77	1.00E-07	10	0.11	3
214777_at		Ig rearranged kappa-chain mRNA V-J1-region, hybridoma AE6-5, 5 end	735	196	3.75	6.98E-04	297	0.4	548
204475_at	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	31	8	3.72	5.44E-04	4	0.13	485
207861_at	CCL22	chemokine (C-C motif) ligand 22	107	29	3.68	2.90E-06	39	0.37	33
205267_at	POU2AF1	POU domain, class 2, associating factor 1	734	201	3.65	5.70E-05	260	0.35	163
215565_at	DTNB	dystrobrevin, beta	61	17	3.62	5.60E-05	27	0.45	162
205780_at	BIK	BCL2-interacting killer (apoptosis-inducing)	86	24	3.59	2.20E-06	74	0.86	30
221286_s_at	PACAP	proapoptotic caspase adaptor protein	516	145	3.55	8.99E-05	273	0.53	204
1552626_a_at	DKFZP566N034	hypothetical protein DKFZp566N034	75	22	3.44	4.00E-06	16	0.21	42
205676_at	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	57	17	3.36	4.11E-04	15	0.27	416
206002_at	GPR64	G protein-coupled receptor 64	54	16	3.35	1.41E-04	5	0.09	258
222043_at	CLU	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	288	88	3.26	1.28E-05	6	0.02	70
227300_at	LOC338773	hypothetical protein LOC338773	101	31	3.25	8.00E-07	11	0.11	22
201287_s_at	SDC1	syndecan 1	56	17	3.23	8.42E-05	19	0.34	195
209869_at	ADRA2A	adrenergic, alpha-2A-, receptor /// adrenergic, alpha-2A-, receptor	78	24	3.21	1.00E-07	6	0.08	5
221253_s_at	TXNDC5	thioredoxin domain containing 5 /// thioredoxin domain containing 5	1586	504	3.14	7.30E-06	538	0.34	54
1556183_at		MRNA; cDNA DKFZp434J1630 (from clone DKFZp434J1630)	41	13	3.1	7.68E-05	16	0.39	188
228518_at	IGH@;IGHG1;IGHM	immunoglobulin heavy locus /// immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin heavy constant mu	125	40	3.09	8.88E-05	32	0.26	202
208791_at	CLU	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	2026	661	3.06	1.22E-05	22	0.01	67
205903_s_at	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	22	7	3.04	1.81E-05	15	0.69	82
221463_at	CCL24	chemokine (C-C motif) ligand 24	40	13	3	8.76E-04	11	0.27	628
208792_s_at	CLU	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	2925	979	2.98	2.27E-05	45	0.02	96
205861_at	SPIB	Spi-B transcription factor (Spi-1/PU.1 related) /// Spi-B transcription factor (Spi-1/PU.1 related)	147	50	2.94	1.00E-08	28	0.19	2
1562020_s_at	LOC284958	hypothetical protein LOC284958	24	8	2.93	3.16E-04	6	0.25	381
235965_at	DKFZP434B0335	DKFZP434B0335 protein	25	8	2.92	2.15E-05	15	0.61	91
223435_s_at	PCDHA9;PCDHAC2;PCDHAC1;PCDHA13;PCDHA12;PCDHA11;PCDHA10;PCDHA8;PCDHA7;PCDHA6;PCDHA5;PCDHA4;PCDHA3;PCDHA2;PCDHA1	protocadherin alpha 9 /// protocadherin alpha subfamily C, 2 /// protocadherin alpha subfamily C, 1 /// protocadherin alpha 13 /// protocadherin alpha 12 /// protocadherin alpha 11 /// protocadherin alpha 10 /// protocadherin alpha 8 /// protocadherin alpha 7 /// protocadherin alpha 6 /// protocadherin alpha 5 /// protocadherin alpha 4 /// protocadherin alpha 3 /// protocadherin alpha 2 /// protocadherin alpha 1	28	10	2.9	1.59E-05	5	0.18	77
233969_at	IGLC2	Immunoglobulin lambda light chain /// Immunoglobulin lambda constant 1 (Mcg marker)	19	7	2.86	2.78E-04	15	0.79	354
205242_at	CXCL13	chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	2056	735	2.79	1.01E-03	4005	1.95	673
212624_s_at	CHN1	chimerin (chimaerin) 1	148	54	2.75	1.23E-05	30	0.2	68
211430_s_at	IGH@;IGHG1;IGHG2;IGHG3;IGHM	immunoglobulin heavy locus /// immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin heavy constant gamma 2 (G2m marker) /// immunoglobulin heavy constant gamma 3 (G3m marker) /// immunoglobulin heavy constant mu	7636	2786	2.74	1.26E-03	2621	0.34	760
203477_at	COL15A1	collagen, type XV, alpha 1	117	43	2.72	4.57E-04	11	0.09	444
213248_at	LOC221362	hypothetical protein LOC221362	40	15	2.71	1.30E-06	10	0.25	24
227742_at	CLIC6	chloride intracellular channel 6	25	9	2.71	1.37E-03	6	0.24	796
219118_at	FKBP11	FK506 binding protein 11, 19 kDa	321	118	2.7	9.70E-05	122	0.38	215
226811_at	FAM46C	family with sequence similarity 46, member C	312	116	2.7	2.89E-04	196	0.63	361
205569_at	LAMP3	lysosomal-associated membrane protein 3	236	88	2.68	1.33E-03	105	0.45	783
205347_s_at	TMSL8	thymosin-like 8	16	6	2.67	1.18E-04	4	0.26	239
217767_at	C3	complement component 3	1613	603	2.67	7.14E-04	13	0.01	564
222435_s_at	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	331	124	2.67	8.42E-05	190	0.57	196
200999_s_at	CKAP4	cytoskeleton-associated protein 4	147	55	2.66	4.48E-05	110	0.75	143
217469_at		Immunoglobulin epsilon chain	26	10	2.66	2.85E-04	12	0.45	357
221004_s_at	ITM2C	integral membrane protein 2C /// integral membrane protein 2C	363	137	2.65	3.20E-06	146	0.4	35
225283_at	ARRDC4	arrestin domain containing 4	75	28	2.65	1.38E-05	6	0.08	72
202668_at	EFNB2	ephrin-B2	113	43	2.63	3.50E-06	11	0.1	37
217320_at		Ig rearranged gamma-chain mRNA V-region, 5 end of cds (from clone S9P16)	12	5	2.63	1.74E-04	6	0.48	287
205901_at	PNOC	prepronociceptin	35	14	2.6	4.84E-05	16	0.46	151
221898_at	PDPN	podoplanin	18	7	2.6	1.00E-07	4	0.22	4
219463_at	C20orf103	chromosome 20 open reading frame 103	27	10	2.57	1.09E-03	32	1.19	694
225809_at	DKFZP564O0823	DKFZP564O0823 protein	62	24	2.57	4.67E-04	31	0.5	447
1554966_a_at	DOC1	downregulated in ovarian cancer 1	111	44	2.56	2.51E-04	16	0.14	335
213924_at	MPPE1	Metallophosphoesterase 1	51	20	2.56	1.00E-07	15	0.3	9
225491_at	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	23	9	2.53	5.38E-05	6	0.27	158
226029_at	VANGL2	vang-like 2 (van gogh, Drosophila)	33	13	2.53	9.52E-05	6	0.18	211
200670_at	XBP1	X-box binding protein 1	299	119	2.51	2.37E-04	181	0.61	324
229779_at		CDNA clone IMAGE:30367357	36	15	2.51	1.87E-05	8	0.22	85
209488_s_at	RBPMS	RNA binding protein with multiple splicing	69	28	2.49	1.60E-06	6	0.09	27
203857_s_at	PDIA5	protein disulfide isomerase family A, member 5	128	52	2.46	9.00E-07	42	0.33	23
216620_s_at	ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10	58	23	2.46	6.00E-07	8	0.14	19
219551_at	EAF2	ELL associated factor 2	178	72	2.46	8.85E-04	95	0.53	633
227189_at	CPNE5	copine V	53	22	2.44	5.69E-04	21	0.39	493
205174_s_at	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	36	15	2.43	1.87E-04	9	0.25	295
206049_at	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)	53	22	2.42	4.50E-06	10	0.19	43
208850_s_at	THY1	Thy-1 cell surface antigen	156	64	2.42	7.00E-07	8	0.05	20
207538_at	IL4	interleukin 4	12	5	2.41	1.20E-03	4	0.34	743
229623_at		Similar to hypothetical protein LOC231503	35	15	2.4	1.10E-04	6	0.17	230
204135_at	DOC1	downregulated in ovarian cancer 1	147	62	2.38	1.14E-04	20	0.14	233
209583_s_at	CD200	CD200 antigen	98	41	2.38	8.41E-04	75	0.76	613
216517_at	IGKC;LOC339562	immunoglobulin kappa constant /// similar to Ig kappa chain	26	11	2.38	1.92E-03	35	1.35	933
228245_s_at	OVOS2	ovostatin 2	88	37	2.38	3.57E-04	22	0.25	398
219440_at	RAI2	retinoic acid induced 2	20	9	2.35	1.06E-05	5	0.25	64
220108_at	GNA14	guanine nucleotide binding protein (G protein), alpha 14	21	9	2.34	1.77E-05	6	0.29	81
39729_at	PRDX2	peroxiredoxin 2	649	277	2.34	2.12E-04	609	0.94	310
217080_s_at	HOMER2	homer homolog 2 (Drosophila)	13	6	2.33	2.91E-04	12	0.92	363
219117_s_at	FKBP11	FK506 binding protein 11, 19 kDa	715	307	2.33	8.87E-05	374	0.52	201
204457_s_at	GAS1	growth arrest-specific 1	91	40	2.3	1.20E-03	5	0.06	746
228298_at	MGC16044	hypothetical protein MGC16044	166	73	2.29	1.00E-07	125	0.75	8
239082_at		CDNA clone IMAGE:5311370	33	14	2.29	1.18E-03	16	0.48	730
212091_s_at	COL6A1	collagen, type VI, alpha 1	85	37	2.28	2.56E-04	14	0.16	337
209156_s_at	COL6A2	collagen, type VI, alpha 2	388	171	2.27	7.43E-05	11	0.03	184
226930_at	FNDC1	fibronectin type III domain containing 1	22	10	2.27	1.50E-03	5	0.22	819
203435_s_at	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	23	10	2.26	4.31E-04	32	1.39	432
204971_at	CSTA	cystatin A (stefin A)	611	270	2.26	5.56E-04	53	0.09	490
201058_s_at	MYL9	myosin, light polypeptide 9, regulatory	93	42	2.23	1.54E-03	8	0.09	830
209765_at	ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)	286	128	2.23	5.04E-04	231	0.81	467
207030_s_at	CSRP2	cysteine and glycine-rich protein 2	140	63	2.22	8.20E-06	9	0.06	58
226621_at	OSMR	Oncostatin M receptor	231	104	2.22	2.81E-05	6	0.03	113
226695_at	PRRX1	paired related homeobox 1	277	125	2.22	3.63E-04	6	0.02	399
202421_at	IGSF3	immunoglobulin superfamily, member 3	20	9	2.21	6.79E-05	15	0.74	175
209191_at	TUBB6	tubulin, beta 6	224	101	2.21	6.00E-07	75	0.34	18
221029_s_at	WNT5B	wingless-type MMTV integration site family, member 5B /// wingless-type MMTV integration site family, member 5B	22	10	2.2	2.53E-05	10	0.46	104
225355_at	DKFZP761M1511	hypothetical protein DKFZP761M1511	58	27	2.19	7.59E-05	12	0.21	186
226435_at	PAPLN	papilin, proteoglycan-like sulfated glycoprotein	124	56	2.19	7.87E-04	8	0.06	595
201667_at	GJA1	gap junction protein, alpha 1, 43kDa (connexin 43)	202	93	2.18	1.41E-04	5	0.02	259
204604_at	PFTK1	PFTAIRE protein kinase 1	40	18	2.18	3.00E-07	15	0.38	14
224694_at	ANTXR1	anthrax toxin receptor 1	68	31	2.18	1.02E-03	4	0.06	675
213455_at	LOC283677	hypothetical LOC283677	94	43	2.17	2.00E-07	11	0.12	11
222484_s_at	CXCL14	chemokine (C-X-C motif) ligand 14	474	218	2.17	1.09E-03	7	0.01	697
201286_at	SDC1	syndecan 1	27	12	2.16	7.11E-04	17	0.63	562
213428_s_at	COL6A1	collagen, type VI, alpha 1	438	202	2.16	4.75E-04	12	0.03	454
221667_s_at	HSPB8	heat shock 22kDa protein 8	84	39	2.15	6.50E-06	23	0.27	51
