ProbeID	Gen Name	ALL_DATA	GRADE_1	GRADE_1-LIKE	GRADE_3-LIKE	GRADE_3
200029_at	RPL19	1.43E-01	8.42E-01	1.58E-01	7.93E-01	7.01E-01
228888_at	STAC2	2.65E-01	2.76E-01	9.16E-01	9.65E-01	4.41E-01
239224_at	FBXL20	1.21E-01	9.62E-01	7.58E-01	3.98E-01	7.30E-01
203497_at	PPARBP	4.79E-03	3.14E-01	4.43E-01	8.62E-01	5.43E-02
213557_at	CRKRS	6.90E-03	4.90E-01	6.00E-01	9.33E-01	2.49E-01
210271_at	NEUROD2	1.60E-02	4.40E-03	9.04E-01	1.33E-01	9.87E-01
225165_at	PPP1R1B	3.34E-01	7.86E-01	7.62E-01	2.84E-01	2.96E-01
202991_at	STARD3	1.01E-05	3.83E-02	5.25E-01	9.04E-01	3.53E-03
205766_at	TCAP	2.86E-02	3.74E-01	2.16E-02	9.30E-01	8.62E-01
206793_at	PNMT	6.75E-02	3.70E-01	6.18E-01	9.79E-01	1.20E-01
221811_at	PERLD1	5.86E-05	2.55E-02	6.36E-01	7.69E-01	2.07E-01
216836_s_at	ERBB2	3.19E-03	4.78E-01	2.70E-01	8.67E-01	1.25E-01
224447_s_at	C17orf37	1.36E-04	4.83E-01	2.76E-01	3.22E-01	1.89E-01
210761_s_at	GRB7	2.98E-03	3.00E-01	7.04E-01	3.03E-01	2.41E-02
221092_at	IKZF3	7.68E-03	1.68E-01	1.27E-01	5.97E-01	2.93E-01
231442_at	ZPBP2	1.51E-01	3.02E-01	2.79E-01	3.78E-01	2.52E-01
219233_s_at	GSDML	3.28E-01	7.99E-01	5.03E-01	9.39E-01	7.32E-01
