Probeset ID	Gene Title	Gene Symbol	FDR p-value                        based on paired t-test	FoldChange                  (CD15 + vs. CD15-)
1430579_at	TRAF2 and NCK interacting kinase	Tnik	0.00469982	-2.65602
1454646_at	t-complex 11 (mouse) like 2	Tcp11l2	0.0121083	-2.08576
1435807_at	cell division cycle 42 homolog (S. cerevisiae)	Cdc42	0.0132624	-2.06808
1418714_at	dual specificity phosphatase 8	Dusp8	0.0132624	-2.38161
1429405_at	RIKEN cDNA 2010317E24 gene	2010317E24Rik	0.0132624	2.02113
1433450_at	cyclin-dependent kinase 5, regulatory subunit (p35) 1	Cdk5r1	0.0132624	-2.01655
1454761_at	cDNA sequence BC005764	BC005764	0.0133215	-2.53222
1445297_at	Transcribed locus	NA	0.0134816	-1.96323
1451728_at	WD repeat domain 13	Wdr13	0.0134816	-1.84164
1435038_s_at	AP2 associated kinase 1	Aak1	0.0134816	-2.91339
1417005_at	kinesin light chain 1	Klc1	0.013866	-2.27919
1416313_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); tran	Mllt11	0.013866	-2.54841
1435453_at	RIKEN cDNA A930011O12 gene	A930011O12Rik	0.013866	-2.37133
1454613_at	dihydropyrimidinase-like 3	Dpysl3	0.013866	-4.87044
1426615_s_at	N-myc downstream regulated gene 4	Ndrg4	0.013866	-4.37293
1436733_at	RIKEN cDNA E130309F12 gene	E130309F12Rik	0.013866	-2.98481
1433596_at	DnaJ (Hsp40) homolog, subfamily C, member 6	Dnajc6	0.013866	-3.17952
1418141_at	doublecortin	Dcx	0.013866	-2.5367
1440071_at	membrane associated guanylate kinase, WW and PDZ domain containing 1	Magi1	0.013866	-3.60197
1455712_at	histone cluster 3, H2a	Hist3h2a	0.013866	-2.15956
1440891_at	glutamate receptor, ionotropic, AMPA4 (alpha 4)	Gria4	0.013866	-2.10295
1417235_at	EH-domain containing 3	Ehd3	0.013866	-1.85505
1426024_a_at	drebrin 1	Dbn1	0.0163768	-1.97185
1435165_at	contactin 2	Cntn2	0.0163768	-3.2923
1455847_at	p21 (CDKN1A)-activated kinase 7	Pak7	0.0168462	-2.60268
1435543_at	adenomatosis polyposis coli	Apc	0.018882	-1.9525
1454939_at	PHD finger protein 20-like 1	Phf20l1	0.018882	-2.37748
1419240_at	testis expressed gene 14	Tex14	0.018882	-2.78399
1434531_at	mannoside acetylglucosaminyltransferase 5, isoenzyme B	Mgat5b	0.0194075	-1.83064
1423640_at	synaptoporin	Synpr	0.0194075	-3.01117
1436188_a_at	N-myc downstream regulated gene 4	Ndrg4	0.0194075	-4.54143
1450435_at	L1 cell adhesion molecule	L1cam	0.0194075	-6.39879
1460720_at	transient receptor potential cation channel, subfamily C, member 4 associated pr	Trpc4ap	0.0194075	-2.18
1455622_at	podocalyxin-like 2	Podxl2	0.0203568	-1.88154
1455471_at	RIKEN cDNA 1500012D20 gene	1500012D20Rik	0.0204509	-2.3462
1439500_at	secernin 1	Scrn1	0.0204509	-2.68909
1451094_at	gamma-glutamyltransferase-like 3	Ggtl3	0.0204509	-2.01165
1428784_at	Gem-interacting protein	Gmip	0.0204509	-1.956
1435866_s_at	histone cluster 3, H2a	Hist3h2a	0.0204509	-1.81008
1418610_at	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), m	Slc17a6	0.021021	-2.23758
1425115_at	retinoblastoma binding protein 6	Rbbp6	0.0210803	-1.8142
1432464_a_at	RIKEN cDNA 2310057J16 gene	2310057J16Rik	0.0210803	-2.83583
1434733_at	serine/threonine kinase 36 (fused homolog, Drosophila)	Stk36	0.0213046	-2.38776
1434272_at	cytoplasmic polyadenylation element binding protein 2	Cpeb2	0.0216814	-2.86597
1454691_at	neurexin I	Nrxn1	0.0217856	-2.41893
1439854_at	harakiri, BCL2 interacting protein (contains only BH3 domain)	Hrk	0.0218785	-2.65455
1454675_at	thyroid hormone receptor alpha	Thra	0.0218785	-1.90587
1456482_at	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	Pik3r3	0.0218785	-1.86429
1428864_at	RIKEN cDNA 5530400B01 gene	5530400B01Rik	0.0218785	-2.32275
1428284_at	RIKEN cDNA 8430427H17 gene	8430427H17Rik	0.0218785	-3.5366
1418139_at	doublecortin	Dcx	0.0218785	-2.40753
1424029_at	TSPY-like 4	Tspyl4	0.0218785	-2.13037
1424719_a_at	microtubule-associated protein tau	Mapt	0.0218785	-2.96536
1418434_at	makorin, ring finger protein, 1	Mkrn1	0.0218785	-1.90329
1419651_at	RIKEN cDNA 2610200G18 gene	2610200G18Rik	0.0218785	-1.84622
1448232_x_at	tubulin, alpha 1C /// predicted gene, EG626534	Tuba1c	0.0223143	2.18144
1415886_at	SH2 domain containing 3C	Sh2d3c	0.0233305	-2.24493
1444120_at	bridging integrator 1	Bin1	0.0237624	-2.07715
1455730_at	discs, large homolog 7 (Drosophila)	Dlg7	0.0237624	1.83916
1436734_at	RIKEN cDNA E130309F12 gene	E130309F12Rik	0.0238555	-2.58517
1415877_at	dihydropyrimidinase-like 3	Dpysl3	0.0238555	-3.87269
1436729_at	actin filament associated protein 1	Afap1	0.0238555	-2.17013
1460121_at	RIKEN cDNA 9630010G10 gene	9630010G10Rik	0.0238555	-2.0885
1423280_at	stathmin-like 2	Stmn2	0.0238555	-4.36435
1452979_at	RIKEN cDNA 2610110G12 gene	2610110G12Rik	0.0238555	-1.95368
1439394_x_at	cell division cycle 20 homolog (S. cerevisiae)	Cdc20	0.0238555	1.91201
1433451_at	cyclin-dependent kinase 5, regulatory subunit (p35) 1	Cdk5r1	0.0238555	-2.16616
1427123_s_at	coatomer protein complex, subunit gamma 2, antisense 2	Copg2as2	0.0243063	-5.49289
1451595_a_at	potassium voltage-gated channel, subfamily Q, member 2	Kcnq2	0.0244552	-2.36714
1434969_at	bruno-like 5, RNA binding protein (Drosophila)	Brunol5	0.0244552	-2.95538
1447363_s_at	budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)	Bub1b	0.0244552	1.91464
1426413_at	neurogenic differentiation 1	Neurod1	0.0244552	-2.65968
1449423_at	microtubule associated serine/threonine kinase 1	Mast1	0.0244552	-2.92486
1422589_at	RAB3A, member RAS oncogene family	Rab3a	0.0244552	-2.737
1453769_at	cytoskeleton associated protein 2-like	Ckap2l	0.024522	1.83909
1418314_a_at	ataxin 2 binding protein 1	A2bp1	0.024522	-2.32177
1438789_s_at	dihydropyrimidinase-like 3	Dpysl3	0.024522	-2.67752
1424220_a_at	porcupine homolog (Drosophila)	Porcn	0.024522	-2.66914
1455021_at	gamma-aminobutyric acid (GABA-B) receptor, 1	Gabbr1	0.024522	-2.30771
1440619_at	mitogen activated protein kinase 8 interacting protein 1	Mapk8ip1	0.024522	-1.8337
1415885_at	chromogranin B	Chgb	0.0258909	-3.7529
1436297_a_at	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutam	Grina	0.025925	-2.30576
1423893_x_at	amyloid beta (A4) precursor protein-binding, family B, member 1	Apbb1	0.025925	-1.90654
1455509_at	cDNA sequence AB182283	AB182283	0.025992	-2.35233
1450428_at	LIM homeobox protein 1	Lhx1	0.025992	-1.82264
1427246_at	membrane associated guanylate kinase, WW and PDZ domain containing 1	Magi1	0.0262543	-2.86422
1448946_at	kinesin family member 3C	Kif3c	0.0266	-1.89712
1428471_at	sorbin and SH3 domain containing 1	Sorbs1	0.0271109	-1.81125
1450839_at	DNA segment, human D4S114	D0H4S114	0.0271109	-2.09496
1440273_at	10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:B9300	NA	0.0274377	-1.86815
1428741_at	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	Elavl4	0.0276501	-2.42703
1429809_at	transmembrane and tetratricopeptide repeat containing 2	Tmtc2	0.0276501	-2.13886
1419356_at	Kruppel-like factor 7 (ubiquitous)	Klf7	0.0277791	-2.04947
1455296_at	adenylate cyclase 5	Adcy5	0.0277791	-1.80065
1422773_at	myelin transcription factor 1	Myt1	0.0277791	-2.69153
1454884_at	BTB (POZ) domain containing 4	Btbd4	0.0277791	-2.96169
1427320_at	coatomer protein complex, subunit gamma 2, antisense 2	Copg2as2	0.0277791	-4.80375
1434767_at	expressed sequence C79407	C79407	0.0277791	1.91076
1448432_at	phospholipase C, delta 1	Plcd1	0.0277791	-2.07751
1418922_at	cell adhesion molecule 3	Cadm3	0.0277791	-2.79944
1424624_at	RIKEN cDNA 2900011O08 gene	2900011O08Rik	0.0277791	-2.10921
1435123_at	RIKEN cDNA C030014M07 gene	C030014M07Rik	0.0277791	-2.20169
1434742_s_at	apoptosis-inducing factor, mitochondrion-associated 3	Aifm3	0.0277791	-1.83205
1450863_a_at	doublecortin-like kinase 1	Dclk1	0.0277791	-2.64674
1435857_s_at	amyloid beta (A4) precursor-like protein 1	Aplp1	0.0277791	-3.11131
1449207_a_at	kinesin family member 20A	Kif20a	0.0277791	2.00978
1453421_at	serine racemase	Srr	0.0277791	-1.8355
1439833_at	septin 3	12:00 AM	0.0277791	-2.10539
1423173_at	N-ethylmaleimide sensitive fusion protein attachment protein beta	Napb	0.0277791	-2.09828
1429095_at	centromere protein P	Cenpp	0.0277791	1.83931
1423515_at	sodium channel, voltage-gated, type VIII, alpha	Scn8a	0.0277791	-1.81985
1429945_at	RIKEN cDNA 2810406K13 gene	2810406K13Rik	0.0277791	-3.40008
1455447_at	RIKEN cDNA D430019H16 gene	D430019H16Rik	0.0277791	-2.73284
1449202_at	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cyt	Sema4g	0.0277791	-2.81282
