Agilent id	Unigene id	Genbank id	Gene name	Description	EHSPEL; Undifferentiated F9=Cy3 (log ratio 2^n)	F9-diff; Undifferentiated F9=Cy3 (log ratio 2^n)	E13.5 PE; Undifferentiated F9=Cy3 (log ratio 2^n)	PYS2; Undifferentiated F9=Cy3 (log ratio 2^n)	EHSPEL; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	F9-diff; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	E13.5 PE; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	PYS2; NIH3T3 fibroblast=Cy3 (log ratio 2^n)
L0275B11-3	Mm.193	NM_008409.1	Itm2a	integral membrane protein 2A	4.874	0.249	-1.579	-2.079	6.381	2.188	0.861	0.186
H3061H07-3	Mm.117022		AU023194	5730583K22Rik/gene regulated by estrogen in breast cancer protein	4.213	1.577	-0.76	-0.534	4.213	1.381	0.225	-1.438
H3149B02-3	Mm.73091	XM_110605.1; NM_011763.1	GASZ-pending	germ cell-specific ankyrin, SAM and basic LZ domain containing protein	3.85	0.014	0.102	0.173	4.123	-0.227	0.144	-0.058
J0729A05-3	Mm.106970		Zfp9	Zinc finger protein 9/Krox4	3.669	0.421	2.664	1.642	2.007	-0.851	0.832	0.054
NM_008508.1	Mm.1121	NM_008508.1	Lor	loricrin(keratinocyte cell envelope protein)	3.643	0.444	2.035	-0.02	3.758	0.658	1.756	0.302
K0232E06-3	Mm.222155			ESTs	3.431	2.141	0.664	0.423	2.86	1.201	-0.034	-0.286
L0256D07-3	Mm.19440	NM_133615.1	L0256D07-3	EST, Similar to Rat TAF9-like RNA polymerase, TAF 31kD	3.399	-0.485	0.712	-0.049	3.345	-1.175	-0.033	-1.35
H3043C01-3	Mm.25017	XM_148700.2		ESTs, similar to FLJ20986: Probable cation-transporting ATPase 1	3.385	0.798	2.111	0.982	3.482	0.233	2.112	1.05
C0289D04-3	Mm.195896	NM_021300.1	Ehox-pending	ES cell derived homeobox (Ehox-pending)	3.351	-0.124	-0.014	-0.263	3.812	0.087	0.716	-0.424
L0242H04-3	Mm.10516	NM_133226.1	AI987712	expressed sequence AI987712	3.319	-0.063	0.476	-1.474	4.198	1.233	1.548	-0.992
C0820F06-3	Mm.29872		Pdzk2	PDZ domain containing 2/Na-PO4 cotransporter IIa associated protein	3.263	2.114	-0.2	0.97	3.646	2.299	0.128	1.162
K0316A06-3	Mm.6972	XM_148146.1	Ephb3	Ephrinr eceptor B3	3.204	1.846	1.685	0.269	3.682	2.171	2.209	0.748
C0102C01-3	Mm.46354	NM_007388.1	Acp5	tartarate resistant acid phosphatase 5 (Acp5)	3.189	1.171	0.962	1.411	3.724	2.277	1.845	1.96
C0157D02-3	Mm.5584	XM_150408.1	C0157D02-3	NYSAR35(cancer/testis antigen)	3.121	-0.288	1.922	1.122	3.547	-0.066	1.708	0.976
H3089H07-3	Mm.4885	NM_009534.1	Yap	yes-associated protein, 65 kDa (Yap)	3.102	0.866	1.057	-0.441	2.17	-0.111	0.01	-1.213
C0934B05-3	Mm.380	AF411834.1	Snk	serine/threonine-protein kinase SNK (Serum inducible kinase)	3.041	0.765	0.893	0.14	2.226	-0.111	-0.15	-0.55
H3075E06-3	Mm.2752	NM_011169.1	Prlr	prolactinr eceptor	3.025	0.739	0.615	-1.34	4.669	1.85	2.109	0.168
G0109B03-3	Mm.4610	NM_009477.1	Upp	uridine phosphorylase	3.018	0.895	-1.213	-1.3	2.589	0.539	-1.267	-1.28
H3153H03-3	Mm.103252	AL157398.6	H3153H03-3	ESTs, Weakly similar to SCP3, Synaptonemal Complex protein 3	2.976	-0.076	0.239	0.06	3.591	-0.619	0.151	-0.107
H3025D10-3		XM_134151.2	LOC234256	similar to aspartylglucosaminidase	2.946	1.044	0.882	1.654	2.327	0.082	0.258	1.083
