Gene	Clone	UG cluster	Fold-diff in geom means (L/AT)	t-value
serine protease inhibitor, Kazal type, 5	776793	Hs.331555	6.27	6.199
ESTs	1671596	Hs.109438	4.94	9.079
secretory leukocyte protease inhibitor (antileukoproteinase)	2510171	Hs.251754	3.9	11.35
connective tissue growth factor	1674454	Hs.75511	3.57	6.104
EGF-containing fibulin-like extracellular matrix protein 1	1798209	Hs.76224	3.33	6.905
homeo box B13	1861743	Hs.66731	3.3	4.908
family with sequence similarity 3, member C	1926135	Hs.29882	3.28	10.713
chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1669647	Hs.237356	3.22	9.871
sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)	3211926	Hs.374528	3.21	5.57
retinoic acid receptor responder (tazarotene induced) 2	1988108	Hs.37682	3.09	7.742
protein phosphatase 1, regulatory (inhibitor) subunit 12B	1998571	Hs.130760	3.09	13.597
BRCA1 associated protein	1623214	Hs.122764	3.06	6.061
immunoglobulin heavy constant gamma 3 (G3m marker)	3553751		3.05	4.701
phospholipase A2, group IIA (platelets, synovial fluid)	699410	Hs.76422	3.03	4.262
pancreatic lipase-related protein 2	885032	Hs.143113	3.01	5.565
protease inhibitor 3, skin-derived (SKALP)	2503913	Hs.112341	2.88	4.346
F lambda 8=Ig lambda-like gene/beta-glucuronidase exon 11 homolog {5 region} [human, fetal liver, mRNA Partial, 452 nt]	1682769	Hs.350074	2.86	8.131
potassium voltage-gated channel, Isk-related family, member 3	795187	Hs.30715	2.84	5.149
S100 calcium binding protein P	2060823	Hs.2962	2.78	4.145
cysteine-rich protein 1 (intestinal)	2121863	Hs.3192	2.76	5.021
activating transcription factor 3	1888594	Hs.460	2.71	5.123
zinc finger protein 238	2555828	Hs.69997	2.71	10.221
CMP-NeuAC:(beta)-N-acetylgalactosaminide (alpha)2,6-sialyltransferase member VI	2504517	Hs.109672	2.68	7.881
lumican	1228124	Hs.79914	2.66	7.666
aldolase C, fructose-bisphosphate	1211682	Hs.155247	2.65	10.584
Incyte EST	194162		2.62	4.242
immunoglobulin lambda joining 3	4950102	Hs.375599	2.62	5.859
alpha-actinin-2-associated LIM protein	1924344	Hs.135281	2.61	8.571
complement component 1, s subcomponent	1904751	Hs.169756	2.59	9.5
immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	1001933	Hs.76325	2.55	3.881
tryptase, beta (tryptase II)	2188753		2.55	5.698
immunoglobulin lambda joining 3	537100	Hs.375599	2.54	6.078
regulator of G-protein signalling 2, 24kDa	1218114	Hs.78944	2.54	10.301
ribonuclease, RNase A family, 1 (pancreatic)	3086929	Hs.78224	2.48	7.021
peripheral myelin protein 22	587154	Hs.103724	2.47	10.837
polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	690313	Hs.119206	2.45	8.234
Homo sapiens, clone MGC:26991 IMAGE:4826722, mRNA, complete cds	2223118	Hs.194609	2.43	4.681
hypothetical protein MGC10724	1886965	Hs.5378	2.38	6.749
major histocompatibility complex, class II, DP alpha 1	1994472	Hs.914	2.37	6.754
disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	1976279	Hs.81988	2.31	9.341
BTG family, member 3	637576	Hs.77311	2.31	8.009
procollagen C-endopeptidase enhancer	1672920	Hs.202097	2.28	7.243
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	224996	Hs.43505	2.23	6.657
delta sleep inducing peptide, immunoreactor	2307314	Hs.75450	2.21	7.606
major histocompatibility complex, class II, DP beta 1	692827	Hs.814	2.21	5.414
S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	1222317	Hs.81256	2.2	8.895
integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	682741	Hs.87149	2.14	4.224
NSE1	2128170	Hs.260855	2.13	4.838
serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	3124244	Hs.151242	2.12	9.918
v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	2600080	Hs.169487	2.12	8.211
hypothetical protein FLJ20152	1938951	Hs.82273	2.12	7.132
major histocompatibility complex, class II, DR beta 3	2683564	Hs.308026	2.11	5.195
latrophilin 1	2370921	Hs.24212	2.1	4.58
major histocompatibility complex, class II, DR beta 3	5184747	Hs.308026	2.07	4.981
tubulin, gamma complex associated protein 2	1666907	Hs.13386	2.06	5.646
major histocompatibility complex, class II, DR alpha	162769	Hs.76807	2.06	3.933
major histocompatibility complex, class II, DR beta 3	2105963	Hs.308026	2.05	5.814
pim-2 oncogene	1694190	Hs.80205	2.05	4.759
defensin, alpha 4, corticostatin	174705	Hs.2582	2.05	6.758
interferon, gamma-inducible protein 16	2508261	Hs.155530	2.04	5.494
chromosome 1 open reading frame 24	608361	Hs.349071	2.02	7.244
