Gene symbol	Gene title	Chromosome	Fold change	Change P-value	Probe Set ID
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	7p12	48.5	0.000023	211607_x_at
IGF1R	insulin-like growth factor 1 receptor	15q26.3	2.8	0.000438	243358_at
IGF2BP3	insulin-like growth factor 2 mRNA binding protein 3	7p11	181	0.00002	203819_s_at
IGFBP3	insulin-like growth factor binding protein 3	7p13-p12	9.2	0.00002	212143_s_at
IGFBP6	insulin-like growth factor binding protein 6	12q13	5.3	0.000027	203851_at
IGF2BP2	insulin-like growth factor 2 mRNA binding protein 2	3q27.2	9.2	0.00002	218847_at
IGFBP5	insulin-like growth factor binding protein 5	2q33-q36	4.9	0.000241	211958_at
AKTIP	AKT interacting protein	16q12.2	1.5	0.000273	218373_at
AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	1q43-q44	1.7	0.000088	222880_at
MAP3K1	mitogen-activated protein kinase kinase kinase 1	5q11.2	14.9	0.00002	211083_s_at
MAP3K2	mitogen-activated protein kinase kinase kinase 2	2q14.3	4.9	0.000035	221695_s_at
MAP3K7	mitogen-activated protein kinase kinase kinase 7	6q16.1-q16.3	3.5	0.00002	211537_x_at
MAP3K8	mitogen-activated protein kinase kinase kinase 8	10p11.23	2	0.001336	205027_s_at
MAP3K9	mitogen-activated protein kinase kinase kinase 9	14q24.3-q31	3	0.000046	213927_at
MAP3K13	mitogen-activated protein kinase kinase kinase 13	3q27	14.9	0.00002	211083_s_at
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	14q11.2-q21	21.1	0.000027	211081_s_at
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	2q11.2-q12	2.6	0.00004	222547_at
MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	2p22.1	1.7	0.00002	218311_at
MAP3K7IP3	mitogen-activated protein kinase kinase kinase 7 interacting protein 3	Xp21.2	4.9	0.00002	1552928_s_at
MAP3K7IP2	mitogen-activated protein kinase kinase kinase 7 interacting protein 2	6q25.1-q25.3	3.5	0.000167	210284_s_at
MAPK1	mitogen-activated protein kinase 1	22q11.2	3.2	0.00013	1552264_a_at
MAPK6	mitogen-activated protein kinase 6	15q21	2.6	0.00002	207121_s_at
MAP7D1	MAP7 domain containing 1	1p34.3	2.1	0.000023	217943_s_at
FCF1 /// MAPK1IP1L	FCF1 small subunit (SSU) processome component homolog (S. cerevisiae) /// mitogen-activated protein kinase 1 interacting protein 1-like	14q22.3-14q24.3	2.6	0.00002	212499_s_at
MBIP	MAP3K12 binding inhibitory protein 1	14q13.3	3.2	0.000189	218411_s_at
EREG	epiregulin	4q13.3	55.7	0.000114	205767_at
TGFA	transforming growth factor, alpha	2p13	3.7	0.00003	205016_at
IL18	interleukin 18 (interferon-gamma-inducing factor)	11q22.2-q22.3	6.5	0.00002	206295_at
IL1B	interleukin 1, beta	2q14	2.8	0.00001	39402_at
IL8	interleukin 8	4q13-q21	1.6	0.00013	202859_x_at
IL1A	interleukin 1, alpha	2q14	128	0.000068	210118_s_at
