Gene	Name	Accession No.	Functions	Mean difference	P value	Type of genes
RASGRP1	Ras guanyl releasing protein 1 (calcium and DAG-regulated)	AF081195	Signal transduction, calcium ion binding, lipid binding, Ras activation	1.42	0.028	Ras/MAPK
ARHQ	ras homolog gene family, member Q	M31470	Interacts with exocyst complex components	1.34	0.024	Ras/MAPK
ARHH	ras homolog gene family, member H	Z35227	Small G-like protein expressed in hematopoietic cells and tissues	1.19	0.04	Ras/MAPK
RPIB9	Rap2 binding protein 9	AI825798	Novel gene	-1.06	0.007	Ras/MAPK
MAPK14	mitogen-activated protein kinase 14	L35263	Stress response, cell surface receptor linked signal transduction	-1.19	0.002	Ras/MAPK
SH3BGRL	SH3 domain binding glutamic acid-rich protein like	AF042081	Contains SH3 binding motif	1.28	0.031	Ras/MAPK
DUSP10	dual specificity phosphatase 10	AB026436	MAPK superfamily, binds and inactivates p38 and SAPK/JNK	1.24	0.004	Protein tyrosine phosphatases
PTP4A1	Protein tyrosine phosphatase type IVA, member 1	U48296	Prenylated protein, over expression confers transformed phenotype	1.24	0.014	Protein tyrosine phosphatases
PPP2R1A	Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR65), alpha isoform	J02902	Ser/Thr phosphatase, implicated in negative control of growth and division	-1.04	0.001	Protein tyrosine phosphatases
PTN	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	M57399	Has protein phosphatase inhibitor activity, over expression associated with inflammation + pancreatic cancer	-1.29	0.001	Protein tyrosine phosphatases
CCND2	Cyclin D2	D13639	Regulatory subunit of CDK4 or CDK6, G1/S transition, Rb phosphorylation, highly expressed in ovarian and testicular tumors	1.17	0.002	Cell cycle
UBE2C	Ubiquitin-conjugating enzyme E2C	U73379	Required for destruction of mitotic cyclins and cell cycle progression	-1.07	0.001	Cell cycle
RBMS1	RNA binding motif, single stranded interacting protein 1	X77494	Protein family implicated in DNA replication, transcription, cell cycle progression, apoptosis	1.4	0.002	Cell cycle
CALM1	Calmodulin 1 (phosphorylase kinase, delta)	U16850	Phospholipase C-beta interacting protein, functions in growth and cell cycle, and signal transduction	1.16	0.02	Cell cycle
BS69	Adenovirus 5 E1A binding protein	AA127624	Transcriptional repressor, negative regulation of cell cycle	1.34	0.019	Cell cycle
FRAG1	FGF receptor activating protein 1	AL049261	Predicted tumor suppressor, integral to membrane	-1	0.005	FGF-related
GARP	Glycoprotein A repetitions predominant	Z24680	Type 1 membrane protein, gene near to FGF and TRY loci	-1.03	0.001	FGF-related
AREG	amphiregulin (schwannoma-derived growth factor)	M30704	EGF family protein, autocrine growth factor for fibroblasts	1.45	0.036	FGF-related
PRKCB1	Protein kinase C, beta 1	X07109	Amino acid phosphorylation	1.17	0.038	FGF-related
