Gene symbol	Cancer associated expression level	Gene name	Size and Type of ASE
ADAM15	1.32+/-0.27	ADAM metallopeptidase domain 15	+75+72exons=+147
APP	1.16+/-0.21	Amyloid beta (A4) precursor protein	-57 exon
BCAS1	1.30+/-0.20	Breast carcinoma amplified sequence 1	+66 exon
BTC	3.06+/-0.87	Betacellulin	-147 exon
CADM1 (IGSF4)	1.95+/-0.34	Cell adhesion molecule 1	+33 exon
CASC4 (H63)	0.53+/-0.11	Cancer susceptibility candidate 4	-168 exon
CCL4	N.D.	Chemokine (C-C motif) ligand 4	+113 exon
CD40 (TNFRSF5)	0.67+/-0.12	CD40 molecule, TNF receptor superfamily member 5	-96 alt 3’
CLIP1 (RSN)	N.D.	CAP-GLY domain containing linker protein 1	-33 exon
CLIP1 (RSN)	N.D.	CAP-GLY domain containing linker protein 1	+345 (alt3’ and exon)
DBF4B (DRF1)	4.28+/-0.91	DBF4 homolog B (S. cerevisiae)	+65 alt 3’
DDR1	1.81+/-0.28	Discoidin domain receptor family, member 1	+111 exon
DNMT3B	0.32+/-0.07	DNA (cytosine-5-)-methyltransferase 3 beta	+189 (2exons)
DSC3	5.53+/-1.43	Desmocollin 3	-43 exon
ECGF1	1.52+/-0.43	Endothelial cell growth factor 1	+274 intron
ECT2	0.81+/-0.49	Epithelial cell transforming sequence 2 oncogene	-93 exon
F3	0.22+/-0.05	Coagulation factor III (thromboplastin, tissue factor)	+160 exon
FANCA	28.65+/-7.64	Fanconi anemia, complementation group A	-129 exon
FGFR2	1.42+/-0.29	Fibroblast growth factor receptor 2	+267 exon
FN1	N.D.	Fibronectin	+267 exon
GPR137 (C11orf4)	2.88+/-0.76	G protein-coupled receptor 137	-150 exon
HMGA1	N.D.	High mobility group AT-hook 1	+51 exon
HMMR	73.73+/-21.49	Hyaluronan-mediated motility receptor	-48 exon
INSR	5.33+/-0.86	Insulin receptor	-36 exon
LIG3	7.11+/-1.11	Ligase III, DNA, ATP-dependent	-230 alt 3’
LIG4	0.39+/-0.18	Ligase IV, DNA, ATP-dependent	+73 exon
MCL1	1.34+/-1.69	Myeloid cell leukemia sequence 1 (BCL2-related)	+248 exon
NOTCH3	4.89+/-0.87	Notch homolog 3 (Drosophila)	-156 exon
PAXIP1	2.16+/-0.46	PAX interacting (with transcription-activation domain) protein 1	-71 alt 5’
PCSK6 (PACE4)	3.14+/-0.64	Proprotein convertase subtilisin/kexin type 6	-144 exon
PLD1	0.14+/-0.02	Phospholipase D1, phosphatidylcholine-specific	-114 exon
POLB	1.76+/-0.28	Polymerase (DNA directed), beta	-58 exon
PTPRB	0.11+/-0.02	Protein tyrosine phosphatase, receptor type, B	+264 exon
RUNX2	9.15+/-2.45	Runt-related transcription factor 2	-66 exon
SHC1	1.07+/-0.24	SHC (Src homology 2 domain containing) transforming protein 1	+54 exon
STIM1	0.42+/-0.06	Stromal interaction molecule 1	-93 exon
SYNE2	1.14+/-0.18	Synaptic nuclear envelope protein 2	-69 exon
TLK1	0.72+/-0.11	Tousled-like kinase 1	-63 exon
TUBA4A	1.76+/-0.26	Tubulin, alpha 1a	+223 exon
UTRN	1.01+/-0.19	Utrophin	-39 exon
VLDLR	0.48+/-0.08	Very low density lipoprotein receptor	-84 exon
