Parametric p-value	Permutation p-value	Geom mean of ratios in class 1 : N	Geom mean of ratios in class 2 : R	Geom mean of ratios in class 3 : T	Unique id	Description	Clone	UG cluster	Gene symbol	Map
p < 1e-07	0	0.061	0.123	2.708	169329	secretory leukocyte protease inhibitor (antileukoproteinase)	2510171	Hs.251754	SLPI	20q12
p < 1e-07	0	0.125	0.394	1.863	163628	sodium channel, nonvoltage-gated 1 alpha	1453049	Hs.446415	SCNN1A	12p13
p < 1e-07	0	0.122	0.046	1.497	160401	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	2060355	Hs.73848	CEACAM6	19q13.2
p < 1e-07	0	0.675	1.64	5.594	165101	monoglyceride lipase	2174920	Hs.6721	MGLL	3q21.3
p < 1e-07	0	0.182	0.487	0.998	166827	nei endonuclease VIII-like 1 (E.coli)	1926409	Hs.28355	NEIL1	15q22.33
p < 1e-07	0	0.194	0.339	0.915	162931	hypothetical protein FLJ22418	2816379	Hs.36563	FLJ22418	1p11.1
p < 1e-07	0	1.313	0.645	13.593	162399	S100 calcium binding protein P	2060823	Hs.2962	S100P	4p16
p < 1e-07	0	0.157	1.445	2.563	169315	selenium binding protein 1	2591494	Hs.334841	SELENBP1	1q21-q22
p < 1e-07	0	0.046	0.738	1.213	160115	prominin-like 1 (mouse)	2070568	Hs.112360	PROML1	4p15.33
p < 1e-07	0	0.787	2.264	3.013	167294	HRAS-like suppressor 3	1969263	Hs.37189	HRASLS3	11q12.3
p < 1e-07	0	0.292	0.539	1.493	168221	Homo sapiens cDNA FLJ13510 fis, clone PLACE1005146.	64451	Hs.37896	NA	2
p < 1e-07	0	1.816	4.162	5.231	159872	emerin (Emery-Dreifuss muscular dystrophy)	1901168	Hs.2985	EMD	Xq28
p < 1e-07	0	0.096	0.237	1.251	168256	B-factor, properdin	167371	Hs.69771	BF	6p21.3
p < 1e-07	0	0.112	0.566	1.205	161755	Incyte EST	1507769	NA	NA
p < 1e-07	0	0.113	0.366	0.603	161021	zinc finger protein 204	1454640	Hs.8198	ZNF204	6p21.3
p < 1e-07	0	0.079	0.575	0.519	168604	amylase, alpha 2B; pancreatic	254081	Hs.335493	AMY2B	1p21
p < 1e-07	0	0.587	1.038	0.785	168160	zinc finger protein 161 homolog (mouse)	2487368	Hs.156000	ZFP161	18pter-p11.2
1.00E-07	0	0.376	0.972	1.84	167971	Meis1, myeloid ecotropic viral integration site 1 homolog 3 (mouse)	1662216	Hs.380923	MEIS3	17p11.2
1.00E-07	0	0.048	0.247	0.388	162648	retinoic acid receptor responder (tazarotene induced) 1	1982324	Hs.82547	RARRES1	3q25.32
1.00E-07	0	0.231	0.783	0.812	164495	hypothetical protein LOC283445	1968776	Hs.234898	LOC283445	12q24.12
1.00E-07	0	0.423	0.975	1.436	163838	family with sequence similarity 13, member A1	1458366	Hs.177664	FAM13A1	4q22.1
1.00E-07	0	0.538	0.644	1.867	166314	LIM domain only 2 (rhombotin-like 1)	1383888	Hs.184585	LMO2	11p13
1.00E-07	0	0.023	0.095	0.53	164946	polymeric immunoglobulin receptor	1800114	Hs.205126	PIGR	1q31-q41
1.00E-07	0	0.283	0.959	1.196	163419	calmin (calponin-like, transmembrane)	1464613	Hs.406099	CLMN	14q32.2
1.00E-07	0	0.477	1.445	1.307	162175	truncated calcium binding protein	1943110	Hs.351621	LOC51149	5q35.3
1.00E-07	0	0.481	0.977	1.168	163378	hypothetical protein DKFZp434M0331	2921913	Hs.48219	DKFZp434M033	12q23.2
1.00E-07	0	0.252	0.233	1.726	166900	likely ortholog of mouse tumor necrosis-alpha-induced adipose-related protein	429577	Hs.44208	FLJ23153	7q21.12
1.00E-07	0	0.572	1.406	1.553	165608	REMOVED_FROM_DATABASE	91009	NA	NA	NA
1.00E-07	0	0.379	1.149	1.305	165030	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)	2903239	Hs.159479	GALNS	16q24.3
1.00E-07	0	0.27	0.949	0.925	160243	iduronate 2-sulfatase (Hunter syndrome)	549290	Hs.172458	IDS	Xq28
1.00E-07	0	0.401	0.79	1.775	168767	protein tyrosine phosphatase, receptor type, U	2941607	Hs.19718	PTPRU	1p35.3-p35.1
1.00E-07	0	0.032	0.239	1.15	166595	microseminoprotein, beta-	3970665	NA	NA	NA
1.00E-07	0	0.653	1.184	1.978	159959	Fanconi anemia, complementation group A	1647354	NA	NA	NA
1.00E-07	0	1.376	0.457	0.853	168559	tripartite motif-containing 16	1996011	Hs.241305	TRIM16	17p11.2
1.00E-07	0	0.682	1.36	1.532	162892	KIAA1228 protein	2667106	Hs.306867	KIAA1228	7q36.3
2.00E-07	0	0.261	2.62	3.645	164879	serum amyloid A4, constitutive	86390	Hs.1955	SAA4	11p15.1-p14
2.00E-07	0	0.67	1.763	1.345	168694	acylphosphatase 1, erythrocyte (common) type	1995749	Hs.18573	ACYP1	14q24.3
2.00E-07	0	0.962	2.243	2.478	162612	Rho-related BTB domain containing 1	2095275	Hs.15099	RHOBTB1	10q21.2
2.00E-07	0	0.097	0.26	0.515	165530	cytochrome P450, family 2,	1597231	Hs.152096	CYP2J2	1p31.3-p31.2
2.00E-07	0	0.239	0.683	0.979	165148	Homo sapiens, clone IMAGE:4766144, mRNA	1666815	Hs.72080	NA	21
2.00E-07	0	0.801	0.319	0.361	168279	Homo sapiens, Similar to hypothetical protein B430208I01, clone IMAGE:5181522, mRNA, partial cds	1987866	Hs.106771	NA	5
2.00E-07	0	0.072	0.298	0.917	166593	Wilms tumor associated protein	2997479	Hs.251573	WIT1	11p13
2.00E-07	0	1.298	1.911	5.067	167270	keratin 7	1649959	Hs.23881	KRT7	12q12-q13
2.00E-07	0	0.074	0.428	0.661	166636	ESTs, Weakly similar to neuronal thread protein [Homo sapiens] [H.sapiens]	2714867	Hs.436950	NA	11
3.00E-07	0	0.41	4.837	4.942	164490	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	1813269	Hs.76688	CES1	16q13-q22.1
3.00E-07	0	0.643	2.729	4.235	165666	ribonuclease, RNase A family, 4	1858905	Hs.283749	RNASE4	14q11.1
3.00E-07	0	0.449	1.314	1.636	162294	calcium channel, voltage-dependent, beta 3 subunit	2057662	Hs.250712	CACNB3	12q13
3.00E-07	0	0.132	0.48	0.78	160334	ATPase, Class II, type 9A	1942046	Hs.406434	ATP9A	20q13.11-q13.2
4.00E-07	0	0.12	0.591	1.034	161500	regulatory factor X, 2 (influences HLA class II expression)	2674796	Hs.100007	RFX2	19p13.3-p13.2
4.00E-07	0	0.124	0.079	0.726	160357	coagulation factor III (thromboplastin, tissue factor)	2061594	Hs.62192	F3	1p22-p21
4.00E-07	0	0.225	0.531	0.869	160168	kinesin family member 13B	2708596	Hs.15711	KIF13B	8p12
5.00E-07	0	0.496	0.83	0.872	160625	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2	1887185	Hs.114765	MLLT2	4q21
5.00E-07	0	0.753	1.526	1.27	162298	hypothetical protein LOC90410	1552481	Hs.4187	LOC90410	17q11.1
5.00E-07	0	0.112	0.193	0.311	160654	B-cell CLL/lymphoma 6 (zinc finger protein 51)	1569189	Hs.155024	BCL6	3q27
6.00E-07	0	0.25	0.915	1.585	159838	aldehyde dehydrogenase 3 family, member B1	2610218	Hs.83155	ALDH3B1	11q13
6.00E-07	0	0.104	0.771	1.25	160072	solute carrier family 22 (organic cation transporter), member 4	1308162	Hs.77239	SLC22A4	5q31.1
6.00E-07	0	0.092	0.417	0.466	166685	KIAA0675 gene product	1794725	Hs.165662	KIAA0675	3q13.12
7.00E-07	0	0.295	0.505	0.693	165716	complement component 5 receptor 1 (C5a ligand)	1447909	Hs.2161	C5R1	19q13.3-q13.4
7.00E-07	0	0.669	1.017	2.773	169559	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1988412	Hs.166096	ELF3	1q32.2
7.00E-07	0	0.736	1.472	1.208	169562	CDC16 cell division cycle 16 homolog (S. cerevisiae)	1413704	Hs.1592	CDC16	13q34
8.00E-07	0	0.099	0.766	5.296	165371	trefoil factor 3 (intestinal)	2242817	Hs.82961	TFF3	21q22.3
8.00E-07	0	0.587	1.254	1.723	164531	Homo sapiens cDNA: FLJ22050 fis, clone HEP09454.	2868216	Hs.173705	NA	4
8.00E-07	0	0.175	0.465	0.618	163376	ESTs	2818878	Hs.32135	NA	20
8.00E-07	0	0.21	0.664	0.872	163828	mucin 5, subtype B, tracheobronchial	1737280	Hs.102482	MUC5B	11p15
8.00E-07	0	0.327	0.686	0.7	164891	paired box gene 2	194662	Hs.155644	PAX2	10q22.1-q24.3
8.00E-07	0	0.114	0.079	0.535	160506	UDP glycosyltransferase 1 family, polypeptide A1	86450	Hs.278896	UGT1A1	2q37
9.00E-07	0	0.656	1.628	1.865	168674	Homo sapiens, clone IMAGE:5587702, mRNA	1964852	Hs.427683	NA	10
