ProbeID	GeneSymbol	Genbank	EntrezGeneID	P-value
A_32_P102439		BC041440		8.33E-24
A_24_P110172				1.11E-21
A_23_P54357	LDHAL6B	NM_033195	92483	2.34E-16
A_24_P75808		AL833331		9.96E-11
A_23_P356667	CCDC83	NM_173556	220047	6.37E-09
A_24_P740692		AK027173		7.27E-07
A_24_P931211		BC067767		9.56E-07
A_24_P211884	TMPRSS12	NM_182559	283471	1.17E-06
A_23_P218058	KLRC4	NM_013431	8302	1.91E-06
A_32_P5086		BU632168		5.73E-06
A_23_P397999	FZD5	NM_003468	7855	7.45E-06
A_23_P103617	ANXA9	NM_003568	8416	7.71E-06
A_32_P217100				1.37E-05
A_24_P117147	KIR3DL1	NM_013289	3811	1.47E-05
A_24_P350622	KIR2DL4	NM_002255	3805	1.92E-05
A_23_P50571	KIR2DL2	NM_014219	3803	2.10E-05
A_24_P532232	CREB5	NM_182898	9586	2.21E-05
A_24_P85557	GPR37	NM_005302	2861	3.28E-05
A_23_P89380	IL8	X77737	3576	3.55E-05
A_24_P68008	C1orf187	AK075558	374946	4.61E-05
A_32_P214020		AK124256		5.73E-05
A_32_P86067	ZIC1	NM_003412	7545	6.65E-05
A_23_P364024	GLIPR1	NM_006851	11010	7.34E-05
A_24_P64653	METTL7B	NM_152637	196410	9.20E-05
A_23_P392654	SKIP	NM_030623	80309	0.000101
A_24_P387437	CTCFL	NM_080618	140690	0.000103
A_24_P476215		BX104493		0.000112
A_32_P16493				0.000136
A_32_P203046		AK098548		0.000138
A_32_P192881	LOC286149	AK093190	286149	0.000147
A_24_P332043	SPAG17	NM_206996	200162	0.00015
A_32_P9543	APOBEC3A	NM_145699	200315	0.000164
A_32_P196193	PAQR9	NM_198504	344838	0.000181
A_24_P637651				0.000185
A_23_P257063				0.000189
A_23_P383915	BTBD16	NM_144587	118663	0.000247
A_23_P127231	FRAT1	NM_005479	10023	0.000248
A_23_P68487	BMP7	NM_001719	655	0.000274
A_32_P48842		AF109189		0.000275
A_23_P729	SYCP1	NM_003176	6847	0.000284
A_32_P141033				0.000285
A_23_P429977	KCNQ1	NM_000218	3784	0.000287
A_24_P412156	CXCL12	NM_000609	6387	0.000287
A_23_P126363	ADAM30	NM_021794	11085	0.000292
A_23_P350574	FCRLB	NM_001002901	127943	0.000319
A_24_P49260	SPTLC3	NM_018327	55304	0.000328
A_32_P175785		BI828274		0.000328
A_32_P10665				0.000392
A_32_P155512		BM982926		0.000431
A_24_P239553		BC036505		0.00049
A_23_P36985	PCDH8	NM_002590	5100	0.000499
A_23_P108042	NCR1	BC064806	9437	0.000553
A_32_P11096	ZCCHC13	NM_203303	389874	0.000555
A_32_P202013	FLJ45557	NM_001039762	642938	0.000561
A_23_P364504		AK094353		0.000607
A_24_P919304	FNDC3B	BC012204	64778	0.000607
A_32_P157208	LOC572558	AY343891	572558	0.000618
A_23_P101992	MARCO	NM_006770	8685	0.000643
A_23_P132147	CRYAA	NM_000394	1409	0.000645
A_24_P71904	HPGD	NM_000860	3248	0.000666
A_24_P66027	APOBEC3B	NM_004900	9582	0.000677
A_23_P35035	EDG7		23566	0.000689
A_23_P18362	SLITRK3	NM_014926	22865	0.000714
A_32_P299		CA307538		0.000728
A_23_P7684	CCNJL	NM_024565	79616	0.000837
A_23_P132175	RTN4R	NM_023004	65078	0.000842
A_23_P104972	MS4A5	NM_023945	64232	0.000849
A_32_P199462	LOC389073	BC035737	389073	0.000892
A_32_P108666	EDG7	AK091731	23566	0.000897
A_24_P38290	TAC1	NM_003182	6863	0.000936
A_24_P272254	SPACA5	NM_205856	389852	0.000963
A_24_P170403	FLJ43987	NM_001080474	388960	0.000995
A_32_P228167	C12orf50	NM_152589	160419	0.00101
A_23_P126298	FCGR3B	NM_000570	2215	0.00102
A_23_P42004	SLC22A16	NM_033125	85413	0.00103
A_24_P580698				0.00107
A_23_P200728	FCGR3A	NM_000569	2214	0.00107
A_23_P111583	CD36	NM_001001547	948	0.00113
A_24_P942600		AB051547		0.00114
A_23_P97123		BC007072	84832	0.00117
A_32_P154342	SLCO4C1	NM_180991	353189	0.00122
A_32_P207789		BQ017638		0.00126
A_24_P786025		CR936711		0.00126
A_32_P17765	LGR4	NM_018490	55366	0.0013
A_32_P162520		BI262095		0.00132
A_23_P159974	KLHL13	NM_033495	90293	0.00132
A_24_P795662				0.00134
A_32_P166422				0.00142
A_24_P173727	PEX10	NM_002617	5192	0.00147
A_32_P190097		AI467970		0.00159
A_24_P925505	CD36	S67044	948	0.00165
A_32_P128258	SIGLECP3	NR_002804	284367	0.00166
A_23_P45304	XK	NM_021083	7504	0.00166
A_23_P259707		NM_207299	54886	0.00166
A_23_P7473	SH3TC2	NM_024577	79628	0.00175
A_24_P11737	FLJ38359	AK095678	151009	0.00184
A_32_P191840	LOC644662	XM_933903	644662	0.00184
A_23_P211680	MLC1	NM_015166	23209	0.00186
A_32_P42213				0.00204
A_23_P391255	FAM9A	NM_174951	171482	0.00209
A_23_P13725	SLC6A15	NM_182767	55117	0.00209
A_23_P33914	NUP62CL	NM_017681	54830	0.00209
A_23_P212050	BCHE	NM_000055	590	0.00212
A_23_P107744	EDG8	NM_030760	53637	0.00212
A_23_P204208	KLRD1	NM_002262	3824	0.00215
A_24_P159515	TBKBP1	NM_014726	9755	0.00229
A_32_P35140	LOC285740	AK098520	285740	0.00246
A_23_P15055	HBM	NM_001003938	3042	0.0025
A_23_P52240	ADRB1	NM_000684	153	0.00253
A_32_P211301		BG203539		0.00254
A_23_P214554	TRIM15	NM_033229	89870	0.00259
A_24_P846988	LOC393078	XM_374705	393078	0.00261
A_24_P221424	ZNF784	NM_203374	147808	0.00261
A_23_P2431	C3AR1	NM_004054	719	0.00265
A_24_P655735				0.00272
A_23_P351535		AF229804		0.00278
A_23_P215283	TAC1	NM_003182	6863	0.00279
A_23_P96611	LUZP4	NM_016383	51213	0.0028
A_24_P522998	C1orf173	NM_001002912	127254	0.00282
A_23_P121064	PTX3	NM_002852	5806	0.00283
A_32_P50		BM678897		0.00283
A_24_P913210	SLC11A2	AF064484	4891	0.00285
A_24_P160202	PANX2	NM_052839	56666	0.00287
A_32_P503113	CCDC105	NM_173482	126402	0.00288
A_24_P822931		BC034811		0.0029
A_32_P93442		AF086125		0.00295
A_32_P235293				0.00296
A_32_P156628		BQ379494		0.00297
A_32_P132169				0.00301
A_24_P112803	SOX1	NM_005986	6656	0.00307
A_23_P22232	KLRC2	NM_002260	3822	0.00313
A_24_P144465	GPSM3	NM_022107	63940	0.00314
A_32_P196142				0.0032
A_24_P376451	GDNF	AJ001898	2668	0.00322
A_32_P166653				0.00323
A_24_P700562				0.00327
A_24_P46130	ACPP	NM_001099	55	0.00331
A_24_P213912	CENPB	NM_001810	1059	0.00332
A_24_P152881	LOC90113	XM_291077	90113	0.00336
A_32_P216004	KCTD9	AF130091	54793	0.00338
A_23_P157338	VWC2	NM_198570	375567	0.00339
A_23_P346309	BAX	NM_138763	581	0.00343
A_24_P416645	KLK13	NM_015596	26085	0.00346
A_24_P762669	KIAA1856	NM_001080495	84629	0.0035
A_32_P152348	HIST1H2BD	BQ683489	3017	0.00351
A_32_P52153	LOC730999	XM_001131389	730999	0.00354
A_32_P108917				0.0036
A_32_P11425				0.00362
A_24_P173294	KLF16	NM_031918	83855	0.00366
A_23_P320705	CRYGD	NM_006891	1421	0.00368
A_23_P119322	SIGLEC11	NM_052884	114132	0.00369
A_32_P120127		BC033977		0.00372
A_23_P38244	APOH	NM_000042	350	0.00372
A_23_P35534	NEUROG3	NM_020999	50674	0.00382
A_23_P117805	ST8SIA2	NM_006011	8128	0.00383
A_23_P361509		BC026188		0.00385
A_32_P195719	LOC389857	AY730278	389857	0.00387
A_24_P416595	ZNF575	NM_174945	284346	0.00394
A_24_P219418	MGC34800	BC029861	162137	0.00404
A_32_P225816	PRDM16	NM_022114	63976	0.00404
A_24_P108738	SCARF2	NM_153334	91179	0.00405
A_24_P39484		AK025430		0.00406
A_24_P401663				0.00407
A_23_P140342	C14orf155	NM_032135	84075	0.00409
A_24_P303874	C9orf62	BC034752	157927	0.00411
A_23_P84736	CTNNA2	NM_004389	1496	0.00425
A_24_P461664				0.00426
A_23_P140675	EPB42	NM_000119	2038	0.00426
A_32_P221907	C6orf10	NM_006781	10665	0.00427
A_32_P116219				0.0043
A_32_P71551		BC035731		0.00433
A_23_P431346	PRR15	NM_175887	222171	0.00434
A_24_P524452	HIST3H2BB	DB010344	128312	0.00435
A_23_P107394	HES7	NM_032580	84667	0.00437
A_24_P778928				0.00438
A_23_P15135	ZSCAN10	NM_032805	84891	0.00439
A_23_P97652	GPR153	NM_207370	387509	0.0044
A_24_P168494	CYP4F2	NM_001082	8529	0.00445
A_24_P238499	C18orf56	NM_001012716	494514	0.00449
A_23_P109133	AVP	NM_000490	551	0.00452
A_23_P207557	TCF2	NM_006481	6928	0.00452
A_24_P608468	LOC145694	AK056793	145694	0.00452
A_24_P254850	SEC14L5	AB007880	9717	0.00453
A_23_P157117	CREB5	NM_182898	9586	0.00454
A_23_P153146	CDH7	NM_004361	1005	0.00458
A_23_P304530	LCE5A	NM_178438	254910	0.00468
A_24_P592318		BC009749		0.00469
A_23_P500824	SYN1	NM_133499	6853	0.00478
A_23_P435444	PCDHGA7	NM_032087	56108	0.00479
A_24_P564576	NLF2	NM_001007595	388125	0.00479
A_24_P941353	PCYT1B	NM_004845	9468	0.0048
A_32_P203066		DB090170		0.0048
A_32_P225647				0.00483
A_24_P73702	FBXL8	NM_018378	55336	0.00485
A_24_P253293	NKX2-8	NM_014360	26257	0.00486
A_23_P363769	KRT86	NM_002284	3892	0.00487
A_24_P24856		BC080624		0.00488
A_24_P117782	SCRT2	NM_033129	85508	0.0049
A_23_P18342	EPHA6	AL133666	285220	0.00491
A_24_P110101				0.00492
A_32_P96933		AL571926		0.00496
A_32_P76427		BX108468		0.00496
A_24_P342632	AK5	NM_174858	26289	0.00496
A_24_P848662		CR594528		0.00496
