Entrez Gene Identification no.	Gene Symbol	Gene	Fold Change	Functional Classification
233016	Blvrb	Biliverdin reductase B	4.1	Antioxidant-associated enzymes
76650	Sxrn1	Sulfiredoxin 1	3.6	Antioxidant-associated enzymes
14776	Gpx2	Glutathione peroxidase 2	3.5	Antioxidant-associated enzymes
14629	Gclc	Glutamate-cysteine ligase, catalytic subunit	2.8	Antioxidant-associated enzymes
11758	Prdx6	Peroxiredoxin 6	2.7	Antioxidant-associated enzymes
50493	Txnrd1	Thioredoxin reductase 1	2.4	Antioxidant-associated enzymes
14630	Gclm	Glutamate-cysteine ligase, modifier subunit	2.1	Antioxidant-associated enzymes
14854	Gss	Glutathione synthetase	2	Antioxidant-associated enzymes
14782	Gsr1	Glutathione reductase 1	1.8	Antioxidant-associated enzymes
14380		Glucose-6-phosphate dehydrogenase 2	1.7	Antioxidant-associated enzymes
14857	Gsta1	Glutathione S-transferase, a1	9.8	Phase II detoxification enzymes
14858	Gsta2	Glutathione S-transferase, a2	7.1	Phase II detoxification enzymes
18104	Nqo1	NADPH dehydrogenase, quinone 1	6.4	Phase II detoxification enzymes
14862	Gstm1	Glutathione S-transferase, m1	4.3	Phase II detoxification enzymes
109857	Cbr3	Carbonyl reductase 3	3.2	Phase II detoxification enzymes
14864	Gstm3	Glutathione S-transferase, m3	3	Phase II detoxification enzymes
14859	Gsta3	Glutathione S-transferase, a3	2.4	Phase II detoxification enzymes
12408	Cbr1	Carbonyl reductase 1	2.1	Phase II detoxification enzymes
12359	Cat	Catalase	1.8	Phase II detoxification enzymes
