Probeset ID	D value	P value	Q value	R fold	Gene Name	Description
213894_at	7.8299	1.28E-06	0.0286	2.8915	KIAA0960	KIAA0960 protein
210869_s_at	6.4355	3.85E-06	0.0429	3.1105	MCAM	melanoma cell adhesion molecule
214594_at	5.9813	6.41E-06	0.0476	2.9464	KIAA0527	KIAA0527 protein
209087_x_at	4.7965	1.80E-05	0.0898	2.7873	MCAM	melanoma cell adhesion molecule
202508_s_at	4.7344	2.05E-05	0.0898	2.2158	SNAP25	snyaptosomal-associated protein, 25kDa
211084_x_at	4.5652	2.69E-05	0.0898	1.6881	PRKCN	protein kinase C, nu
212386_at	4.558	2.82E-05	0.0898	1.6977	TCF4	transcription factor 4
213938_at	4.4427	3.72E-05	0.1	2.0436	CAST	CAZ-associated structural protein
211340_s_at	4.3697	4.23E-05	0.1	2.2447	MCAM	melanoma cell adhesion molecule
206504_at	4.3048	4.49E-05	0.1	1.8456	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide
218236_s_at	4.0984	6.28E-05	0.1077	1.9351	PRKCN	protein kinase C, nu
209164_s_at	4.0561	6.80E-05	0.1082	1.4456	CYB561	cytochrome b-561
209163_at	3.8276	8.98E-05	0.1227	1.5546	CYB561	cytochrome b-561
211161_s_at	3.7951	9.36E-05	0.1227	3.3409	NA	NA
221766_s_at	3.5123	1.69E-04	0.1988	1.533	FAM45A	family with sequence similarity 46, member A
209086_x_at	3.4328	1.90E-04	0.1988	1.6483	MCAM	melanoma cell adhesion molecule
212543_at	3.39	2.12E-04	0.1988	1.9049	AIM1	absent in melanoma 1
217538_at	3.3273	2.37E-04	0.2114	1.6208	RUTBC1	RUN and TBC1 domain containing 1
202507_s_at	3.099	2.37E-04	0.3153	1.788	SNAP25	synaptosomal-associated protein, 25kDa
209735_at	3.0485	2.37E-04	0.3362	1.7388	ABCG2	ATP-binding cassette, sub-family G (WHITE)
204288_s_at	3.0393	2.37E-04	0.3362	2.143	ARGBP2	Arg/Abl-interacting protein ArgBP2
