accession	FC L/T	SI-L	SI-T	pBY	Gene Title	Gene Symbol
203980_at	18,793	1171.361	62.328	0.000	fatty acid binding protein 4, adipocyte	FABP4
209613_s_at	13,863	364.003	26.257	0.000	alcohol dehydrogenase IB (class I), beta polypeptide	ADH1B
202992_at	9,782	1860.099	190.159	0.000	complement component 7	C7
204438_at	9,735	650.764	66.848	0.000	mannose receptor, C type 1	MRC1
207277_at	8,730	1338.980	153.386	0.000	CD209 antigen	CD209
207995_s_at	8,463	445.124	52.595	0.000	CD209 antigen-like	CD209L
219519_s_at	7,498	714.089	95.236	0.000	sialoadhesin	SN
203666_at	6,963	2339.533	335.983	0.000	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	CXCL12
209774_x_at	6,808	411.370	60.426	0.001	chemokine (C-X-C motif) ligand 2	CXCL2
201150_s_at	6,462	1603.295	248.105	0.000	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	TIMP3
204606_at	6,180	6223.567	1007.021	0.000	chemokine (C-C motif) ligand 21	CCL21
215049_x_at	6,119	834.461	136.382	0.000	CD163 antigen	CD163
205547_s_at	6,030	2111.303	350.160	0.000	transgelin	TAGLN
205819_at	5,996	740.006	123.423	0.000	macrophage receptor with collagenous structure	MARCO
202437_s_at	5,986	146.543	24.479	0.001	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1
206210_s_at	5,973	798.257	133.637	0.000	cholesteryl ester transfer protein, plasma	CETP
212942_s_at	5,537	648.040	117.036	0.000	KIAA1199 protein	KIAA1199
203548_s_at	5,394	432.111	80.108	0.000	lipoprotein lipase	LPL
218656_s_at	5,341	607.705	113.776	0.000	lipoma HMGIC fusion partner	LHFP
219607_s_at	5,210	291.171	55.892	0.000	membrane-spanning 4-domains, subfamily A, member 4	MS4A4A
206488_s_at	5,166	272.949	52.836	0.001	CD36 antigen (collagen type I receptor, thrombospondin receptor)	CD36
200974_at	4,735	2947.488	622.472	0.000	actin, alpha 2, smooth muscle, aorta	ACTA2
209120_at	4,573	541.531	118.409	0.000	nuclear receptor subfamily 2, group F, member 2	NR2F2
206291_at	4,547	239.345	52.640	0.000	neurotensin	NTS
201280_s_at	4,501	658.521	146.297	0.000	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2
201785_at	4,440	2311.568	520.677	0.000	ribonuclease, RNase A family, 1 (pancreatic)	RNASE1
201058_s_at	4,382	845.470	192.928	0.001	myosin, light polypeptide 9, regulatory	MYL9
209763_at	4,381	472.187	107.784	0.000	chordin-like 1	CHRDL1
205392_s_at	4,101	2473.180	603.016	0.000	chemokine (C-C motif) ligand 14	CCL14
