Number	Rank in NSCLC vs NHC classifier	Illumina Spot ID	Accession	Description	Symbol	NSCLC vs. GI.NM p-value	NSCLC / GI.NM fold change
1		4880431	NM_181738	Peroxiredoxin 2	PRDX2	0	1.42
2	16	4120187	NM_005612	RE1-silencing transcription factor	REST	0.00034	1.4
3		4590563	XM_942240	similar to HLA class II histocompatibility antigen, DQ(W1.1) beta chain precursor, transcript variant 1	LOC650557	0.00042	-2.41
4		7210129	NM_178025	Gamma-glutamyltransferase-like 3, transcript variant 2	GGTL3	0.00018	1.35
5	19	4810674	NM_022091	Activating signal cointegrator 1 complex subunit 3	ASCC3	0.00274	1.73
6		4280722	NM_005481	Mediator complex subunit 16	MED16	0.00027	1.22
7	23	1400541	NM_033107	GTP-binding protein 10 (putative)	GTPBP10	0.00559	-1.26
8		1190022	NM_176895	Phosphatidic acid phosphatase type 2A	PPAP2A	0.00355	1.2
9		3060692	NM_001010935	RAP1A, member of RAS oncogene family	RAP1A	0.00018	-1.35
10		2570440	NM_022128	Brain and reproductive organ-expressed	BRE	0.00282	1.1
11		4060138	XM_941904	PREDICTED: similar to Transcriptional regulator ATRX (X-linked helicase II) (X-linked nuclear protein) (XNP)	LOC652455	0.00029	1.47
12		6180296	NM_001017969	KIAA2026	KIAA2026	0.00028	-1.15
13		1430292	NM_000578	Solute carrier family 11, member 1	SLC11A1	0.00006	-1.41
14		110112	NM_005701	Snurportin 1	SNUPN	0.00033	-1.17
15		6330471	NM_004337	Oxidative stress induced growth inhibitor family member 2	OSGIN2	0.00204	-1.09
16		5050019	XM_945607	PREDICTED: spastic paraplegia 21 (autosomal recessive, Mast syndrome), transcript variant 3	SPG21	0.02419	1.13
17	4	1470605	NM_001031726	Chromosome 19 open reading frame 12	C19orf12	0.00382	1.43
18		6620224	NM_001024662	Ribosomal protein L6	RPL6	0.0035	-1.03
19		4250133	NM_005188	Cas-Br-M ecotropic retroviral transforming sequence	CBL	0.00001	-1.18
20	9	6400075	NM_024589	Rogdi homolog (Drosophila)	ROGDI	0.00023	-1.32
21		6580491	NM_001015880	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	0.00341	-1.34
22	8	2940370	NM_017450	BAI1-associated protein 2	BAIAP2	0.00046	-1.38
23		3360026	NM_017911	Family with sequence similarity 118, member A	FAM118A	0.01598	1.94
24	6	1430678	NM_007118	Triple functional domain (PTPRF interacting)	TRIO	0.00001	-1.31
