MicroRNAs	Hazard	95% CI	p-value	Unique ID
hsa-mir-25	0.46	0.28-0.75	0.002	MIMAT0000081
hsa-mir-191	0.52	0.33-0.80	0.003	MIMAT0000440
hsa-let-7e	0.46	0.27-0.80	0.006	MIMAT0000066
hsa-mir-130a	0.36	0.17-0.76	0.008	MIMAT0000425
hsa-mir-34c	0.31	0.13-0.74	0.008	MIMAT0000686
hsa-mir-93	0.58	0.39-0.87	0.009	MIMAT0000093
hsa-mir-557	2.53	1.25-5.15	0.01	MIMAT0003221
hsa-mir-26b	0.7	0.53-0.92	0.01	MIMAT0000083
hsa-mir-34a	0.47	0.26-0.84	0.011	MIMAT0000255
hsa-mir-134	0.35	0.16-0.80	0.012	MIMAT0000447
hsa-mir-502	0.28	0.11-0.76	0.012	MIMAT0002873
hsa-mir-103-1	0.6	0.40-0.90	0.013	MIMAT0000101
hsa-let-7a-1	0.7	0.53-0.93	0.014	MIMAT0000062
hsa-mir-564	3.56	1.29-9.80	0.014	MIMAT0003228
hsa-mir-107	0.61	0.41-0,91	0.015	MIMAT0000104
hsa-mir-663	1.64	1.09-2.46	0.017	MIMAT0003326
hsa-mir-638	1.62	1.09-2.41	0.018	MIMAT0003308
hsa-mir-574	0.44	0.22-0.87	0.018	MIMAT0003239
hsa-mir-198	2.85	1.19-6.79	0.018	MIMAT0000228
hsa-mir-215	0.4	0.18-0.88	0.023	MIMAT0000272
hsa-mir-20b	0.65	0.45-0.95	0.025	MIMAT0001413
hsa-mir-29b-1	0.75	0.58-0.97	0.031	MIMAT0000100
hsa-mir-92b	0.62	0.40-0.96	0.031	MIMAT0003218
hsa-mir-302c	2.63	1.09-6.36	0.032	MIMAT0000716
hsa-mir-18a	0.61	0.38-0.96	0.032	MIMAT0001412
hsa-mir-17	0.69	0.49-0.97	0.033	MIMAT0000070
hsa-mir-16-1	0.72	0.53-0.98	0.035	MIMAT0000069
hsa-mir-146a	0.7	0.49-0.98	0.04	MIMAT0000449
hsa-mir-195	0.75	0.57-0.99	0.043	MIMAT0000461
hsa-mir-513a-1	1.94	1.02-3.69	0.043	MIMAT0002877
hsa-mir-491	1.54	1.01-2.33	0.044	MIMAT0002807
hsa-let-7d	0.66	0.44-1.00	0.049	MIMAT0000065
hsa-let-7g	0.79	0.62-1.00	0.049	MIMAT0000414
