Gene	Description	Microarray fold change (clear cell vs. NOSE)	Microarray fold change (mir-22 overexpression)	Algorithm
EDC3	Enhancer of mRNA decapping 3 homolog (S. cerevisiae)	2.03	–2.22	T, P
FRAT2	Frequently rearranged in advanced T-cell lymphomas 2	3.23	–1.70	T
EVI1	Ecotropic viral integration site 1	22.41	–1.59	T
ARID3B	AT-rich interactive domain 3B (BRIGHT-like)	4.17	–1.58	T, P
CHD7	Chromodomain helicase DNA-binding protein 7	2.35	–1.58	T, P
CLIP2	CAP-GLY domain containing linker protein 2	2.64	–1.48	P
AGBL5	ATP/GTP binding protein-like 5	2.09	–1.44	T, P
FBX046	F-box protein 46	2.23	–1.43	T
ZCCHC14	Zinc finger, CCHC domain containing 14	2.14	–1.42	T
PDSS1	Prenyl (decaprenyl) diphosphate synthase, subunit 1	2.05	–1.40	T
FAM125B	Family with sequence similarity 125, member B	2.55	–1.37	T
BIN1	Bridging integrator 1	4.75	–1.26	P
CYTH3	Cytohesin 3	2.12	–1.26	T, P
MTHFD2	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	4.34	–1.25	T, P
POGK	Pogo-transposable element with KRAB domain	2.41	–1.19	T, P
CCDC47	Coiled-coil domain containing 47	2.07	–1.18	T, P
MYST3	MYST histone acetyltransferase (monocytic leukemia) 3	2.09	–1.17	T
ARRB1	Arrestin, ? 1	2.25	–1.09	T
RGS14	Regulator of G protein signaling 14	2.09	–1.09	T
ACVR1B	Activin A receptor, type IB	4.37	–1.07	T
ZNF618	Zinc finger protein 618	2.59	–1.06	T
PPP1R9A	Protein phosphatase 1, regulatory (inhibitor) subunit 9A	2.4	–1.05	T
MPHOSPH9	M-phase phosphoprotein 9	2.35	1	P
ANKRD57	Ankyrin repeat domain 57	3.21	1.02	P
ERBB3	v-erb-b2 Erythroblastic leukemia viral oncogene homolog 3 (avian)	13.27	1.08	T, P
PLAGL2	Pleiomorphic adenoma gene-like 2	3.82	1.11	T, P
IGF2BP3	IGF 2 mRNA-binding protein 3	8.48	1.19	P
