Probeset	Symbol	Definition	fold-change	t-test p-value
101963_at	Ctsl	cathepsin L	1.622	3.69E-12
98041_at	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)	1.592	3.99E-08
100566_at	Igfbp5	insulin-like growth factor binding protein 5	1.529	2.39E-10
94493_at	Cldn3	claudin 3	1.422	5.15E-06
98088_at	Cd14	CD14 antigen	1.415	6.85E-07
92851_at	Cp	Ceruloplasmin	1.41	1.44E-07
99452_at	Lsr	liver-specific bHLH-Zip transcription factor	1.402	1.02E-14
93019_at	H2afx	H2A histone family, member X	1.38	5.24E-10
100574_f_at	Gpi1	glucose phosphate isomerase 1	1.345	3.08E-14
96119_s_at	Angptl4	angiopoietin-like 4	1.327	0.0029
93988_at	Psma7	proteasome (prosome, macropain) subunit, alpha type 7	1.288	5.62E-10
101055_at	Ppgb	protective protein for beta-galactosidase	1.282	1.44E-08
102313_at	Gch1	GTP cyclohydrolase 1	1.268	0.0004
95607_at	Stard3	START domain containing 3	1.262	0.0001
99119_at	Cfl1	cofilin 1, non-muscle	1.257	5.45E-13
99133_at	Slc3a2	solute carrier family 3, member 2	1.256	6.28E-10
96592_at	Pik3r1	phosphatidylinositol 3-kinase, reg. subunit, polypeptide 1	1.239	0.0076
103671_at	Htatip2	HIV-1 tat interactive protein 2, homolog (human)	1.23	0.0006
93320_at	Cpt1a	carnitine palmitoyltransferase 1a, liver	1.207	8.61E-07
99059_at	Elf3	E74-like factor 3	1.202	0.0002
160704_at	1110067D22Rik	RIKEN cDNA 1110067D22 gene	1.17	8.42E-05
97980_at	Ltbr	lymphotoxin B receptor	1.162	0.0012
101984_at	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)	1.158	2.73E-05
97813_at	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	1.157	5.18E-06
93753_at	Litaf	LPS-induced TN factor	1.155	0.0004
103305_at	Itgb4	integrin beta 4	1.153	3.39E-05
101515_at	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	1.146	8.61E-06
160353_i_at	Mapkapk2	MAP kinase-activated protein kinase 2	1.146	0.0051
92573_at	Ppp2r1a	protein phosphatase 2, regulatory subunit A, alpha isoform	1.143	2.85E-07
99527_at	Nfe2l3	nuclear factor, erythroid derived 2, like 3	1.142	0.0055
97206_at	Spint1	serine protease inhibitor, Kunitz type 1	1.141	0.0005
96037_at	Bri3	brain protein I3	1.14	9.76E-06
101587_at	Ephx1	epoxide hydrolase 1, microsomal	1.138	4.04E-07
93734_i_at	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	1.134	0.0049
104559_at	BC003940	cDNA sequence BC003940	1.13	3.02E-06
160305_at	Psmd11	proteasome (prosome, macropain) 26S sub., non-ATPase, 11	1.127	0.0006
93754_at	Ech1	enoyl coenzyme A hydratase 1, peroxisomal	1.127	0.0001
104398_at	1300010A20Rik	RIKEN cDNA 1300010A20 gene	1.126	3.17E-06
92233_at	1810007M14Rik	RIKEN cDNA 1810007M14 gene	1.108	2.38E-05
94485_at	Peci	peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase	1.103	0.002
160684_at	8430410A17Rik	RIKEN cDNA 8430410A17 gene	1.09	5.52E-06
96123_at	Lbp	lipopolysaccharide binding protein	1.089	0.0006
98059_s_at	Lmna	lamin A	1.086	0.0018
95102_at	Scotin	scotin gene	1.085	0.0001
93327_at	Tax1bp3	Tax1 (human T-cell leukemia virus type I) binding protein 3	1.082	0.007
96343_at	Actn4	actinin alpha 4	1.082	1.40E-05
100684_at	Prkcsh	protein kinase C substrate 80K-H	1.08	0.0062
99027_at	Bcl2l1	Bcl2-like 1	1.078	2.07E-07
160152_at	Psmc1	protease (prosome, macropain) 26S subunit, ATPase 1	1.076	0.0051
100931_at	Arsa	arylsulfatase A	1.073	1.98E-05
92858_at	Slpi	secretory leukocyte protease inhibitor	1.056	0.0002
