HGNC ID	Description	Fold Difference	P-value
FCRL1	Fc receptor-like 1	32.1	2.3E-12
CD79A	B-cell antigen receptor complex-associated protein alpha-chain precursor (Ig-a) (MB-1 membrane glycoprotein) (Surface IgM- associated protein) (Membrane-bound immunoglobulin-associated protein) (CD79a antigen)	12.4	2.2E-09
CD79B	B-cell antigen receptor complex-associated protein beta-chain precursor (B-cell-specific glycoprotein B29) (Immunoglobulin- associated B29 protein) (IG-b) (CD79b antigen)	7.2	8.4E-08
CD19	B-lymphocyte antigen CD19 precursor (B-lymphocyte surface antigen B4) (Leu-12) (Differentiation antigen CD19)	18.1	4.1E-08
CD22	B-cell receptor CD22 precursor (Leu-14) (B-lymphocyte cell adhesion molecule) (BL-CAM) (Siglec-2)	15.0	2.4E-09
MS4A1	B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Leu-16) (Bp35)	5.5	1.7E-09
PAX5	Paired box protein Pax-5 (B-cell-specific transcription factor) (BSAP)	8.3	4.9E-12
BCL11A	B-cell lymphoma/leukemia 11A (B-cell CLL/lymphoma 11A) (COUP-TF- interacting protein 1) (Ecotropic viral integration site 9 protein) (EVI-9)	12.0	1.1E-11
FGFR1OP	C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (LARC receptor) (GPR-CY4) (GPRCY4) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (CD196 antigen)	23.4	2.1E-10
FCER2	Low affinity immunoglobulin e Fc receptor (Lymphocyte IgE receptor) (Fc-e-RII) (BLAST-2) (Immunoglobulin E-binding factor) (CD23 antigen)	14.0	2.3E-10
BANK1	B-cell scaffold protein with ankyrin repeats 1	21.0	5.1E-08
