Gene Symbol	Gene Title	Probe Set	Met vs Nonmet; Fold Change	Met vs Nonmet; P Value	Met vs Normal; Fold Change	Met vs Normal; P value
COL11A1	Collagen Type II, alpha1	37892_at	7.61	0.0019	25.18	0.0002
CL683	Weakly Similar to Glutathione Peroxidase 2	36009_at	3.36	0.0047	3.36	0.0161
TIMP-1	Tissue Inhibitor of Metalloproteinase 1	1693_s_at	3.3	0.0028	8.78	0.0001
C1QB	Complement Component 1, Q Subcomponent	38796_at	3.27	0.0041	4.1	0.0061
KIAA1077	KIAA1077 Protein	35832_at	3.25	0.0055	22.39	<.0001
NINJ1	Ninjurin 1	41475_at	3.1	0.0038	3.1	0.0054
FCGR3B	Fc Fragment of IgG, Low Affinity IIIb/Receptor for (CD16)	37200_at	2.79	0.0073	4.05	0.0067
DKFZP586L1	DKFZP586L151 Protein	36007_at	2.76	0.01	8.37	0.0003
CSPG2	Chondroitin-Sulfate Proteoglycan 2 (Versican)	38112_g_at	2.52	0.0087	24.98	<.0001
RARRES2	Retinoic Acid Receptor Responder (Tazarotene Induced) 2	34407_at	2.36	0.0023	3.47	0.0011
OSF-2	Osteoblast-Specific Factor 2 (Fasciclin I–like)	1451_s_at	2.3	0.008	17.21	<.0001
None	Homo sapiens cDNA FLJ31388 fis, Clone NT2NE1000023	34112_r_at	2.14	0.0004	1.87	0.011
TCEA2	Transcription Elongation Factor A (SII), 2	745_at	2.13	0.0065	2.13	0.0071
CDH11	Cadherin 11, Type 2, OB-Cadherin (Osteoblast)	36976_at	2.05	0.0089	16.7	<.0001
SFRP4	Secreted Frizzled-Related Protein 4	41405_at	2.05	0.0038	2.05	0.0252
ACAA2	Acetyl-Coenzyme A Acyltransferase 2	41530_at	1.97	0.001	1.69	0.0134
ADA	Adenosine Deaminase	907_at	1.92	0.0079	3.46	0.0008
RUNX1	Runt-Related Transcription Factor 1 (AML1)	943_at	1.9	0.0046	3.71	0.0001
None	Homo sapiens, Clone IMAGE:4179842, mRNA	34530_at	1.89	0.0038	1.74	0.0296
PCOLCE	Procollagen C-Endopeptidase Enhancer	31609_s_at	1.87	0.0093	3.07	0.001
PRDM2	PR Domain Containing 2, With ZNF Domain	33922_at	1.67	0.0008	3.65	<.0001
ARHC	RAS Homolog Gene Family, Member C	1395_at	1.61	0.0069	2.32	0.0006
RUNX1	Runt-Related Trascription Factor (AML1)	393_s_at	1.59	0.0003	2.52	<.0001
EDR2	Early Development Regulator 2	36960_at	1.58	0.0091	17.2	0.0148
