Probeset	Gene	Description	p-value
205924_at	RAB3B	RAB3B, member RAS oncogene family	2.77173E-07
202853_s_at	RYK	RYK receptor-like tyrosine kinase	3.45502E-07
202530_at	MAPK14	mitogen-activated protein kinase 14	3.53556E-07
219936_s_at	GPR87	G protein-coupled receptor 87	4.06845E-07
203665_at	HMOX1	heme oxygenase (decycling) 1	4.37988E-07
205926_at	IL27RA	interleukin 27 receptor, alpha	5.33484E-07
202105_at	IGBP1	immunoglobulin (CD79A) binding protein 1	6.14358E-07
213324_at	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	8.2585E-07
205709_s_at	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	8.69007E-07
207303_at	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa	9.11398E-07
204484_at	PIK3C2B	phosphoinositide-3-kinase, class 2, beta polypeptide	9.23963E-07
38269_at	PRKD2	protein kinase D2	9.25184E-07
211171_s_at	PDE10A	phosphodiesterase 10A	1.0636E-06
212757_s_at	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	1.08937E-06
202167_s_at	MMS19L	MMS19-like (MET18 homolog, S. cerevisiae)	1.18954E-06
202932_at	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	1.24119E-06
209110_s_at	RGL2	ral guanine nucleotide dissociation stimulator-like 2	1.343E-06
205055_at	ITGAE	integrin, alpha E	1.48098E-06
203910_at	PARG1	PTPL1-associated RhoGAP 1	1.52987E-06
203388_at	ARRB2	arrestin, beta 2	1.59381E-06
212099_at	RHOB	ras homolog gene family, member B	1.76917E-06
204497_at	ADCY9	adenylate cyclase 9	1.78932E-06
208091_s_at	DKFZP564K0822	hypothetical protein DKFZp564K0822	1.81223E-06
213135_at	TIAM1	T-cell lymphoma invasion and metastasis 1	1.84133E-06
203837_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5	1.89236E-06
206549_at	INSL4	insulin-like 4 (placenta)	2.17123E-06
205880_at	PRKD1	protein kinase D1	2.29581E-06
211471_s_at	RAB36	RAB36, member RAS oncogene family	2.29859E-06
210058_at	MAPK13	mitogen-activated protein kinase 13	2.44208E-06
40850_at	FKBP8	FK506 binding protein 8, 38kDa	2.88345E-06
208819_at	RAB8A	RAB8A, member RAS oncogene family	3.20502E-06
202203_s_at	AMFR	autocrine motility factor receptor	3.36339E-06
201431_s_at	DPYSL3	dihydropyrimidinase-like 3	3.54374E-06
217976_s_at	DNCLI1	dynein, cytoplasmic, light intermediate polypeptide 1	3.62385E-06
201097_s_at	ARF4	ADP-ribosylation factor 4	3.81095E-06
203077_s_at	SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)	3.81843E-06
203081_at	CTNNBIP1	catenin, beta interacting protein 1	3.83717E-06
219357_at	GTPBP1	GTP binding protein 1	3.95215E-06
212255_s_at	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	4.40768E-06
218360_at	RAB22A	RAB22A, member RAS oncogene family	4.52284E-06
202545_at	PRKCD	protein kinase C, delta	4.62498E-06
203679_at	TMED1	transmembrane emp24 protein transport domain containing 1	4.8425E-06
212070_at	GPR56	G protein-coupled receptor 56	5.80992E-06
204622_x_at	NR4A2	nuclear receptor subfamily 4, group A, member 2	5.98479E-06
202844_s_at	RALBP1	ralA binding protein 1	6.56314E-06
204547_at	RAB40B	RAB40B, member RAS oncogene family	6.59316E-06
219032_x_at	OPN3	opsin 3 (encephalopsin, panopsin)	7.0888E-06
212422_at	PDCD11	programmed cell death 11	7.19593E-06
203266_s_at	MAP2K4	mitogen-activated protein kinase kinase 4	7.43037E-06
205220_at	GPR109B	G protein-coupled receptor 109B /// G protein-coupled receptor 109B	7.59026E-06
212181_s_at	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	8.07236E-06
208072_s_at	DGKD	diacylglycerol kinase, delta 130kDa	8.08474E-06
218329_at	PRDM4	PR domain containing 4	8.32807E-06
210288_at	KLRG1	killer cell lectin-like receptor subfamily G, member 1	8.456E-06
206099_at	PRKCH	protein kinase C, eta	9.06238E-06
205481_at	ADORA1	adenosine A1 receptor	1.02958E-05
217839_at	TFG	TRK-fused gene	1.04379E-05
202340_x_at	NR4A1	nuclear receptor subfamily 4, group A, member 1	1.11601E-05
212873_at	HA-1	minor histocompatibility antigen HA-1	1.24958E-05
202020_s_at	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)	1.31667E-05
209666_s_at	CHUK	conserved helix-loop-helix ubiquitous kinase	1.3401E-05
200651_at	GNB2L1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	1.41049E-05
201401_s_at	ADRBK1	adrenergic, beta, receptor kinase 1	1.43031E-05
203185_at	RASSF2	Ras association (RalGDS/AF-6) domain family 2	1.51579E-05
202401_s_at	SRF	serum response factor	1.58311E-05
203726_s_at	LAMA3	laminin, alpha 3	1.62925E-05
217496_s_at	IDE	insulin-degrading enzyme	1.74448E-05
206118_at	STAT4	signal transducer and activator of transcription 4	1.80022E-05
208641_s_at	RAC1	ras-related C3 botulinum toxin substrate 1	1.92909E-05
206044_s_at	BRAF	v-raf murine sarcoma viral oncogene homolog B1	1.98244E-05
205349_at	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	2.02216E-05
1007_s_at	DDR1	discoidin domain receptor family, member 1	2.03771E-05
58994_at	FLJ20241	putative NFkB activating protein	2.12741E-05
201895_at	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	2.13489E-05
211499_s_at	MAPK11	mitogen-activated protein kinase 11	2.17506E-05
203567_s_at	TRIM38	tripartite motif-containing 38	2.2332E-05
210621_s_at	RASA1	RAS p21 protein activator (GTPase activating protein) 1	2.24105E-05
219646_at	FLJ20186	hypothetical protein FLJ20186	2.24905E-05
218856_at	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	2.28896E-05
205147_x_at	NCF4	neutrophil cytosolic factor 4, 40kDa	2.44098E-05
215177_s_at	ITGA6	integrin, alpha 6	2.57288E-05
202564_x_at	ARL2	ADP-ribosylation factor-like 2	2.63409E-05
207630_s_at	CREM	cAMP responsive element modulator	2.73227E-05
212629_s_at	PKN2	protein kinase N2	2.80355E-05
201181_at	GNAI3	G protein alpha inhibiting activity polypeptide 3	2.8689E-05
207375_s_at	IL15RA	interleukin 15 receptor, alpha	2.91388E-05
201983_s_at	EGFR	epidermal growth factor receptor	2.95162E-05
205263_at	BCL10	B-cell CLL/lymphoma 10	3.07237E-05
218186_at	RAB25	RAB25, member RAS oncogene family	3.17395E-05
207111_at	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	3.39972E-05
219290_x_at	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides	3.51493E-05
206456_at	GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5	3.61634E-05
219537_x_at	DLL3	delta-like 3 (Drosophila)	4.0124E-05
200923_at	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein	4.18435E-05
