Gene	Description	Microarray fold change (clear cell vs. NOSE)	Microarray fold change (mir-30a knockdown)	Algorithm
AVEN	Apoptosis, caspase activation inhibitor	–3.01	1.19	T
DEXI	Dexamethasone-induced transcript	–2.26	1.18	T, P
SCAMP1	Secretory carrier membrane protein 1	–2.45	1.17	T, M
GALNT1	UDP-N-acetyl-{alpha}-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	–2.42	1.16	T, P, M
GJA1	Gap junction protein, {alpha} 1, 43 kDa	–7.59	1.15	T, P, M
ACVR1	Activin A receptor, type I	–2.32	1.15	T, P, M
P4HA2	Prolyl 4-hydroxylase, {alpha} polypeptide II	–5.34	1.14	T, P, M
MARCKS	Myristoylated alanine-rich protein kinase C substrate	–7.93	1.13	T, P
MBNL2	Muscleblind-like 2 (Drosophila)	–4.41	1.13	T, M
DACT1	Dapper, antagonist of ?-catenin, homolog 1 (Xenopus laevis)	–2.72	1.13	T, M
EXTL2	Exostoses (multiple)-like 2	–2.48	1.12	T, P, M
MXRA5	Matrix-remodeling associated 5	–18.47	1.11	T
PDE5A	Phosphodiesterase 5A, cGMP-specific	–13.27	1.11	T
ATXN1	Ataxin 1	–4.98	1.11	T, P, M
FKBP3	FK506 binding protein 3, 25 kDa	–2.47	1.11	T, M
SSR3	Signal sequence receptor, {gamma} (translocon-associated protein {gamma})	–2.35	1.11	T, M
DSTYK	Dual serine/threonine and tyrosine protein kinase	–2.31	1.11	T, P
S100PBP	S100P-binding protein	–2.11	1.11	T, M
C14orf129	Chromosome 14 open reading frame 129	–2.01	1.11	T, M
NTNG1	Netrin G1	–6.37	1.1	T, M
BNC1	Basonuclin 1	–3.91	1.1	T, P, M
FRMD4A	FERM domain containing 4A	–2.47	1.1	T
NT5E	5-Nucleotidase, ecto (CD73)	–2.39	1.1	T
SEC23A	Sec23 homolog A (S. cerevisiae)	–2.03	1.1	T, P, M
CALD1	Caldesmon 1	–6.46	1.09	T, M
