Probe ID	GENE	NAME	Biological Process	Zscore	FC
40472_at	AGPAT7	1-acylglycerol-3-phosphate O-acyltransferase 7 (lysophosphatidic acid acyltransferase, eta)	metabolic process	-8.254	-5.815047022
202760_s_at	AKAP2	A kinase (PRKA) anchor protein 2	regulation of cell shape	-8.947	-4.634046053
201084_s_at	BCLAF1	BCL2-associated transcription factor 1	regulation of transcription,	-11.226	-2.802586207
201101_s_at	BCLAF1	BCL2-associated transcription factor 1	regulation of transcription,	-8.748	-8.460588794
205114_s_at		chemokine (C-C motif) ligand 3	cell-cell signaling	-8.326	-15.40503247
204103_at		chemokine (C-C motif) ligand 4	cell-cell signaling	-4.893	-18.88023952
204118_at	CD48	CD48 molecule	defense response	-19.868	-3.601732435
202613_at	CTPS	CTP synthase	nucleic acid metabolic process	-10.976	-3.289522919
210137_s_at	DCTD	dCMP deaminase	nucleic acid metabolic process	-5.528	-3.030553865
212728_at	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	regulation of cell proliferation	-4.286	-5.608200456
203638_s_at	FGFR2	fibroblast growth factor receptor 2	protein amino acid phosphorylation; cell growth	-4.72	-4.882352941
215967_s_at	LY9	lymphocyte antigen 9	cell adhesion	-18.782	-16.10240964
210017_at	MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	positive regulation of T cell cytokine production	-5.145	-4.302302302
205447_s_at	MAP3K12	mitogen-activated protein kinase kinase kinase 12	JNK cascade	-12.777	-7.346774194
200796_s_at	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	regulation of apoptosis	-3.78	-3.70783848
202431_s_at	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	regulation of cell proliferation	-5.559	-2.614602835
222206_s_at	NCLN	nicalin homolog (zebrafish)	protein processing	-3.26	-4.836400818
209062_x_at	NCOA3	nuclear receptor coactivator 3	regulation of transcription,	-6.416	-6.938080495
203823_at	RGS3	regulator of G-protein signalling 3	negative regulation of signal transduction	-63.427	-16.24761905
216392_s_at	SEC23IP	SEC23 interacting protein	intracellular protein transport	-8.067	-3.89797136
208863_s_at	SFRS1	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	mRNA processing	-13.795	-3.635181383
200754_x_at	SFRS2	splicing factor, arginine/serine-rich 2	mRNA processing	-3.142	-2.358962421
214882_s_at	SFRS2	splicing factor, arginine/serine-rich 2	mRNA processing	-4.696	-2.673421819
202899_s_at	SFRS3	splicing factor, arginine/serine-rich 3	mRNA processing	-21.044	-3.214740252
208672_s_at	SFRS3	splicing factor, arginine/serine-rich 3	mRNA processing	-9.737	-3.032237266
214141_x_at	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	mRNA processing	-11.13	-2.635012715
206641_at	TNFRSF17/ BCMA	tumor necrosis factor receptor superfamily, member 17	signal transduction; cell proliferation	-9.737	-8.782380952
217853_at	TNS3	tensin 3	intracellular signaling cascade	-6.888	-2.995089442
213888_s_at	TRAF3IP3	TRAF3 interacting protein 3	NA	-9.883	-3.752346194
209013_x_at	TRIO	triple functional domain (PTPRF interacting)	protein amino acid phosphorylation	-3.818	-5.736363636
218245_at	TSKU	tsukushin	regulation of transcription, DNA-dependent	-21.391	-6.632727273
202864_s_at	SP100	SP100 nuclear antigen	regulation of transcription, DNA-dependent	-11.799	-10.65128205
