Functional Group	Parametric P	Fold difference of geometric means (T/N)†	Description	UniGene cluster	Gene Symbol	Map
Apoptosis related	<0.00001	0.36	B-Cell CLL/lymphoma 6 (zinc finger protein 51)	Hs.155024	BCL6	3q27
Apoptosis related	0.00009	0.418	Calpastatin	Hs.359682	CAST	5q15-q21
Apoptosis related	0.00022	0.394	Calpain 3, (p94)	Hs.293267	CAPN3	15q15.1-q21.1
Cell adhesion	0.00022	0.38	Caspase 10, apoptosis-related cysteine protease	Hs.5353	CASP10	2q33-q34
Cell adhesion	<0.00001	0.081	Carcinoembryonic antigen-related cell adhesion molecule 6 (nonspecific cross-reacting antigen)	Hs.73848	CEACAM6	19q13.2
Cell adhesion	0.00001	0.138	Claudin 10	Hs.26126	CLDN10	13q31-q34
Cell adhesion	0.00074	0.293	Claudin 7	Hs.278562	CLDN7	17p13
Cell cycle	<0.00001	0.235	Serum-inducible kinase	Hs.3838	SNK	5q12.1-q13.2
Cell cycle	0.00005	0.609	CDC16 cell division cycle 16 homologue (S. cerevisiae)	Hs.1592	CDC16	13q34
Cell cycle	0.00043	0.404	Cyclin A1	Hs.79378	CCNA1	13q12.3-q13
Cell cycle	0.00059	0.491	Cyclin-dependent kinase (CDC2-like) 10	Hs.77313	CDK10	16q24
Immunology	<0.00001	0.043	Polymeric immunoglobulin receptor	Hs.205126	PIGR	1q31-q41
Immunology	<0.00001	0.077	B-factor, properdin	Hs.69771	BF	6p21.3
Immunology	<0.00001	0.426	Complement component 5 receptor 1 (C5a ligand)	Hs.2161	C5R1	19q13.3-q13.4
Immunology	<0.00001	0.072	Serum amyloid A4, constitutive	Hs.1955	SAA4	11p15.1-p14
Immunology	0.00004	0.168	Complement component 4A	Hs.170250	C4A	6p21.3
Immunology	0.00008	0.149	Complement component 3	Hs.284394	C3	19p13.3-p13.2
Immunology	0.00009	0.198	EBNA1 binding protein 2	Hs.346868	EBNA1BP2	1p35-p33
Immunology	0.00017	0.189	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	Hs.77062	LILRB5	19q13.4
Ion homeostasis	<0.00001	0.061	Selenium binding protein 1	Hs.334841	SELENBP1	1q21-q22
Ion homeostasis	<0.00001	0.097	S100 calcium binding protein P	Hs.2962	S100P	4p16
Ion homeostasis	<0.00001	0.083	Solute carrier family 22 (organic cation transporter), member 4	Hs.77239	SLC22A4	5q31.1
Ion homeostasis	<0.00001	0.139	Solute carrier family 27 (fatty acid transporter), member 2	Hs.11729	SLC27A2	15q21.2
Ion homeostasis	<0.00001	0.136	Hermansky-Pudlak syndrome 3	Hs.282804	HPS3	3q24
