ID	Gene	Control cDNA  DCt (SEM)	Y79 cDNA DCt (SEM)	RQ difference (SEM) Control cDNA	RQ difference (SEM)  Y79 cDNA
0	18SrRNA	15.21	14.89 (0.44)	–	–
1	ABCA1	14.72 (0.06)	18.76 (1.03)	1.00 (0.04)	0.11 (0.05)
2	ABCA2	12.74 (0.09)	13.53 (0.49)	1.00 (0.06)	0.68 (0.21)
3	ABCA3	15.34 (0.03)	14.90 (0.40)	1.00 (0.02)	1.52 (0.39)
4	ABCA4	18.34 (0.26)	17.74 (0.60)	1.02 (0.18)	1.92 (0.67)
5	ABCA5	14.38 (0.13)	14.00 (0.32)	1.00 (0.09)	1.40 (0.30)
6	ABCA6	15.61 (0.03)	n.e.	1.00 (0.02)	–
7	ABCA7	18.60 (0.12)	15.97 (0.50)	1.00 (0.08)	7.37 (2.39)
8	ABCA8	13.71 (0.13)	n.e.	1.00 (0.09)	–
9	ABCA9	14.61 (0.25)	n.e.	1.02 (0.18)	–
10	ABCA10	16.46 (0.02)	21.30 (0.83)	1.00 (0.01)	0.05 (0.02)
11	ABCA12	21.02 (1.05)	19.42 (0.46)	1.27 (0.79)	3.55 (1.21)
12	ABCA13	17.70 (0.44)	n.e.	1.05 (0.31)	–
13	ABCB1	17.39 (0.03)	n.e.	1.00 (0.02)	–
14	ABCB4	18.73 (0.35)	n.e.	1.03 (0.25)	–
15	ABCB5	n.e.	n.e.	–	–
16	ABCB6	14.68 (0.15)	14.80 (0.35)	1.01 (0.10)	1.00 (0.23)
17	ABCB7	15.18 (0.07)	13.06 (0.43)	1.00 (0.05)	4.92 (1.36)
18	ABCB8	15.47 (0.22)	16.80 (0.59)	1.01 (0.15)	0.50 (0.18)
19	ABCB9	15.20 (0.09)	15.73 (0.30)	1.00 (0.06)	0.74 (0.14)
20	ABCB10	14.72 (0.09)	12.97 (0.42)	1.00 (0.06)	3.80 (1.05)
21	ABCB11	18.30 (0.22)	n.e.	1.01 (0.15)	–
22	ABCC1	14.19 (0.05)	12.26 (0.44)	1.00 (0.04)	4.33 (1.21)
23	ABCC2	16.04 (0.04)	21.32 (0.19)	1.00 (0.02)	0.02 (0.01)
24	ABCC3	16.92 (0.14)	n.e.	1.01 (0.10)	–
25	ABCC4	15.27 (0.05)	13.59 (0.28)	1.00 (0.04)	3.39 (0.67)
26	ABCC5	16.29 (0.15)	17.90 (0.89)	1.01 (0.11)	0.53 (0.24)
27	ABCC6	17.24 (0.50)	19.54 (0.42)	1.06 (0.35)	0.23 (0.07)
28	CFTR;ABCC7	19.72 (0.57)	n.e.	1.08 (0.41)	–
29	ABCC8	16.90 (0.33)	16.94 (0.67)	1.03 (0.23)	1.30 (0.51)
30	ABCC9	15.83 (0.23)	19.97 (0.65)	1.01 (0.16)	0.06 (0.03)
31	ABCC10	18.14 (0.21)	17.82 (0.57)	1.01 (0.15)	1.57 (0.59)
32	ABCC11	20.97 (0.20)	n.e.	1.01 (0.14)	–
33	ABCD1	16.72 (0.42)	17.01 (0.54)	1.04 (0.29)	0.99 (0.32)
34	ABCD2	15.02 (0.21)	n.e.	1.01 (0.15)	–
35	ABCD3	13.78 (0.05)	11.58 (0.39)	1.00 (0.04)	5.10 (1.29)
36	ABCD4	14.66 (0.16)	14.66 (0.43)	1.01 (0.11)	1.14 (0.32)
37	ABCE1	14.62 (0.08)	11.77 (0.45)	1.00 (0.06)	8.27 (2.34)
38	ABCF1	15.22 (0.09)	14.02 (0.37)	1.00 (0.06)	2.52 (0.59)
39	ABCF2	13.69 (0.09)	12.77 (0.37)	1.00 (0.06)	2.08 (0.51)
40	ABCF3	14.10 (0.20)	14.30 (0.48)	1.01 (0.14)	1.02 (0.31)
41	ABCG1	15.68 (0.12)	15.89 (0.04)	1.00 (0.09)	0.86 (0.02)
42	ABCG2	14.44 (0.21)	n.e.	1.01 (0.14)	–
43	ABCG4	16.12 (0.34)	16.31 (0.46)	1.03 (0.24)	1.00 (0.28)
44	ABCG5	n.e.	n.e.	–	–
45	ABCG8	19.97 (0.14)	n.e.	1.00 (0.09)	–
46	TAP1;ABCB2	15.41 (0.33)	21.94 (0.05)	1.03 (0.23)	0.01 (0.00)
47	TAP2;ABCB3	15.84 (0.25)	n.e.	1.02 (0.17)	–
