Probe Set	FC(C)	P(C)	FC(T)	P(T)	Gene Symbol	Gene ID	Unigene	Chromosome	Description
203701_s_at	9	0.00001	10	0.003	FLJ20244	55621	Hs.515169	19p13.13	hypothetical protein FLJ20244
212996_s_at	35	0.00007	29	0.00002	C21orf108	9875	Hs.443257	21q22.11	chromosome 21 open reading frame 108
202890_at	223	0.00009	113	0.0002	MAP7	9053	Hs.486548	6q23.2	microtubule-associated protein 7
201563_at	4	0.00009	2	0.008	SORD	6652	Hs.878	15q15.3	sorbitol dehydrogenase
202935_s_at	263	0.0001	172	0.00007	SOX9	6662	Hs.2316	17q24.3-q25.1	SRY (sex determining region Y)-box 9
207540_s_at	51	0.0001	49	0.0001	SYK	6850	Hs.371720	9q22	spleen tyrosine kinase
203358_s_at	23	0.0001	57	0.000004	EZH2	2146	Hs.444082	7q35-q36	enhancer of zeste homolog 2 (Drosophila)
212312_at	6	0.0001	5	0.004	BCL2L1	598	Hs.516966	20q11.21	cytochrome c oxidase subunit IV isoform 2
204542_at	3	0.0001	3	0.003	SIAT7B	10610	Hs.288215	17q25.3	sialyltransferase 7
221884_at	126	0.0002	289	0.0001	EVI1	2122	Hs.165830	3q24-q28	ecotropic viral integration site 1 (oncogene Evi-1)
201839_s_at	84	0.0002	298	0.00008	TACSTD1	4072	Hs.692	2p21	tumor-associated calcium signal transducer 1
209739_s_at	15	0.0002	3	0.04	PNPLA4	8228	Hs.264	Xp22.3	patatin-like phospholipase domain-containing protein 4
209705_at	13	0.0002	5	0.002	M96	22823	Hs.31016	1p22.1	likely ortholog of mouse metal response element binding transcription factor 2
205928_at	40	0.0003	87	0.00008	ZNF443	10224	Hs.142150	19p13.2	zinc finger protein 443
204798_at	22	0.0003	8	0.002	MYB	4602	Hs.531941	6q22-q23	v-myb myeloblastosis viral oncogene homolog (avian)
214053_at	17	0.0003	10	0.006	ERBB4	2066	Hs.390729	2q33.3-q34	v-erb-a erythroblastic leukemia viral oncogene homolog 4
202043_s_at	4	0.0003	2	0.01	SMS	6611	Hs.529887	Xp22.1	spermine synthase
201036_s_at	16	0.0004	9	0.004	HADHSC	3033	Hs.438289	4q22-q26	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain
201291_s_at	16	0.0004	60	0.0001	TOP2A	7153	Hs.156346	17q21-q22	topoisomerase (DNA) II alpha 170kDa
219031_s_at	11	0.0004	16	0.001	CGI-37	51388	Hs.501513	16q22.1	comparative gene identification transcript 37
205642_at	10	0.0004	4	0.01	CEP1	11064	Hs.246344	9q33-q34	centrosomal protein 1
204401_at	5	0.0004	4	0.005	KCNN4	3783	Hs.10082	19q13.2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
218645_at	20	0.0005	4	0.04	ZNF277	11179	Hs.489722	7q31.1	zinc finger protein (C2H2 type) 277
203374_s_at	9	0.0008	5	0.0008	TPP2	7174	Hs.432424	13q32-q33	tripeptidyl peptidase II
219281_at	5	0.0008	4	0.0003	MSRA	4482	Hs.490981	8p23.1	methionine sulfoxide reductase A
201555_at	2	0.0008	2	0.02	MCM3	4172	Hs.179565	6p12	MCM3 minichromosome maintenance deficient 3
211297_s_at	59	0.001	111	0.00009	CDK7	1022	Hs.184298	5q12.1	cyclin-dependent kinase 7
