Accession No	Description	Intensity in high-stage group	Intensity in low-stage group	Ratio high/low-stage group
U10564	wee1Hu CDK tyrosine 15-kinase; wee-1-like protein kinase	83	16	5.2
U43899	Signal transducing adaptor molecule (STAM)	66	13	5.1
X53655; M37763	Neurotrophin-3 precursor (NT-3); neurotrophic factor (HDNF); nerve growth factor 2 (NGF-2)	384	74	5.2
U63131	CDC37 homologue	117	24	4.9
U32645	Myeloid ELF1-like factor	48	10	4.8
U72649	btg protein precursor; NGF-inducible anti-proliferative protein PC3	252	56	4.5
X06820	Transforming protein rhoB; ARHB; ARH6	239	58	4.1
Z11583	NuMA	35	9	3.9
AF027292	Interferon regulatory factor 6 (IRF6)	83	22	3.8
U78525	Eukaryotic translation initiation factor 3 beta subunit (EIF-3 beta); EIF3 P116	162	47	3.4
U31814	Histone deacetylase 2 (HD2)	102	30	3.4
U18321 + X83544	Ionizing radiation resistance-conferring protein + death-associated protein 3 (DAP3)	33	10	3.3
L42373	Protein phosphatase 2A B56-alpha	74	23	3.2
L33801	Glycogen synthase kinase 3 beta (GSK3 beta); tau kinase subunit; factor A	119	37	3.2
U77352	MAP kinase-activating death domain protein	33	10	3.3
U77352	Cyclic-AMP-dependent transcription factor atr-1; TREB36 protein	81	25	3.2
J03909	Gamma-interferon-inducible protein; IP-30	87	28	3.1
U72511	B-cell receptor-associated protein (hBAP)	428	139	3.1
