Gene symbol	Gene name	correlation with CD24 in Neve et al. Spearman coefficient	correlation with CD24 in Neve et al. p value	in Shipitsin - Polyak Ratio	in Shipitsin - Polyak p value
PMP22	peripheral myelin protein 22	?0.90	<0.0001	18.9	<0.01
EMP3	epithelial membrane protein 3	?0.79	0.0007	6.5	<0.01
VIM	vimentin	?0.71	0.0041	16.2	<0.01
AKR1C2	aldo-keto reductase family 1, member C2	0.66	0.01	66.4	<0.01
AKR1C2	aldo-keto reductase family 1, member C2	0.66	0.01	7.5	0.04
SLPI	secretory leukocyte peptidase inhibitor	0.67	0.0093	9.9	0.01
LAD1	ladinin 1	0.69	0.0065	?18.1	<0.01
LITAF	lipopolysaccharide-induced TNF factor	0.69	0.0061	?1.9	0.04
LITAF	lipopolysaccharide-induced TNF factor	0.69	0.0061	?2.5	0.05
LAMC2	laminin, gamma 2	0.7	0.0056	?3.6	0.03
LAMC2	laminin, gamma 2	0.7	0.0056	?4.7	<0.01
CLIC3	chloride intracellular channel 3	0.7	0.0052	10.9	<0.01
KRT5	keratin 5	0.71	0.0045	2.1	<0.01
KRT17	keratin 17	0.73	0.0032	9	0.02
KRT17	keratin 17	0.73	0.0032	?1.8	<0.01
KRT17	keratin 17	0.73	0.0032	?9.8	<0.01
RAB25	RAB25, member RAS oncogene family	0.74	0.0027	?5.4	0.02
LSR	lipolysis stimulated lipoprotein receptor	0.76	0.0015	?2.5	0.02
PYCARD	PYD and CARD domain containing	0.77	0.0014	?3.1	<0.01
SH3YL1	SH3 domain containing, Ysc84-like 1	0.77	0.0014	?14.1	<0.01
CHST15	carbohydrate sulfotransferase 15	0.77	0.0002	14.2	<0.01
EPAS1	endothelial PAS domain protein 1	0.79	0.0008	11.2	<0.01
EPAS1	endothelial PAS domain protein 1	0.79	0.0008	7.9	0.02
ITGB4	integrin, beta 4	0.8	0.0006	?6.0	0.04
S100A14	S100 calcium binding protein A14	0.8	0.0006	?4.7	<0.01
S100A14	S100 calcium binding protein A14	0.8	0.0006	?12.0	<0.01
S100A14	S100 calcium binding protein A14	0.8	0.0006	?14.1	0.01
ALDH1A3	aldehyde dehydrogenase 1 family, member A3	0.82	0.0003	?3.5	<0.01
ALDH1A3	aldehyde dehydrogenase 1 family, member A3	0.82	0.0003	?5.6	<0.01
ALDH1A3	aldehyde dehydrogenase 1 family, member A3	0.82	0.0003	?9.0	0.01
F11R	F11 receptor	0.82	0.0003	?3.6	<0.01
F11R	F11 receptor	0.82	0.0003	?5.7	<0.01
SPINT1	serine peptidase inhibitor, Kunitz type 1	0.82	0.0003	?6.3	<0.01
DDR1	discoidin domain receptor family, member 1	0.83	0.0003	?2.1	<0.01
JUP	junction plakoglobin	0.83	0.0003	?3.6	<0.01
