GO Category	p-Value(GO)	Genesymbol	Commonname	EntrezID	Foldchange	p-Value	Regulation
Oxygentransport	3.59E-08	Hbb-b1	Hemoglobin,betaadultmajorchain	15129	3.2	0.0276	Up-regulatedgenes
Oxygentransport	3.59E-08	Hbb-y	HemoglobinY,beta-likeembryonicchain	15135	2	0.033	Up-regulatedgenes
Oxygentransport	3.59E-08	Hbq1	Hemoglobin,theta1	216635	1.86	0.0028	Up-regulatedgenes
Oxygentransport	3.59E-08	Mb	Myoglobin	17189	1.86	0.0059	Up-regulatedgenes
Negativeregulationofapoptosis	3.79E-03	Angptl4	Angiopoietin-like4	57875	2.02	0.0075	Up-regulatedgenes
Negativeregulationofapoptosis	3.79E-03	Tsc22d3	TSC22domainfamily3	14605	1.86	0.0088	Up-regulatedgenes
Negativeregulationofapoptosis	3.79E-03	Fgf8	Fibroblastgrowthfactor8	14179	1.84	0.0182	Up-regulatedgenes
Ironionbinding	5.93E-06	Hbb-b1	Hemoglobin,betaadultmajorchain	15129	3.2	0.0276	Up-regulatedgenes
Ironionbinding	5.93E-06	Rsad2	RadicalS-adenosylmethioninedomaincontaining2	58185	2.4	0.0007	Up-regulatedgenes
Ironionbinding	5.93E-06	Fech	Ferrochelatase	14151	2.38	0.0013	Up-regulatedgenes
Ironionbinding	5.93E-06	Slc25a37	Solutecarrierfamily25,member37	67712	2.18	0.0034	Up-regulatedgenes
Ironionbinding	5.93E-06	Hbb-y	HemoglobinY,beta-likeembryonicchain	15135	2	0.033	Up-regulatedgenes
Ironionbinding	5.93E-06	Hbq1	Hemoglobin,theta1	216635	1.86	0.0028	Up-regulatedgenes
Ironionbinding	5.93E-06	Mb	Myoglobin	17189	1.86	0.0059	Up-regulatedgenes
Hemebiosynthesis	2.14E-04	Alas2	Aminolevulinicacidsynthase2,erythroid	11656	2.5	0.0023	Up-regulatedgenes
Hemebiosynthesis	2.14E-04	Fech	Ferrochelatase	14151	2.38	0.0013	Up-regulatedgenes
DNArepair	6.65E-03	Brca2	Breastcancer2	12190	-2.08	0.0049	Down-regulatedgenes
DNArepair	6.65E-03	Msh6	mutShomolog6(E.coli)	17688	-1.9	0.0269	Down-regulatedgenes
DNArepair	6.65E-03	Pold3	Polymerase(DNA-directed),delta3,accessorysubunit	67967	-1.9	0.0277	Down-regulatedgenes
DNArepair	6.65E-03	H2afx	H2Ahistonefamily,memberX	15270	-1.82	0.0219	Down-regulatedgenes
DNArepair	6.65E-03	Rev3l	REV3-like,catalyticsubunitofDNApolymerasezetaRAD54like(S.cerevisiae)	19714	-1.81	0.0095	Down-regulatedgenes
DNArecombination	9.19E-03	Brca2	Breastcancer2	12190	-2.08	0.0049	Down-regulatedgenes
DNArecombination	9.19E-03	Msh6	mutShomolog6(E.coli)	17688	-1.9	0.0269	Down-regulatedgenes
DNArecombination	9.19E-03	H2afx	H2Ahistonefamily,memberX	15270	-1.82	0.0219	Down-regulatedgenes
Double-strandbreakrepair	4.20E-03	Brca2	Breastcancer2	12190	-2.08	0.0049	Down-regulatedgenes
Double-strandbreakrepair	4.20E-03	H2afx	H2Ahistonefamily,memberX	15270	-1.82	0.0219	Down-regulatedgenes
Responsetostress	1.73E-02	Brca2	Breastcancer2	12190	-2.08	0.0049	Down-regulatedgenes
Responsetostress	1.73E-02	C1s	Complementcomponent1,ssubcomponent	50908	-2.02	0.0044	Down-regulatedgenes
Responsetostress	1.73E-02	Hsp90ab1	Heatshockprotein90kDaalpha(cytosolic),classBmember1	15516	-1.9	0.0227	Down-regulatedgenes
Responsetostress	1.73E-02	Msh6	mutShomolog6(E.coli)	17688	-1.9	0.0269	Down-regulatedgenes
Responsetostress	1.73E-02	Pold3	Polymerase(DNA-directed),delta3,accessorysubunit	67967	-1.9	0.0277	Down-regulatedgenes
Responsetostress	1.73E-02	Fn1	Fibronectin1	14268	-1.86	0.0171	Down-regulatedgenes
Responsetostress	1.73E-02	Txnip	Thioredoxininteractingprotein	56338	-1.85	0.0061	Down-regulatedgenes
Responsetostress	1.73E-02	Lta4h	LeukotrieneA4hydrolase	16993	-1.85	0.0158	Down-regulatedgenes
Responsetostress	1.73E-02	H2afx	H2Ahistonefamily,memberX	15270	-1.82	0.0219	Down-regulatedgenes
Responsetostress	1.73E-02	Rev3l	REV3-like,catalyticsubunitofDNApolymerasezetaRAD54like(S.cerevisiae)	19714	-1.81	0.0095	Down-regulatedgenes
