Symbol	Function	Description	IL-4 1IL-13	IL-4	IL-13
Arg1	Epithelial products	Arginase 1, liver	12.6	8.6	4.4
Clca3	Epithelial products	Chloride channel calcium activated 3	29	24.7	25.7
Ccl7	Chemokines	Chemokine (C-C motif) ligand 7	3.2	2	2.5
Ccl8	Chemokines	Chemokine (C-C motif) ligand 8	9.9	8.7	2.9
Ccl9	Chemokines	Chemokine (C-C motif) ligand 9	5	4.3	2.2
Gbp4	Signaling	Guanylate nucleotide binding protein 4	2.5	2.4	2.1
Tgtp	Signaling	T cell–specific GTPase	3.2	3.4	2.7
Chi3l3	Inflammation	Chitinase 3-like 3	5.2	5.2	10.2
Chia	Inflammation	Chitinase, acidic	8.2	4.2	4.5
Ear1	Inflammation	Eosinophil-associated, ribonuclease A family, member 1	2.3	2.1	2.9
Ear2	Inflammation	Eosinophil-associated, ribonuclease A family, member 2	2.5	2.5	2.9
Ifi16	Host immune response	IFN-g–inducible protein 16	2.9	2.4	2.3
Ifi47	Host immune response	IFN-g–inducible protein 47	2.4	2.4	2.3
Mmp12	Protease pathways	Matrix metalloproteinase 12	22.1	21.6	4.1
Serpina3g	Protease pathways	Serine (or cysteine) proteinase inhibitor, clade A, member 3G	5.2	4.2	3.1
Adam8	Protease pathways	A disintegrin and metalloprotease domain 8	2.5	2.3	2.2
Ctsk	Matrix homeostasis	Cathepsin K	3	2.9	2.3
Fcgbp	Immunoglobulins	Fc fragment of IgG binding protein	2.7	2	2.5
Lilrb4	Immunoglobulins	Leukocyte immunoglobulin-like receptor, subfamily B, member 4	3.1	2.6	2.3
