Accession No.	Gene Title	Fold Difference	Function
NM_001078	vascular cell adhesion molecule 1	51.24	ADHESION 
BF511231	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)1	100.99	Binding 
NM_003186	Transgelin	76.44	Binding 
NM_013372	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	102.43	Development
NM_007038	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)	68.47	ECM 
BF060767	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)	54.06	ECM 
AA584310	collagen triple helix repeat containing 1	57.5	ECM 
K01228	collagen, type I, alpha 11	68.86	ECM 
AI743621	collagen, type I, alpha 11	98	ECM 
AA788711	collagen, type I, alpha 22	74.16	ECM 
AI813758	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)2	169.22	ECM 
AF130082	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)2	70.74	ECM 
AU144167	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	157.27	ECM 
NM_004369	collagen, type VI, alpha 3 1 2	70.59	ECM 
BF449063	collagen, type XIV, alpha 1 (undulin)	53.63	ECM 
NM_001855	collagen, type XV, alpha 12	69.74	ECM 
AF138300	Decorin1	51.95	ECM 
AI281593	Decorin	257.67	ECM 
AF138303	Decorin1	55.79	ECM 
AF138302	Decorin1	57.33	ECM 
NM_002345	Lumican2	520.14	ECM 
AI110886	pregnancy-associated plasma protein A, pappalysin 1	70.7	ECM 
M18767	complement component 1, s subcomponent2	59.14	Immune
L03203	peripheral myelin protein 222	50.96	Immune
NM_021111	reversion-inducing-cysteine-rich protein with kazal motifs2	54.66	Immune
AU151239	transmembrane and tetratricopeptide repeat containing 1	51.27	Immune
NM_000689	aldehyde dehydrogenase 1 family, member A11 2	54.14	Immune
BF589787	ankyrin repeat and SOCS box-containing 5	152.09	Signalling
NM_018659	cytokine-like 1	57.11	Signalling
NM_000115	endothelin receptor type B	197.67	Signalling
R73554	insulin-like growth factor binding protein 5	61.05	Signalling
AW007532	insulin-like growth factor binding protein 5	142.44	Signalling
H15920	MAS-related GPR, member F2	63.7	Signalling
NM_002609	platelet-derived growth factor receptor, beta polypeptide2	87.55	Signalling
BF433902	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	114.55	Signalling
NM_002546	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	80.55	Signalling
AI951185	Nuclear receptor subfamily 2, group F, member 12	102.06	Transcription
AI806174	zinc finger E-box binding homeobox 1	56.04	Transcription
AA502609	transient receptor potential cation channel, subfamily A, member 1	72.51	Transport 
AB033025	KIAA1199	53.76	MISC 
