Symbol	Gene	UniGene cluster or UniSTS	1p-normal samples; Mean exp. Level	1p-normal samples; s.d.	1pLOH samples; Mean exp. Level	1pLOH samples; s.d.	Fold change 1pnormal/1pLOH
CDC42	Cell division cycle 42	Hs.355832	0.312	0.026	0.181	0.013	1.72
HTO14	ESTs		0.275	0.026	0.102	0.015	2.69
VAMP3	Vesicle-associated membrane protein 3 (cellubrevin)	Hs.66708	0.343	0.032	0.197	0.018	1.74
MMEL2	Membrane metallo-endopeptidase-like 2	Hs.380483	0.165	0.014	0.076	0.009	2.16
CLSTN1	Calsyntenin 1	Hs.29665	0.671	0.084	0.244	0.042	2.75
RBAF600	Retinoblastoma-associated factor 600	Hs.287616	0.541	0.042	0.334	0.037	1.62
FLJ12438	Hypothetical protein FLJ12438	Hs.8595	0.121	0.008	0.068	0.006	1.78
STMN1	Stathmin 1/oncoprotein 18	Hs.209983	3.935	0.324	2.262	0.274	1.74
MFN2	Mitofusin 2	Hs.376681	0.123	0.009	0.061	0.01	2.01
FBXO6	F-box only protein 6	Hs.284226	0.129	0.008	0.083	0.008	1.55
MAD2L2	MAD2 mitotic arrest deficient-like 2	Hs.19400	0.257	0.019	0.143	0.015	1.79
SEPN1	Selenoprotein N, 1	Hs.8518	1.068	0.059	0.657	0.043	1.63
GNB1	Guanine nucleotide binding protein, beta polypeptide 1	Hs.304694	1.424	0.119	0.758	0.093	1.88
FLJ31031	FLJ31031 hypothetical protein	Hs.107101	0.414	0.046	0.167	0.018	2.48
MSTP9	Macrophage stimulating, pseudogene 9	Hs.475654	0.2	0.018	0.114	0.024	1.75
FLJ22215	Hypothetical protein FLJ22215	Hs.449009	0.331	0.112	0.103	0.029	3.22
SLC35E2	Solute carrier family 35, member E2	Hs.458492	0.635	0.074	0.306	0.043	2.07
CAPZB	Capping protein (actin filament) muscle Z-line, beta	Hs.333417	0.153	0.017	0.076	0.009	2.01
PEX14	Peroxisomal biogenesis factor 14	Hs.19851	0.144	0.01	0.072	0.012	2
CaMKIINalpha	Calcium/calmodulin-dependent protein kinase II	Hs.197922	0.436	0.047	0.232	0.032	1.88
MTHFR	5,10-Methylenetetrahydrofolate reductase	Hs.152547	0.11	0.008	0.059	0.008	1.86
ESTs	Similar to 1110065N12Rik protein	Hs.7967	0.134	0.013	0.053	0.016	2.53
TCEB3	Transcription elongation factor B, polypeptide 3	Hs.15535	0.126	0.012	0.085	0.007	1.49
