Order	microRNA	P- value	Fold change	Chromosome	Cluster
-1	hsa-mir-342	2.31E-09	-9.94	14q32.2	NA
-2	hsa-mir-223	2.41E-09	-13.99	Xq12	NA
-3	hsa-mir-150	3.63E-09	-6.72	19q13.33	NA
-4	hsa-mir-189	2.82E-08	-3.97	9q22.32/19p13.12	24-23a/23b-24
-5	hsa-mir-186	5.04E-08	-6.4	1p31.1	NA
-6	hsa-mir-423	5.04E-08	-2.24	17q11.2	NA
-7	hsa-mir-92-1	5.22E-08	-5.6	13q31.3/Xq26.2	17-92/106a-363
-8	hsa-mir-181a-1	5.22E-08	-4.4	1q32.1/9q33.3	181a-181b
-9	hsa-mir-191	6.72E-08	-4.59	3p21.31	425-191
-10	hsa-mir-376b	6.72E-08	-3.91	14q32.31	NA
