Gene	Description
NLK	Nemo-like kinase
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)
MGC13057	Hypothetical protein MGC13057
PPP3CB	Protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform
SERPING1	Serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)
LGTN	Ligatin
NR4A2	Nuclear receptor subfamily 4, group A, member 2
ACVR1	Activin A receptor, type I
ARMC5	Armadillo repeat containing 5
TM9SF3	Transmembrane 9 superfamily member 3
CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)
CSDE1	Cold shock domain containing E1, RNA-binding
SRA1	Steroid receptor RNA activator 1
GALR1	Galanin receptor 1
CASC5	Cancer susceptibility candidate 5
STK38	Serine/threonine kinase 38
C11orf57	Chromosome 11 open reading frame 57
MTA1	Metastasis associated 1
SCAMP4	Secretory carrier membrane protein 4
ZMAT3	Zinc finger, matrin type 3
RORB	RAR-related orphan receptor B
WDR1	WD repeat domain 1
FADS2	Fatty acid desaturase 2
SGIP1	SH3-domain GRB2-like (endophilin) interacting protein 1
MCM3APAS	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein antisense
TARBP2	Tar (HIV-1) RNA binding protein 2
COG4	Component of oligomeric golgi complex 4
RFX3	Regulatory factor X, 3 (influences HLA class II expression)
SHOX	Short stature homeobox
BACE1	Beta-site APP-cleaving enzyme 1
HARS	Histidyl-tRNA synthetase
PAH	Phenylalanine hydroxylase
NIPBL	Nipped-B homolog (Drosophila)
OS9	Amplified in osteosarcoma
AHI1	Abelson helper integration site 1
TP53BP2	Tumor protein p53 binding protein, 2
