Gene	Description
CNOT1	CCR4-NOT transcription complex, subunit 1
ATP5L	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G
AMAC1L2	Acyl-malonyl condensing enzyme 1-like 2
SLAMF1	Signaling lymphocytic activation molecule family member 1
KCNG2	Potassium voltage-gated channel, subfamily G, member 2
ALF	TFIIA-alpha/beta-like factor
LTBP4	Latent transforming growth factor beta binding protein 4
PHLDB1	Pleckstrin homology-like domain, family B, member 1
SLC32A1	Solute carrier family 32 (GABA vesicular transporter), member 1
RNF135	Ring finger protein 135
CRB1	Crumbs homolog 1 (Drosophila)
OTP	Orthopedia homolog (Drosophila)
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif, 14
CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4
SIX1	Sine oculis homeobox homolog 1 (Drosophila)
TAOK2	TAO kinase 2
FAM3A	Family with sequence similarity 3, member A
ZNF592	Zinc finger protein 592
RPS23	Ribosomal protein S23
PRSS27	Protease, serine 27
APOBEC2	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2
KIF2C	Kinesin family member 2C
C12orf44	Chromosome 12 open reading frame 44
HLA-E	Major histocompatibility complex, class I, E
TPCN1	Two pore segment channel 1
ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6
SGK2	Serum/glucocorticoid regulated kinase 2
TFE3	Transcription factor binding to IGHM enhancer 3
SERF2	Small EDRK-rich factor 2
SP2	Sp2 transcription factor
EPN3	Epsin 3
ISG20L2	Interferon stimulated exonuclease gene 20kDa-like 2
SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)
HSPC171	HSPC171 protein
BCAS3	Breast carcinoma amplified sequence 3
FLYWCH1	FLYWCH-type zinc finger 1
KCNH2	Potassium voltage-gated channel, subfamily H (eag-related), member 2
TMEM161A	Transmembrane protein 161A
TBC1D13	TBC1 domain family, member 13
RNASEH2A	Ribonuclease H2, subunit A
EDG8	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 8
ITFG2	Integrin alpha FG-GAP repeat containing 2
TMEM35	Transmembrane protein 35
CHD6	Chromodomain helicase DNA binding protein 6
CRELD2	Cysteine-rich with EGF-like domains 2
WNT10A	Wingless-type MMTV integration site family, member 10A
RASSF7	Ras association (RalGDS/AF-6) domain family 7
ZNF160	Zinc finger protein 160
POLR1E	Polymerase (RNA) I polypeptide E, 53kDa
CCRK	Cell cycle related kinase
IQSEC3	IQ motif and Sec7 domain 3
ID1	Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
FLJ20433	Hypothetical protein FLJ20433
MSI2	Musashi homolog 2 (Drosophila)
TSC22D2	TSC22 domain family, member 2
PCMTD2	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
TCP10L	T-complex 10 (mouse)-like
ELK1	ELK1, member of ETS oncogene family
KLK11	Kallikrein-related peptidase 11
PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A
HLA-E	Major histocompatibility complex, class I, E
SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1
C5orf32	Chromosome 5 open reading frame 32
SUSD4	Sushi domain containing 4
ADM2	Adrenomedullin 2
SPRY4	Sprouty homolog 4 (Drosophila)
SGCA	Sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)
ZNF206	Zinc finger protein 206
C2orf24	Chromosome 2 open reading frame 24
IGSF9B	Immunoglobulin superfamily, member 9B
ZNF703	Zinc finger protein 703
SFRP1	Secreted frizzled-related protein 1
LGP2	Likely ortholog of mouse D11lgp2
OAZ3	Ornithine decarboxylase antizyme 3
DUS3L	Dihydrouridine synthase 3-like (S. cerevisiae)
ARID1A	AT rich interactive domain 1A (SWI-like)
AP1GBP1	AP1 gamma subunit binding protein 1
UBA52	Ubiquitin A-52 residue ribosomal protein fusion product 1
TMEM54	Transmembrane protein 54
SUPT3H	Suppressor of Ty 3 homolog (S. cerevisiae)
MRPL53	Mitochondrial ribosomal protein L53
ZC3H12A	Zinc finger CCCH-type containing 12A
BMP10	Bone morphogenetic protein 10
C12orf43	Chromosome 12 open reading frame 43
SLC29A2	Solute carrier family 29 (nucleoside transporters), member 2
INCENP	Inner centromere protein antigens 135/155kDa
LOC554223	Hypothetical LOC554223
DKFZP434O047	DKFZP434O047 protein
FGF21	Fibroblast growth factor 21
OTOF	Otoferlin
ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11
FAM124B	Family with sequence similarity 124B
MARK4	MAP/microtubule affinity-regulating kinase 4
SUV420H2	Suppressor of variegation 4-20 homolog 2 (Drosophila)
