GenBank ID	Gene Name
M63391	Human desmin gene, complete cds.
M26383	Human monocyte-derived neutrophil-activating protein (MONAP) mRNA, complete cds.
R87126	197371 MYOSIN HEAVY CHAIN, NONMUSCLE (Gallus gallus)
M76378	Human cysteine-rich protein (CRP) gene, exons 5 and 6.
M76378	Human cysteine-rich protein (CRP) gene, exons 5 and 6.
M22382	MITOCHONDRIAL MATRIX PROTEIN P1 PRECURSOR (HUMAN);.
J05032	Human aspartyl-tRNA synthetase alpha-2 subunit mRNA, complete cds.
M76378	Human cysteine-rich protein (CRP) gene, exons 5 and 6.
R36977	26045 P03001 TRANSCRIPTION FACTOR IIIA ;.
H40095	175181 MACROPHAGE MIGRATION INHIBITORY FACTOR (HUMAN);.
J02854	MYOSIN REGULATORY LIGHT CHAIN 2, SMOOTH MUSCLE ISOFORM (HUMAN);contains element TAR1 repetitive element
H08393	45395 COLLAGEN ALPHA 2(XI) CHAIN (Homo sapiens)
X12671	Human gene for heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1.
T96873	121343 HYPOTHETICAL PROTEIN IN TRPE )
X63629	H.sapiens mRNA for p cadherin.
U25138	Human MaxiK potassium channel beta subunit mRNA, complete cds.
T71025	84103 Human (HUMAN);.
T92451	118219 TROPOMYOSIN, FIBROBLAST AND EPITHELIAL MUSCLE-TYPE (HUMAN);.
U09564	Human serine kinase mRNA, complete cds.
R64115	139618 ADENOSYLHOMOCYSTEINASE (Homo sapiens)
R42501	29607 INOSINE-5’-MONOPHOSPHATE DEHYDROGENASE 2 (HUMAN);.
T86473	114645 NUCLEOSIDE DIPHOSPHATE KINASE A (HUMAN);.
T47377	71035 S-100P PROTEIN (HUMAN).
X14958	Human hmgI mRNA for high mobility group protein Y.
D31885	Human mRNA (KIAA0069) for ORF (novel proetin), partial cds.
M36634	Human vasoactive intestinal peptide (VIP) mRNA, complete cds.
X86693	H.sapiens mRNA for hevin like protein.
T60778	76539 MATRIX GLA-PROTEIN PRECURSOR (Rattus norvegicus)
U29092	Human ubiquitin conjugating enzyme mRNA, complete cds.
X54942	H.sapiens ckshs2 mRNA for Cks1 protein homologue.
T60155	81422 ACTIN, AORTIC SMOOTH MUSCLE (HUMAN);.
M36981	Human putative NDP kinase (nm23-H2S) mRNA, complete cds.
T79152	113545 60S RIBOSOMAL PROTEIN L19 (HUMAN);.
X53586	Human mRNA for integrin alpha 6.
H43887	183264 COMPLEMENT FACTOR D PRECURSOR (Homo sapiens)
X56597	Human humFib mRNA for Žbrillarin.
H77597	214162 H.sapiens mRNA for metallothionein (HUMAN);.
M26697	Human nucleolar protein (B23) mRNA, complete cds.
X70326	H.sapiens MacMarcks mRNA.
R08183	127228 Q04984 10 KD HEAT SHOCK PROTEIN, MITOCHONDRIAL ;.
R52081	40295 TRANSCRIPTIONAL ACTIVATOR GCN5 (Saccharomyces cerevisiae)
T95018	120032 40S RIBOSOMAL PROTEIN S18 (Homo sapiens)
X12466	Human mRNA for snRNP E protein.
Z49269	H.sapiens gene for chemokine HCC-1.
X62048	H.sapiens Wee1 hu gene.
T61609	78081 LAMININ RECEPTOR (HUMAN);.
T67077	66563 SODIUM/POTASSIUM-TRANSPORTING ATPASE GAMMA CHAIN (Ovis aries)
U19969	Human two-handed zinc Žnger protein ZEB mRNA, partial cds.
X15183	Human mRNA for 90-kDa heat-shock protein.
T57633	75467 40S RIBOSOMAL PROTEIN S8 (HUMAN).
M91463	Human glucose transporter (GLUT4) gene, complete cds.
D29808	Human mRNA for T-cell acute lymphoblastic leukemia associated antigen 1 (TALLA-1), complete cds.
T51023	75127 HEAT SHOCK PROTEIN HSP 90-BETA (HUMAN).
H87135	252431 IMMEDIATE-EARLY PROTEIN IE180 (Pseudorabies virus)
T83368	116679 MEMBRANE COFACTOR PROTEIN PRECURSOR (Homo sapiens)
T51529	72384 ELONGATION FACTOR 1-DELTA (Artemia salina)
U30825	Human splicing factor SRp30c mRNA, complete cds.
Z50753	H.sapiens mRNA for GCAP-II/uroguanylin precursor.
U32519	Human GAP SH3 binding protein mRNA, complete cds.
R84411	194660 SMALL NUCLEAR RIBONUCLEOPROTEIN ASSOCIATED PROTEINS B AND B’ (HUMAN);.
H40560	175410 THIOREDOXIN (HUMAN);.
T62947	79366 60S RIBOSOMAL PROTEIN L24 (Arabidopsis thaliana)
T51571	72250 P24480 CALGIZZARIN.
X55715	Human Hums3 mRNA for 40S ribosomal protein s3.
T52185	71940 P17074 40S RIBOSOMAL PROTEIN.
D63874	Human mRNA for HMG-1.
Z49269	H.sapiens gene for chemokine HCC-1.
U17899	Human chloride channel regulatory protein mRNA, complete cds.
L41559	Homo sapiens pterin-4a-carbinolamine dehydratase (PCBD) mRNA, complete cds.
H64489	238846 LEUKOCYTE ANTIGEN CD37 (Homo sapiens)
L08069	Human heat shock protein, E. coli DnaJ homologue mRNA, complete cds.
H89087	253224 SPLICING FACTOR SC35 (Homo sapiens)
R75843	143567 TRANSLATIONAL INITIATION FACTOR 2 GAMMA SUBUNIT (Homo sapiens)
T40454	60221 ANTIGENIC SURFACE DETERMINANT PROTEIN OA3 PRECURSOR (Homo sapiens)
H06524	44386 GELSOLIN PRECURSOR, PLASMA (HUMAN);.
T57630	75459 S34195 RIBOSOMAL PROTEIN L3 -.
D00596	Human thymidylate syntase (EC 2.1.1.45) gene, complete cds.
U26312	Human heterochromatin protein HP1Hs-gamma mRNA, partial cds.
L05144	PHOSPHOENOLPYRUVATE CARBOXYKINASE, CYTOSOLIC (HUMAN);contains Alu repetitive element;contains element PTR5 repetitive element
M80815	H.sapiens a-L-fucosidase gene, exon 7 and 8, and complete cds.
X74295	H.sapiens mRNA for alpha 7B integrin.
T86749	114310 Human (clone PSK-J3)cyclin-dependent protein kinase mRNA, complete cds.,.
M64110	Human caldesmon mRNA, complete cds.
X70944	H.sapiens mRNA for PTB-associated splicing factor.
X74262	H.sapiens RbAp48 mRNA encoding retinoblastoma binding protein.
R78934	146232 ENDOTHELIAL ACTIN-BINDING PROTEIN (Homo sapiens)
