Number	miRNA Name	Primary SCLC tumors S1-6, pooled	SCLC cell lines Pooled
1	hsa-mir-17	16.67	41.53
2	hsa-mir-301a	13.09	51.23
3	hsa-mir-98	13.08	18.26
4	hsa-mir-106a	12.42	34.08
5	hsa-mir-335	11.52	15.61
6	hsa-mir-95	10.93	17.66
7	hsa-mir-19a	6.94	6.38
8	hsa-mir-374a	6.79	4.16
9	hsa-mir-96	6.31	5.28
10	hsa-mir-200a	5.96	3.56
11	hsa-mir-182	5.85	12.63
12	hsa-mir-25	4.45	5.33
13	hsa-mir-210	4.17	12.67
14	hsa-mir-183	3.02	17.34
15	hsa-mir-105-1	2.68	53.93
16	hsa-mir-200c	2.21	4.8
17	hsa-mir-29a	0.44	6.07E-02
18	hsa-mir-125a	0.44	0.42
19	hsa-mir-199a-1	0.38	6.86E-03
20	hsa-mir-214	0.19	1.43E-02
21	hsa-mir-223	0.16	1.34E-04
22	hsa-mir-126	0.11	2.13E-03
23	hsa-mir-150	0.1	3.83E-04
24	hsa-mir-27a	0.04	1.67E-02
25	hsa-mir-324	4.44	2.16E-08
26	hsa-mir-15a	2.35	0.21
27	hsa-mir-130b	2.31	1.63
28	hsa-mir-10a	2.12	1.26
29	hsa-mir-125b-1	1.9	0.09
30	hsa-mir-186	1.78	3.51E+00
31	hsa-mir-194-1	1.53	0.3
32	hsa-mir-27b	1.53	0.81
33	hsa-let-7e	1.5	1.16
34	hsa-mir-21	1.48	0.72
35	hsa-mir-191	1.42	0.38
36	hsa-mir-15b	1.38	0.55
37	hsa-mir-141	1.33	0.4
38	hsa-mir-185	1.27	0.3
39	hsa-let-7a-1	1.27	1.11
40	hsa-mir-148a	1.26	0.2
41	hsa-let-7d	1.24	1.27
42	hsa-let-7b	1.24	0.7
43	hsa-mir-181c	1.12	0.72
44	hsa-mir-30c-1	1.08	0.78
45	hsa-mir-132	1.05	0.29
46	hsa-mir-103-1	1.03	0.39
47	hsa-mir-342	1	1
48	hsa-mir-26a-1	0.099	0.29
49	hsa-mir-26b	0.97	0.49
50	hsa-mir-16-1	0.94	0.16
51	hsa-mir-151	0.93	0.42
52	hsa-let-7g	0.92	0.44
53	hsa-mir-320a	0.91	1.22
54	hsa-mir-23a	0.74	5.85E-02
55	hsa-mir-100	0.74	0.06
56	hsa-mir-222	0.73	1.93
57	hsa-mir-30d	0.64	0.21
58	hsa-mir-30b	0.63	0.15
59	hsa-mir-23b	0.63	0.11
60	hsa-mir-130a	0.56	0.16
61	hsa-mir-195	0.55	0.14
62	hsa-mir-181a-1	0.55	0.09
63	hsa-mir-181b-1	0.43	1.43
