Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
ZDHHC15	zinc finger, DHHC-type containing 15	158866	15.4	0.0253
AQP10	aquaporin 10	89872	10.42	0.0087
PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	118788	7.01	0.0102
C21orf135	chromosome 21 open reading frame 135	727701	5.9	0.0075
TAS2R50	taste receptor, type 2, member 50	259296	5.33	0.0091
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif, 15	170689	4.95	0.01
TRIM49	tripartite motif-containing 49	57093	4.54	0.0118
LOC400707	hypothetical gene supported by AK124070	400707	4.48	0.0167
LOC387761	hypothetical LOC387761	387761	4.41	0.0335
CXorf36	chromosome X open reading frame 36	79742	4.38	0.0094
SPRR2D	small proline-rich protein 2D	6703	4.17	0.0113
FOLH1	folate hydrolase (prostate-specific membrane antigen) 1	2346	4.09	0.0094
DKKL1	dickkopf-like 1 (soggy)	27120	4.02	0.0097
CNGB1	cyclic nucleotide gated channel beta 1	1258	3.8	0.0147
FLJ21438	hypothetical protein FLJ21438	64926	3.49	0.0113
SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	57556	3.41	0.0167
TMPRSS2	transmembrane protease, serine 2	7113	3.4	0.0071
CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1	1581	3.28	0.0111
PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	5156	3.19	0.0181
CILP2	cartilage intermediate layer protein 2	148113	3.11	0.0137
PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C	81706	3.01	0.0174
DMRTC1	DMRT-like family C1	63947	2.98	0.0131
PLA2G3	phospholipase A2, group III	50487	2.83	0.0169
LOC400752	hypothetical gene supported by BC006119	400752	2.78	0.0225
DPCR1	diffuse panbronchiolitis critical region 1	135656	2.72	0.01
SERINC2	serine incorporator 2	347735	2.66	0.0149
CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	1571	2.66	0.0243
PSORS1C2	psoriasis susceptibility 1 candidate 2	170680	2.54	0.0132
GYPC	glycophorin C (Gerbich blood group)	2995	2.53	0.0106
TMEM35	transmembrane protein 35	59353	2.5	0.0295
TCL1A	T-cell leukemia/lymphoma 1A	8115	2.36	0.0477
HEMK1	HemK methyltransferase family member 1	51409	2.34	0.043
KIAA1881	KIAA1881	114782	2.31	0.0194
TTC21B	tetratricopeptide repeat domain 21B	79809	2.31	0.0227
SEC61A2	Sec61 alpha 2 subunit (S. cerevisiae)	55176	2.25	0.0308
WDR19	WD repeat domain 19	57728	2.22	0.0275
ZFP41	zinc finger protein 41 homolog (mouse)	286128	2.22	0.0466
FLJ30064	hypothetical protein LOC644975	644975	2.2	0.0216
LRRC36	leucine rich repeat containing 36	55282	2.19	0.0205
ST6GALNAC1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	55808	2.17	0.0215
GIPR	gastric inhibitory polypeptide receptor	2696	2.12	0.022
HIF3A	hypoxia inducible factor 3, alpha subunit	64344	2.12	0.03
CABP7	calcium binding protein 7	164633	2.12	0.028
CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	1543	2.11	0.0333
ATP2C2	ATPase, Ca++ transporting, type 2C, member 2	9914	2.1	0.0312
LOC646652	integral membrane glycoprotein-like	646652	2.1	0.0128
LOC166994	integral membrane glycoprotein-like	166994	2.08	0.0197
RASIP1	Ras interacting protein 1	54922	2.05	0.0495
FOLR2	folate receptor 2 (fetal)	2350	2.03	0.0298
SYT9	synaptotagmin IX	143425	1.98	0.043
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	1.98	0.0176
METTL7A	methyltransferase like 7A	25840	1.92	0.0415
LOC492303	FAM51A1 pseudogene	492303	1.91	0.0295
RASAL1	RAS protein activator like 1 (GAP1 like)	8437	1.88	0.0193
LOC654350	similar to ribosomal protein L9	654350	1.86	0.0284
LOC648498	similar to filaggrin	648498	1.85	0.0421
GNAZ	guanine nucleotide binding protein (G protein), alpha z polypeptide	2781	1.84	0.03
KIF3B	kinesin family member 3B	9371	1.83	0.0295
KIAA1377	KIAA1377	57562	1.83	0.0346
RPL9	ribosomal protein L9	6133	1.82	0.0302
SYT5	synaptotagmin V	6861	1.81	0.0378
FKSG2	apoptosis inhibitor	59347	1.81	0.0317
