Gene Name	Clone ID
pim-1 kinase	NA
PDE2	NA
Id2	NA
A20	NA
DEC	NA
MCL1	NA
BTG1	NA
GRP78	NA
NA	1967041
TTP	NA
NA	1251958
CPBP	NA
Similar to nucleolin	1307980
CD71	NA
lyn	NA
ets-2	NA
c-cot	NA
TNF alpha	NA
jun-B	NA
AREB6	NA
MCC	NA
BTG2	NA
c-IAP1	NA
c-myb	NA
DUSP5	NA
PU1	NA
CD83	NA
SMBP2	NA
SIAH-2	NA
NA	321744
APR	NA
PBEF	NA
NA	1251958
AIM2	NA
methionine adenosyltransferase alpha subunit	NA
IL-8	NA
IL-6	NA
BCL-6	NA
CIP4	NA
CD54	NA
NA	1967687
NIK	NA
EVI2B	NA
Adenylosuccinate synthase	NA
CXCR4	NA
NAIP	NA
PTPCAAX1	NA
antioxidant enzyme AOE37	NA
NA	1356581
NA	430337
c-myc	NA
Tel	NA
sgk	NA
EGR-2	NA
IkB alpha	NA
Dihydrolipoamide S-acetyltransferase	NA
TTF	NA
INFg receptor 2	NA
PrP	NA
IRF-4	NA
ICSBP	NA
EV12A	NA
NA	321235
SLAP	NA
IkB epsilon	NA
EBI2	NA
AhR	NA
LIMK2	NA
A1	NA
9G8 splicing factor	NA
Ki nuclear autoantigen	NA
Casein kinase I delta	NA
AML2	NA
relB	NA
CBF beta	NA
Calcium-ATPase (HK1)	NA
Uridine monophosphate kinase	NA
