Unigene number	Gene symbol	Fold change
Hs.83916	NDUFA5	-8.9
Hs.181369	UFD1L	-8.9
Hs.77171	MCM5	-8.7
Hs.75355	UBE2N	-8.6
Hs.227730	ITGA6	-6.9
Hs.151134	OXA1L	-6.8
Hs.153834	PUM1	-6.8
Hs.184014	RPL31	-6.8
Hs.334612	SNRPE	-6.7
Hs.25197	STUB1	-6.7
Hs.30213	CLN5	-6.7
Hs.306237	KIAA1680	-6.5
Hs.111632	LSM3	-6.5
Hs.184352	PCNT1	-5.8
Mm.6332	ALOX15B	-5.7
Hs.72160	AND-1	-5.6
Hs.155172	AP3B1	-5.6
Hs.154149	APEX2	-5.4
Hs.227913	API5	-5.4
Hs.7351	ARPP-19	-5.1
Hs.81886	AUH	-4.9
Hs.75415	B2M	-4.9
Hs.15259	BAG3	-4.7
Hs.202	BZRP	-4.7
Hs.3402	C17orf26	-4.7
Hs.155560	CANX	-4.8
Hs.1592	CDC16	-4.5
Hs.179902	CDW92	-4.5
Hs.278562	CLDN7	-4.1
Hs.106552	CNTNAP2	-4
Hs.79194	CREB1	-3.9
Hs.330208	CRYZL1	-3.8
Hs.349699	DSP	-3.8
Hs.177534	DUSP10	-3.8
Hs.346868	EBNA1BP2	-3.7
Hs.275959	EEF1B2	-3.7
Hs.348389	SFXN1	-3.7
Hs.331318	FLJ13213	-3.7
Hs.47125	FLJ13912	-3.7
Hs.71616	FLJ14431	-3.5
Hs.79828	FLJ20333	-3.5
Hs.349887	FLJ30656	-3.5
Hs.374897	FLJ36874	-3.3
Hs.180296	FOP	-3.3
Hs.191356	GTF2H2	-3.2
Hs.55468	H4F2	-3.2
Hs.13340	HAT1	-3.2
Hs.15318	HAX1	-3.2
Hs.372673	HNRPDL	-3
Hs.282804	HPS3	-3
Hs.154762	HRB2	-2.9
Hs.31323	IKBKAP	-2.9
Hs.141296	KIAA0226	-2.9
Hs.71109	KIAA1229	-2.9
Hs.106204	KIAA1327	-2.9
Hs.301434	KIAA1387	-2.8
Hs.211577	KTN1	-2.8
Hs.285976	LASS2	-2.6
Hs.326766	LOC220070	-2.6
Hs.75639	LOC91137	-2.6
Hs.3688	LUC7A	-2.6
Hs.45105	MCJ	-2.6
Hs.179565	MCM3	-2.6
Hs.39132	MGC11115	-2.5
Hs.40094	MGC8974	-2.5
Hs.108931	MPP6	-2.5
Hs.107474	NAB1	-2.5
Hs.5273	NDUFS3	-2.5
Hs.64056	PAK1	-2.5
Hs.267289	POLA	-2.5
Hs.110857	POLR3K	-2.5
Hs.184011	PP	-2.5
Hs.106415	PPARD	-2.5
Hs.279554	PSMD13	-2.3
Hs.366	PTS	-2.3
Hs.168095	RNF20	-2.3
Hs.278526	RNTRE	-2.3
Hs.110165	RPL26L1	-2.3
Hs.301547	RPS7	-2.2
Hs.21858	SERPINE2	-2.2
Hs.78713	SLC25A3	-2.2
Hs.2043	SLC25A4	-2.2
Hs.878	SORD	-2.2
Hs.75975	SRP9	-2.1
Hs.380938	STX8	-2.1
Hs.380364	TARS	-2.1
Hs.173824	TDG	-2.1
Hs.1287	TRIM26	-2.1
Hs.100090	TSPAN-3	-2.1
Hs.28423	UBP1	-2.1
Hs.234282	VPS11	-2
Hs.173081	ZNF292	-2
Hs.189829	AGO3	2
Hs.1227	ALAD	2
Hs.168625	AS3	2
Hs.78629	ATP1B1	2.2
Hs.73851	ATP5J	2.2
Hs.76572	ATP5O	2.2
Hs.77204	CENPF	2.2
Hs.289097	DDX19	2.3
Hs.5364	DKFZP564I052	2.4
Hs.334798	EEF1D	2.4
Hs.100914	FLJ10352	2.5
Hs.168232	FLJ13855	2.5
Hs.300700	FLJ20727	2.5
Hs.42194	FLJ22649	2.7
Hs.78915	GABPB1	2.7
Hs.111676	H11	2.7
Hs.180877	H3F3B	2.7
Hs.343261	HM13	2.8
Hs.2726	HMGA2	2.9
Hs.40342	HRIHFB2122	3.4
Hs.127376	KIAA0266	3.7
Hs.32511	KIAA0441	3.9
Hs.6834	KIAA1014	3.9
Hs.288697	MGC11349	4
Hs.250705	MGC17921	4.3
Hs.66521	MJD	4.3
Hs.111039	NMT1	4.3
Hs.89545	PSMB4	4.5
Hs.196209	RAE1	4.5
Hs.241567	RBMS1	4.5
Hs.356593	RPL7	4.7
Hs.182740	RPS11	4.8
Hs.151604	RPS8	4.8
Hs.1027	RRAD	4.8
Hs.271926	SDCCAG16	4.9
Hs.75231	SLC16A1	5
Hs.77496	SNRPG	5
Hs.128645	SNX16	5.4
Hs.7766	UBE2E1	5.4
Hs.78563	UBE2G1	5.4
Hs.75875	UBE2V1	5.5
Hs.78902	VDAC2	5.5
Hs.206594	VPS33A	5.5
Hs.149923	XBP1	5.9
Hs.173518	ZFR	6.1
Hs.172673	AHCY	6.2
Hs.7041	MGC4170	6.4
Hs.159322	SLC35A3	6.4
Hs.11411	DKFZp566O084	6.7
Hs.75334	EXT2	6.7
Hs.63304	PME-1	6.8
Hs.164915	SNAPC3	6.8
Hs.12163	EIF2S2	7.3
Hs.51043	HEXB	7.3
Hs.210850	KIAA1131	7.4
Hs.334368	MGC11257	7.4
Hs.44143	PB1	7.7
Hs.333139	RAB6C	7.7
Hs.178391	RPL36A	7.8
Hs.113029	RPS25	9
Hs.79968	SPF30	9.4
Hs.9614	NPM1	9.5
Hs.93659	ERP70	9.8
Hs.29797	RPL10	10.2
Hs.106826	BHC80	10.3
