GenBank ID	Resampling P-value	q-value
AK095652	<0.001	<0.001
NM_003390	0.001	0.001
AL117644	0.001	0.002
AK022035	<0.001	<0.001
NM_002715	0.001	0.004
NM_007145	0.001	0.007
NM_020654	<0.001	0.001
NM_080670	0.001	<0.001
XM_045127	<0.001	0.001
NM_003204	0.001	0.001
NM_005295	<0.001	<0.001
NM_006372	<0.001	<0.001
NM_018691	0.001	0.001
NM_002857	<0.001	<0.001
NM_002558	0.001	0.002
NM_017964	<0.001	<0.001
NM_003672	0.001	0.007
NM_024915	<0.001	<0.001
NM_145204	0.001	0.002
NM_002815	0.001	0.003
NM_004937	<0.001	<0.001
NM_018630	<0.001	<0.001
NM_032816	<0.001	0.002
NM_002730	0.001	<0.001
NM_000227	0.001	<0.001
NM_017694	0.001	0.001
XM_295178	<0.001	<0.001
NM_004603	0.001	0.001
