Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
FST	follistatin	10468	-13.62	0.0056
C22orf35	chromosome 22 open reading frame 35	150271	-13.57	0.0057
LGALS2	lectin, galactoside-binding, soluble, 2 (galectin 2)	3957	-9.01	0.0062
HLA-DMB	major histocompatibility complex, class II, DM beta	3109	-8.47	0.0063
ENC1	ectodermal-neural cortex (with BTB-like domain)	8507	-8.47	0.0065
CPN1	carboxypeptidase N, polypeptide 1, 50kD	1369	-8.4	0.0064
GDF15	growth differentiation factor 15	9518	-7.87	0.0065
RAP1GAP	RAP1 GTPase activating protein	5909	-7.81	0.0065
BCAS1	breast carcinoma amplified sequence 1	8537	-7.35	0.0067
C1orf61	chromosome 1 open reading frame 61	10485	-7.35	0.0068
NR4A2	nuclear receptor subfamily 4, group A, member 2	4929	-6.9	0.0026
CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1	1591	-6.13	0.0071
HLA-DMB	major histocompatibility complex, class II, DM beta	3109	-6.06	0.0072
CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1	1591	-5.59	0.0074
SPANXB2	SPANX family, member B2	64694	-5.43	0.0082
DIAPH3	diaphanous homolog 3 (Drosophila)	81624	-5.41	0.0081
ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	2118	-5.38	0.0026
SPANXA1	sperm protein associated with the nucleus, X-linked, family member A1	30014	-5.38	0.0086
BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	655	-5.24	0.0087
GINS4	GINS complex subunit 4 (Sld5 homolog)	84296	-5.24	0.0077
RHBDL3	rhomboid, veinlet-like 3 (Drosophila)	162494	-5.18	0.0077
IGFBP3	insulin-like growth factor binding protein 3	3486	-5.13	0.0159
IGFBP3	insulin-like growth factor binding protein 3	3486	-5.1	0.0082
MIAT	myocardial infarction associated transcript (non-protein coding)	440823	-5	0.0082
HIST1H4C	histone cluster 1, H4c	8364	-4.95	0.008
KIF14	kinesin family member 14	9928	-4.9	0.0088
SLC5A11	solute carrier family 5 (sodium/glucose cotransporter), member 11	115584	-4.88	0.0081
ESCO2	establishment of cohesion 1 homolog 2 (S. cerevisiae)	157570	-4.85	0.0028
ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	2118	-4.78	0.0082
HIST1H4L	histone cluster 1, H4l	8368	-4.72	0.0082
NR4A3	nuclear receptor subfamily 4, group A, member 3	8013	-4.69	0.0028
NES	nestin	10763	-4.61	0.0085
MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	4586	-4.59	0.0083
FANCB	Fanconi anemia, complementation group B	2187	-4.52	0.0089
ANXA10	annexin A10	11199	-4.5	0.0098
HIST1H4B	histone cluster 1, H4b	8366	-4.48	0.0085
DIAPH3	diaphanous homolog 3 (Drosophila)	81624	-4.46	0.0036
LINCR	likely ortholog of mouse lung-inducible Neutralized-related C3HC4 RING domain protein	93082	-4.46	0.0113
MGAT5B	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B	146664	-4.46	0.0085
TMEM142B	transmembrane protein 142B	80228	-4.44	0.0086
SLC26A9	solute carrier family 26, member 9	115019	-4.42	0.0087
DACT2	dapper, antagonist of beta-catenin, homolog 2 (Xenopus laevis)	168002	-4.42	0.0086
TSPAN7	tetraspanin 7	7102	-4.39	0.0092
TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	7031	-4.37	0.0086
SYT13	synaptotagmin XIII	57586	-4.37	0.0086
GINS4	GINS complex subunit 4 (Sld5 homolog)	84296	-4.35	0.0089
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	6558	-4.33	0.0069
SOX2	SRY (sex determining region Y)-box 2	6657	-4.31	0.0087
GREM1	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	26585	-4.27	0.0043
KCNK3	potassium channel, subfamily K, member 3	3777	-4.24	0.0092
TM4SF20	transmembrane 4 L six family member 20	79853	-4.22	0.0088
HES1	hairy and enhancer of split 1, (Drosophila)	3280	-4.15	0.0089
ACOX2	acyl-Coenzyme A oxidase 2, branched chain	8309	-4.15	0.0422
TTR	transthyretin (prealbumin, amyloidosis type I)	7276	-4.13	0.0096
NEIL3	nei endonuclease VIII-like 3 (E. coli)	55247	-4.13	0.009
C20orf58	chromosome 20 open reading frame 58	128414	-4.13	0.0104
ENC1	ectodermal-neural cortex (with BTB-like domain)	8507	-4.12	0.0091
KIF24	kinesin family member 24	55265	-4.08	0.0098
TESC	tescalcin	54997	-4.03	0.0092
TMEM190	transmembrane protein 190	147744	-4.03	0.0102
CATSPER1	cation channel, sperm associated 1	117144	-4.02	0.0109
SMOC1	SPARC related modular calcium binding 1	64093	-3.98	0.0168
CYP4F11	cytochrome P450, family 4, subfamily F, polypeptide 11	57834	-3.95	0.0095
SPDEF	SAM pointed domain containing ets transcription factor	25803	-3.94	0.0093
DEPDC1	DEP domain containing 1	55635	-3.92	0.0093
CXCL3	chemokine (C-X-C motif) ligand 3	2921	-3.86	0.0095
ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	7903	-3.85	0.0382
GPR162	G protein-coupled receptor 162	27239	-3.85	0.0097
JUND	jun D proto-oncogene	3727	-3.85	0.012
ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	3398	-3.83	0.0472
TP73L	tumor protein p73-like	8626	-3.82	0.0095
IER3	immediate early response 3	8870	-3.82	0.0095
DOK7	docking protein 7	285489	-3.8	0.007
E2F7	E2F transcription factor 7	144455	-3.79	0.0314
SHF	Src homology 2 domain containing F	90525	-3.79	0.0058
H2AFX	H2A histone family, member X	3014	-3.76	0.0097
AX721193	Sequence 153 from Patent WO0220754. [AX721193]		-3.76	0.0097
NEFH	neurofilament, heavy polypeptide 200kDa	4744	-3.75	0.0117
UBE2C	ubiquitin-conjugating enzyme E2C	11065	-3.75	0.0097
CASC5	cancer susceptibility candidate 5	57082	-3.75	0.01
C1orf133	chromosome 1 open reading frame 133		-3.75	0.0116
TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	6916	-3.73	0.0098
SOX2	SRY (sex determining region Y)-box 2	6657	-3.7	0.0098
LHX2	LIM homeobox 2	9355	-3.7	0.0098
CDC25A	cell division cycle 25A	993	-3.68	0.0087
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	6558	-3.68	0.0098
HTR2B	5-hydroxytryptamine (serotonin) receptor 2B	3357	-3.65	0.0105
TFF1	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	7031	-3.65	0.01
TRIML2	tripartite motif family-like 2	205860	-3.65	0.0138
FCGBP	Fc fragment of IgG binding protein	8857	-3.64	0.0099
ARL4C	ADP-ribosylation factor-like 4C	10123	-3.64	0.01
OSGIN1	oxidative stress induced growth inhibitor 1	29948	-3.64	0.0099
HIST2H3A	histone cluster 2, H3a H3/n, H3/o		-3.64	0.01
NRGN	neurogranin (protein kinase C substrate, RC3)	4900	-3.62	0.0112
SEMA3A	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	10371	-3.62	0.0104
GAL	galanin	51083	-3.62	0.01
TMEM130	transmembrane protein 130	222865	-3.62	0.0106
FOXA3	forkhead box A3	3171	-3.6	0.0042
HOXB2	homeobox B2	3212	-3.58	0.0119
MAFK	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	7975	-3.58	0.0101
KIAA0101	KIAA0101	9768	-3.58	0.0101
RAB3B	RAB3B, member RAS oncogene family	5865	-3.57	0.0103
SYT1	synaptotagmin I	6857	-3.57	0.0384
CDT1	chromatin licensing and DNA replication factor 1	81620	-3.56	0.004
LOC145837	hypothetical protein LOC145837	145837	-3.56	0.0072
ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	259266	-3.56	0.0103
SOX21	SRY (sex determining region Y)-box 21	11166	-3.55	0.0106
C9orf58	chromosome 9 open reading frame 58	83543	-3.55	0.0109
DTL	denticleless homolog (Drosophila)	51514	-3.53	0.0192
ISG20L1	interferon stimulated exonuclease gene 20kDa-like 1		-3.52	0.028
RPL35	ribosomal protein L35	11224	-3.5	0.0465
C9orf140	chromosome 9 open reading frame 140	89958	-3.5	0.0103
ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	3400	-3.48	0.0105
PDLIM5	PDZ and LIM domain 5	10611	-3.47	0.0072
CDC45L	CDC45 cell division cycle 45-like (S. cerevisiae)	8318	-3.46	0.0052
MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	55388	-3.45	0.016
EDN1	endothelin 1	1906	-3.44	0
HIST1H4D	histone cluster 1, H4d	8360	-3.44	0.0111
PAQR4	progestin and adipoQ receptor family member IV	124222	-3.44	0.0042
SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	6510	-3.42	0.0105
HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	9957	-3.41	0.0318
SPBC25	spindle pole body component 25 homolog (S. cerevisiae)	57405	-3.41	0.0059
CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	990	-3.4	0.0106
IL11	interleukin 11	3589	-3.4	0.0107
POLE	polymerase (DNA directed), epsilon	5426	-3.4	0.0133
PLEKHK1	pleckstrin homology domain containing, family K member 1	219790	-3.4	0.0495
IER5L	immediate early response 5-like	389792	-3.39	0.0106
NFKBIL2	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2	4796	-3.38	0.0068
TMSL8	thymosin-like 8	11013	-3.37	0.0121
NR0B1	nuclear receptor subfamily 0, group B, member 1	190	-3.36	0.0192
NMB	neuromedin B	4828	-3.34	0.0108
FLRT2	fibronectin leucine rich transmembrane protein 2	23768	-3.34	0.0131
MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	4176	-3.33	0.0108
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	-3.32	0.0057
KIF26A	kinesin family member 26A	26153	-3.31	0.0113
BCL7A	B-cell CLL/lymphoma 7A	605	-3.31	0.0137
LMNB1	lamin B1	4001	-3.3	0.0109
PHGDH	phosphoglycerate dehydrogenase	26227	-3.3	0.0109
RIF1	RAP1 interacting factor homolog (yeast)	55183	-3.29	0.0063
CENPO	centromere protein O	79172	-3.29	0.0043
VASN	vasorin	114990	-3.29	0.0109
AY358690	clone DNA62876 LPPA601 (UNQ601) mRNA		-3.29	0.0119
HOXB2	homeobox B2	3212	-3.28	0.0043
C9orf100	chromosome 9 open reading frame 100	84904	-3.27	0.0097
SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	9497	-3.24	0.0127
GTSE1	G-2 and S-phase expressed 1	51512	-3.23	0.01
KIRREL3	kin of IRRE like 3 (Drosophila)	84623	-3.23	0.0112
C6orf54	chromosome 6 open reading frame 54	26236	-3.22	0.0065
COL9A3	collagen, type IX, alpha 3	1299	-3.21	0.0116
MYO10	myosin X	4651	-3.21	0.012
VIL1	villin 1	7429	-3.21	0.0114
