GeneID	GeneName	logFC	P.Value	adj.P.Val
TUBG2	TUBULIN, GAMMA 2	0.921433205	3.72E-09	3.18E-05
STK6	AURORA KINASE A	0.861502317	3.75E-08	0.000160046
STK6	AURORA KINASE A	0.885980383	1.38E-07	0.000295728
LRRC23	LEUCINE RICH REPEAT CONTAINING 23	0.526478605	4.30E-07	0.000454561
C2orf28	CHROMOSOME 2 OPEN READING FRAME 28	0.917906062	6.18E-07	0.000454561
LOC441136	HYPOTHETICAL GENE SUPPORTED BY AK092633	0.734959159	8.29E-07	4.88E-04
ZNF655	ZINC FINGER PROTEIN 655	0.965676808	7.72E-07	4.88E-04
C14orf133	CHROMOSOME 14 OPEN READING FRAME 133	0.843839791	8.56E-07	4.88E-04
LRRC23	LEUCINE RICH REPEAT CONTAINING 23	0.487298313	9.87E-07	5.27E-04
THBS4	THROMBOSPONDIN 4	0.999360426	1.17E-06	5.53E-04
ZNF341	ZINC FINGER PROTEIN 341	0.567969946	1.43E-06	6.42E-04
LRRC23	LEUCINE RICH REPEAT CONTAINING 23	0.437656819	1.93E-06	7.28E-04
RPP30	RIBONUCLEASE P/MRP 30	0.956260297	1.76E-06	7.28E-04
DDX11	DEAD/H (ASP-GLU-ALA-ASP/HIS) BOX POLYPEPTIDE 11	1.07461776	2.31E-06	8.23E-04
ZNF548	ZINC FINGER PROTEIN 548	0.713879732	2.62E-06	0.000859454
CDC20	CELL DIVISION CYCLE 20 HOMOLOG	0.956403095	3.25E-06	0.000990587
ACTR1A	ACTIN-RELATED PROTEIN 1 HOMOLOG A	0.332802827	3.85E-06	0.001061626
MRPS18B	MITOCHONDRIAL RIBOSOMAL PROTEIN S18B	0.756656782	4.82E-06	0.001249023
ZNF560	ZINC FINGER PROTEIN 560	0.538165423	5.44E-06	0.001368122
RAD51	DNA REPAIR PROTEIN RAD51	0.566053487	7.31E-06	0.001784029
