Gene	Description	Microarray fold change (clear cell vs. NOSE)	Microarray fold change (mir-100 overexpression)	Algorithm
FGFR3	Fibroblast growth factor receptor 3	13.1	–2.62	T, P, M
FRAP1 / mTOR1	FK506-binding protein 12-rapamycin associated protein 1	1.92	–1.85	T, P, M
CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	3.86	–1.62	T, P, M
TRIB1	Tribbles homolog 1 (Drosophila)	3.47	–1.28	T
CMTM6	CKLF-like MARVEL transmembrane domain containing 6	3.12	–1.15	M
HLTF	Helicase-like transcription factor	2.09	–1.12	M
EIF2C2 / AGO2	Eukaryotic translation initiation factor 2C, 2	3.29	–1.07	T, P, M
IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	2.31	–1.07	M
RAVER2	Ribonucleoprotein, PTB-binding 2	2.44	–1.06	T, P, M
CCDC21	Coiled-coil domain containing 21	2.3	1.04	T
KAZALD1	Kazal-type serine peptidase inhibitor domain 1	4.32	1.06	M
E2F2	E2F transcription factor 2	6.76	1.07	M
CDC25A	Cell division cycle 25 homolog A (S. pombe)	3.06	1.61	M
PLAGL2	Pleiomorphic adenoma gene-like 2	3.82	1.63	M
