Gene Symbol	Gene Description	Over- Underexpressed Genes
NID1	Enactin	Overexpressed Genes
BLMH	Bleomycinhydrolase	Overexpressed Genes
CSNK2B	Casein kinase 2, beta polypeptide	Overexpressed Genes
ACACA	Acetyl-coenzyme A carboxylase alpha	Overexpressed Genes
CHKA	Choline kinase alpha	Overexpressed Genes
CELSR2	Cadherin	Overexpressed Genes
FN3KRP	Fructosamine-3-kinase-related protein	Overexpressed Genes
CCDC21	Coiled-coil domain containing 21	Overexpressed Genes
PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	Overexpressed Genes
CKLF	Chemokine-like factor	Overexpressed Genes
CHML	Choroideremia-like (Rab escort protein 2)	Overexpressed Genes
RPP21	Ribonuclease P/MRP 21 kDa subunit	Overexpressed Genes
HMGA1	High mobility group AT-hook 1	Overexpressed Genes
MCM5	Minichromosome maintenance complex component 5	Overexpressed Genes
MCM6	Minichromosome maintenance complex component 6	Overexpressed Genes
RFC4	Replication factor C (activator 1) 4, 37 kDa	Overexpressed Genes
BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog	Overexpressed Genes
ZWINT	Human ZW10 interacting protein-1	Overexpressed Genes
KIF23	Kinesin family member23	Overexpressed Genes
CENPF	Centromere protein F, 350/400ka (mitosin)	Overexpressed Genes
FOXM1	Forkhead box M1	Overexpressed Genes
PTTG1	Pituitary tumor-transforming 1	Overexpressed Genes
CDCA8	Cell division cycle-associated 8	Overexpressed Genes
CDC20	Cell division cycle 20 homolog	Overexpressed Genes
PLK1	Polo-like kinase 1	Overexpressed Genes
MYBL2	v-myb Myeloblastosis viral oncogene homolog (avian)-like 2	Overexpressed Genes
IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	Overexpressed Genes
NONO	Non-POU domain-containing, octamer-binding	Overexpressed Genes
MCM4	Minichromosome maintenance complex component 4	Overexpressed Genes
MCM2	Minichromosome maintenance complex component 2	Overexpressed Genes
TRIP13	Thyroid hormone receptor interactor 13	Overexpressed Genes
CDK4	Cyclin-dependent kinase 4	Overexpressed Genes
ARL4A	ADP-ribosylation factor-like 4A	Overexpressed Genes
RAD51	BRCA1/BRCA2-containing complex, subunit 5	Overexpressed Genes
SLC2A1	Solute carrier family 2 (facilitated glucose transporter), member 1	Overexpressed Genes
LRRC42	Leucine-rich repeat containing42	Overexpressed Genes
NEU1	Sialidase 1 (lysosomal sialidase)	Overexpressed Genes
NUP37	Nucleoporin 37 kDa	Overexpressed Genes
TMPO	Thymopoietin	Overexpressed Genes
SGCE	Sarcoglycan, epsilon	Overexpressed Genes
ASNS	Asparagine synthetase	Overexpressed Genes
SLC38A1	Solute carrier family 38, member 1	Overexpressed Genes
YARS	Tyrosyl-tRNA synthetase	Overexpressed Genes
GINS3	GINS comple xsubunit 3 (Psf3 homolog)	Overexpressed Genes
WDR68	WD repeat domain 68	Overexpressed Genes
CLGN	Calmegin	Overexpressed Genes
MMP14	Matrix metallopeptidase 14 (membrane-inserted)	Overexpressed Genes
NEDD4	Neural precursor cell-expressed, developmentally down-regulated 4	Underexpressed Genes
SERPINA6	Serpin peptidase inhibitor, clade A (alpha-1  antiproteinase, antitrypsin), member 6	Underexpressed Genes
SDPR	Serum deprivation response (phosphatidylserine-binding protein)	Underexpressed Genes
SPARCL1	SPARC-like  1(mast9, hevin)	Underexpressed Genes
FGB	Fibrinogen beta chain	Underexpressed Genes
CCL14	Chemokine (C-Cmotif) ligand 14	Underexpressed Genes
OGDHL	Oxoglutarate dehydrogenase-like	Underexpressed Genes
CLEC3B	Tetranectin (plasminogen-binding protein)	Underexpressed Genes
DNASE1L3	Deoxyribonuclease I-like 3	Underexpressed Genes
CYP3A7	Cytochrome P450, family 3, subfamily A, polypeptide 7	Underexpressed Genes
CPS1	Carbamoyl-phosphate synthetase 1, mitochondrial	Underexpressed Genes
CHD9	Chromodomain helicase DNA-binding protein 9	Underexpressed Genes
CYP27A1	Cytochrome P450, family 27, subfamily A, polypeptide 1	Underexpressed Genes
ADH1B	Alcohol dehydrogenase 2 (class I), beta polypeptide	Underexpressed Genes
APOC4	Apolipoprotein C-IV	Underexpressed Genes
PCK1	Phosphoenolpyruvate carboxykinase 1 (soluble)	Underexpressed Genes
EDNRB	Endothelin receptor type B	Underexpressed Genes
C1S	Complementcomponent1,ssubcomponent	Underexpressed Genes
MYO1B	Myosin IB	Underexpressed Genes
FTCD	Formiminotransferase cyclodeaminase	Underexpressed Genes
FAS	Fas (TNF receptor superfamily, member 6)	Underexpressed Genes
SLCO2A1	Solute carrier organic anion transporter family, member 2A1	Underexpressed Genes
PLA2G2A	Phospholipase A2, group IIA (platelets, synovial fluid)	Underexpressed Genes
CALCRL	Calcitonin receptor-like	Underexpressed Genes
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	Underexpressed Genes
ITGA7	Integrin, alpha 7	Underexpressed Genes
