Accession Affymetrix	Gene and function	pLKO clone	IBC clones	Fold change	Genes down-regulated/up-regulated	Function
201983_s_at	Epidermal growth factor receptor (EGFR/ErbB-1)	529	127	-4.16	down-regulated	Receptor and growth factors
205239_at	Amphiregulin (AREG)	3774	781	-5.09	down-regulated	Receptor and growth factors
212171_x_at	Vascular endothelial growth factor (VEGF)	1368	244	-5.6	down-regulated	Receptor and growth factors
241412_at	Betacellulin (BTC)	213	46	-4.6	down-regulated	Receptor and growth factors
208658_at	Protein disulfide isomerase-associated 4 (P 4HB)	1093	393	-2.78	down-regulated	Oxidative stress responce
202887_s_at	DNA-damage-inducible transcript 4 (DDIT 4)	3994	683	-5.84	down-regulated	Oxidative stress responce
1554452_a_at	Hypoxia-inducible protein 2 (HIG2)	2036	929	-3.05	down-regulated	Oxidative stress responce
211936_at	Heat shock 60-kDa protein (HSP A5)	6583	1523	-4.32	down-regulated	Oxidative stress responce
1553972_a_at	Cystathionline beta-synthase (CBS)	748	231	-3.24	down-regulated	Oxidative stress responce
202557_at	Stress 70 protein chaperone (STCH)	339	135	-2.5	down-regulated	Oxidative stress responce
202842_s_at	DnaJ (Hsp40) homolog (DNAJBI)	1263	274	-4.62	down-regulated	Oxidative stress responce
236545_at	Protein phosphase 3, calcineurin A alpha (PPP3CA)	276	1321	4.78	up-regulated	Signal transduction
231793_s_at	Calcium/calmodulin-dependent protein kinase (CAMK2D)	247	1024	4.15	up-regulated	Signal transduction
