Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
1053_at	1.3	0.8	Human replication factor C, 40-kDa subunit (A1) mRNA, complete cds	NA
200041_s_at	1.7	1	HLA-B associated transcript-1	D6S81E
200072_s_at	0.6	1.3	M4 protein deletion mutant	HNRPM
200079_s_at	0.6	0.3	lysyl-tRNA synthetase	KARS
200593_s_at	0.8	0.1	heterogeneous nuclear ribonucleoprotein U(scaffold attachment factor A)	HNRPU
200602_at	-0.6	-1.2	amyloid beta (A4) precursor protein (proteasenexin-II, Alzheimer disease)	APP
200613_at	0.5	1.3	adaptor-related protein complex 2, mu 1 subunit	AP2M1
200638_s_at	0.3	2.2	tyrosine 3-monooxygenasetryptophan5-monooxygenase activation protein, zeta polypeptide	YWHAZ
200644_at	-1.8	-1	macrophage myristoylated alanine-rich C kinasesubstrate	MACMARCKS
200662_s_at	0.4	0.7	translocase of outer mitochondrial membrane 20(yeast) homolog	KIAA0016
200669_s_at	0.6	0.5	ubiquitin-conjugating enzyme E2D 3 (homologousto yeast UBC45)	UBE2D3
200685_at	0.3	0.1	splicing factor, arginineserine-rich 11	SFRS11
200692_s_at	1.3	2.7	heat shock 70kD protein 9B (mortalin-2)	HSPA9B
200693_at	0.4	0.4	tyrosine 3-monooxygenasetryptophan5-monooxygenase activation protein, theta polypeptide	YWHAQ
200728_at	0.7	2	ARP2 (actin-related protein 2, yeast) homolog	ACTR2
200737_at	0.7	0.8	phosphoglycerate kinase 1	PGK1
200745_s_at	0.7	0.4	beta-subunit signal transducing proteins GSGI	GNB1
200750_s_at	0.9	3.5	GTP binding protein	RAN
200751_s_at	0.9	1.7	heterogeneous nuclear ribonucleoprotein C (C1C2)	HNRPC
200760_s_at	0.9	1.2	vitamin A responsive; cytoskeleton related	JWA
200762_at	-1.9	-1.9	dihydropyrimidinase-like 2	DPYSL2
200806_s_at	1.8	1.7	heat shock 60kD protein 1 (chaperonin)	HSPD1
200814_at	0.4	1	proteasome (prosome, macropain) activatorsubunit 1 (PA28 alpha)	PSME1
200818_at	0.5	1.2	ATP synthase, H+ transporting, mitochondrial F1complex, O subunit (oligomycin sensitivity conferringprotein)	ATP5O
200842_s_at	0.5	0.6	glutamyl-prolyl-tRNA synthetase	EPRS
200843_s_at	0.3	0.1	glutamyl-prolyl tRNA synthetase	EPRS
200844_s_at	0.7	0.1	anti-oxidant protein 2 (non-selenium glutathione peroxidase, acidic calcium-independent  phospholipase A2)	KIAA0106
200848_at	0.9	1.2	S-adenosylhomocysteine hydrolase-like 1	AHCYL1
200853_at	0.8	1.3	H2A histone family, member Z	H2AFZ
200863_s_at	0.7	0.4	RAB11A, member RAS oncogene family /FL=gb:NM_004663.1 gb:AF000231.1	RAB11A
200876_s_at	0.5	3.1	proteasome (prosome, macropain) subunit, betatype, 1	PSMB1
200878_at	1.2	0.5	endothelial PAS domain protein 1	EPAS1
200881_s_at	0.8	0.7	heat shock protein, DNAJ-like 2	HSJ2
200883_at	1.4	1	ubiquinol-cytochrome c reductase core proteinII	UQCRC2
200900_s_at	2.8	1.4	mannose-6-phosphate receptor (cation dependent)	M6PR
200904_at	0.6	1.6	HLA-E	HLA-E
200910_at	0.3	0.9	chaperonin containing TCP1, subunit 3 (gamma)	CCT3
