Probe set	Gene Symbol	Signature	ADC:OT Ratio	SCC:OT Ratio	LCC:OT Ratio	ADC Mean	SCC Mean	LCC Mean	ADC SD	LCC SD	SCC SD
203953_s_at	CLDN3	ADC	7.42	0.11	0.33	1.96	-1.56	-0.7	1.05	1.57	0.44
204934_s_at	HPN	ADC	3.95	0.37	0.35	0.97	-0.81	-0.98	0.79	0.57	0.28
205640_at	ALDH3B1	ADC	4.06	0.38	0.32	0.25	-1.45	-1.87	0.86	0.69	0.3
223233_s_at	CGN	ADC	4.92	0.28	0.31	0.88	-1.39	-1.54	0.55	1.01	0.34
242271_at	SLC26A9	ADC	3.66	0.38	0.38	-0.01	-1.81	-1.82	0.66	0.39	0.5
200660_at	S100A11	LCC	1.22	1.65	0.3	0.43	0.75	-1.22	0.48	0.73	0.45
202286_s_at	TACSTD2	LCC	1.51	1.65	0.13	0.99	1.23	-2.73	0.76	1.85	0.52
203849_s_at	KIF1A	LCC	0.24	0.25	8.32	-0.13	-0.23	2.77	0.47	0.85	0.45
207625_s_at	CBFA2T2	LCC	0.58	0.57	2.71	-0.12	-0.21	1.29	0.42	0.34	0.36
225482_at	KIF1A	LCC	0.35	0.33	5.62	-0.19	-0.4	2.25	0.61	0.58	0.53
227998_at	S100A16	LCC	1.36	1.64	0.22	0.49	0.92	-1.6	0.84	0.85	0.23
40016_g_at	LOC100128443 /// MAST4	LCC	1.05	1.83	0.35	-0.23	0.28	-1.61	0.41	0.69	0.42
1556793_a_at	FAM83C	SCC	0.13	12.03	0.2	-0.5	2.75	-0.23	0.09	0.14	1.19
1559606_at	GBP6	SCC	0.09	19.12	0.12	-0.51	3.45	-0.56	0.11	0.09	0.97
1559607_s_at	GBP6	SCC	0.05	38.23	0.06	-0.74	4.19	-0.84	0.39	0.15	1.09
201249_at	SLC2A1	SCC	0.41	3.31	0.57	-0.25	1.45	-0.14	0.34	0.67	0.68
202504_at	TRIM29	SCC	0.17	13.2	0.1	-0.65	3.82	-0.85	1.9	1.37	0.79
203797_at	VSNL1	SCC	0.13	7.01	0.51	-1.11	2.79	0.1	1.06	1.73	0.7
204268_at	S100A2	SCC	0.19	14.45	0.03	0.16	4.92	-1.46	1.92	1.42	0.77
204455_at	DST	SCC	0.07	30.69	0.06	-0.45	4.17	-1.29	1.07	1.23	1.49
204469_at	PTPRZ1	SCC	0.09	26.09	0.04	-0.53	4.44	-1	1.48	0.69	1.06
204734_at	KRT15	SCC	0.09	23.51	0.06	-0.19	4.63	-0.98	1.63	1.44	1.06
205014_at	FGFBP1	SCC	0.09	24.37	0.06	-0.86	3.48	-1.41	1.06	0.38	1.31
205064_at	SPRR1B	SCC	0.06	42.61	0.02	-0.52	4.65	-1.07	1.55	0.2	1.99
205157_s_at	KRT17	SCC	0.06	25.58	0.11	-0.91	4.04	-0.74	1.19	1.52	1.17
205623_at	ALDH3A1	SCC	0.06	28.91	0.1	-0.78	4.13	-0.79	0.88	1.38	1.36
205724_at	PKP1	SCC	0.37	4.14	0.43	-0.1	1.82	-0.09	0.46	0.39	0.81
206156_at	GJB5	SCC	0.31	5.67	0.29	-0.15	2.14	-0.44	0.48	0.41	0.79
206164_at	CLCA2	SCC	0.07	26.84	0.09	-0.94	3.3	-0.96	0.15	0.16	1.52
206165_s_at	CLCA2	SCC	0.02	92.8	0.03	-1.38	4.79	-1.23	0.15	0.46	1.58
